  40K     39K(N,G) E=THERMAL            84VO01                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 7         0.0            0.0            0.0       
       29.8299 5           87 4           86 7         0.0            0.0       
     800.1431 19        45.1 13           43 4           -2 4           -2 4    
      891.392 17         1.04 8         0.91 9       -0.13 12       -0.13 12    
     1643.633 10          8.8 3          7.3 6         -1.5 7         -1.5 7    
     1959.060 11        6.49 24          9.6 9          3.1 9          3.1 9    
     2047.356 12          8.2 4          9.2 6          1.0 7          1.0 7    
     2069.790 18          3.8 3          5.5 4          1.7 5          1.7 5    
     2103.725 14          9.0 4          9.3 8          0.3 8          0.3 8    
       2260.41 3         0.69 4         1.22 9         0.53 *         0.53 *    
     2289.861 10         0.33 3        3.76 17        3.43 18        3.43 18    
     2290.466 18        6.01 22          3.3 3         -2.7 4         -2.7 4    
     2397.174 24         0.96 7         0.87 7        -0.10 9        -0.10 9    
     2419.153 11          8.4 4          8.6 6         0.0            0.0       
     2575.944 24        1.87 17          2.8 3          0.9 4          0.9 4    
     2626.048 15        2.49 12        2.18 17       -0.31 21       -0.31 21    
     2730.364 18         1.68 9          1.8 3         0.0            0.0       
       2746.98 4       0.358 23         0.80 5         0.44 6         0.44 6    
     2756.729 22        2.64 10        3.49 20        0.85 23        0.85 23    
     2786.619 16       0.103 12        2.43 11        2.32 11        2.32 11    
       2786.85 4        2.18 10         0.14 5       -2.04 11       -2.04 11    
       2807.89 3        2.34 11          2.7 3          0.4 3          0.4 3    
       2985.85 3         0.98 6        0.96 24         0.0            0.0       
     3027.935 22       0.264 23         0.71 5         0.45 5         0.45 5    
     3109.718 22         0.56 4         0.66 5         0.09 7         0.09 7    
     3128.525 23         0.94 5        1.23 15        0.29 16        0.29 16    
       3146.45 3         0.73 3         1.18 8         0.45 9         0.45 9    
       3153.79 5       0.407 25         0.51 5         0.10 6         0.10 6    
       3228.69 3         0.31 4         0.74 5         0.44 6         0.44 6    
       3368.00 6         0.69 5          2.2 8          1.5 8          1.5 8    
       3393.64 4         0.61 5         0.64 5         0.03 7         0.03 7    
       3414.51 4         1.59 8        1.80 13        0.21 15        0.21 15    
     3439.152 23        4.63 24        4.00 22         -0.6 3         -0.6 3    
       3486.20 3         0.34 4         0.65 7         0.31 8         0.31 8    
       3557.01 3         0.46 3         1.70 8         1.24 9         1.24 9    
       3599.24 3        2.37 12        2.01 11       -0.36 17       -0.36 17    
       3629.96 3         0.71 4         0.86 4         0.15 6         0.15 6    
     3663.724 22        3.66 18        3.34 18         -0.3 3         -0.3 3    
       3738.47 3         1.79 8         1.46 7       -0.33 11       -0.33 11    
       3767.55 5       0.221 17         0.42 3         0.19 4         0.19 4    
       3797.58 3         1.65 9         1.34 9       -0.31 13       -0.31 13    
       3821.45 3         1.29 7         0.86 6        -0.43 9        -0.43 9    
     3840.243 23         1.63 8         1.52 8       -0.11 11       -0.11 11    
       3868.71 3         1.58 8         1.44 8       -0.13 12       -0.13 12    
       3887.93 5         0.96 9         0.60 5       -0.36 10       -0.36 10    
       3924.17 3         0.68 7        0.71 12         0.0            0.0       
       4020.36 3         0.93 6         0.88 5        -0.05 8        -0.05 8    
       4104.48 3        1.47 10         1.54 8        0.06 13        0.06 13    
     4110.853 25        1.52 12         1.34 6       -0.17 13       -0.17 13    
       4149.00 3        2.26 11        2.52 11        0.26 16        0.26 16    
       4180.08 3         0.89 4         0.79 7        -0.10 8        -0.10 8    
       4213.08 8       0.217 17       0.248 19       0.031 25       0.031 25    
       4253.62 3          4.7 3          5.9 3          1.1 4          1.1 4    
       4280.54 8         1.05 7        1.09 23         0.0            0.0       
       4395.87 3         1.00 7         0.57 4        -0.43 8        -0.43 8    
       4419.35 6         0.22 4         0.93 6         0.71 7         0.71 7    
       4472.98 4         0.79 6         0.89 4         0.10 7         0.10 7    
       4537.08 3        2.47 17         2.58          0.11 19        0.11 19    
     4744.110 23        2.86 17        2.47 17       -0.39 24       -0.39 24    
       4788.76 6         0.50 3         1.21 8         0.71 8         0.71 8    
       4872.52 5         0.73 5         0.74 3         0.0            0.0       
       4993.09 3        1.76 13        2.02 10        0.26 16        0.26 16    
       5063.47 5         0.83 5         0.74 5        -0.09 7        -0.09 7    
     7799.569 14         0.0            89.2           89.2 *         89.2 *    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 8          100 8    
             TOTAL UNPLACED GAMMA INTENSITY =          21.3 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
