  40K     39K(N,G) E=THERMAL            84VO01                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         2.19 3         0.0            0.0            0.0       
       29.8299 5       1.910 24         1.91 3         0.0            0.0       
     800.1431 20       0.935 10       0.970 13       0.035 17       0.035 17    
      891.396 13      0.0219 15        0.021 4         0.0            0.0       
     1643.621 10        0.183 4      0.1492 22       -0.034 4       -0.034 4    
     1959.049 10      0.1506 25        0.214 3        0.063 4        0.063 4    
     2047.357 11        0.177 5      0.1996 24        0.022 6        0.022 6    
     2069.810 18        0.080 6      0.1097 20        0.029 6        0.029 6    
     2103.681 19        0.191 4        0.206 3        0.015 5        0.015 5    
       2260.44 3      0.0092 11      0.0291 12      0.0198 16      0.0198 16    
     2289.849 10       0.0072 7      0.0873 13      0.0800 15      0.0800 15    
     2290.491 19        0.128 5      0.0736 15       -0.055 5       -0.055 5    
       2397.20 3      0.0208 13       0.0240 9      0.0032 16      0.0032 16    
     2419.152 10        0.165 4        0.196 3        0.031 5        0.031 5    
       2575.91 3        0.041 4      0.0579 13        0.017 4        0.017 4    
     2626.003 19        0.056 3      0.0530 11       -0.003 3       -0.003 3    
     2730.344 18      0.0317 15        0.037 7        0.006 7        0.006 7    
       2747.02 5       0.0060 4       0.0151 9      0.0090 10      0.0090 10    
     2756.710 24      0.0516 19      0.0697 16      0.0180 25      0.0180 25    
     2786.610 17         0.0         0.0548 24      0.0548 24      0.0548 24    
     2786.619 17       0.0024 3         0.0         -0.0024 3      -0.0024 3    
       2786.74 3      0.0449 18      0.0031 11     -0.0418 21     -0.0418 21    
       2807.88 3      0.0499 16      0.0600 16      0.0101 23      0.0101 23    
       2985.91 3       0.0064 5        0.017 5        0.011 5        0.011 5    
     3027.943 23       0.0044 5      0.0159 12      0.0115 13      0.0115 13    
     3109.732 25       0.0094 7       0.0110 7      0.0016 10      0.0016 10    
       3128.51 3      0.0176 11      0.0242 10      0.0066 15      0.0066 15    
       3146.44 4       0.0143 9      0.0266 10      0.0123 13      0.0123 13    
       3153.82 6       0.0081 6      0.0072 10     -0.0010 12     -0.0010 12    
       3228.60 4       0.0031 4      0.0158 10      0.0127 11      0.0127 11    
       3368.03 6       0.0122 9       0.048 18       0.036 18       0.036 18    
       3393.58 4       0.0085 8       0.0127 7      0.0042 11      0.0042 11    
       3414.42 3      0.0296 12       0.0243 9     -0.0053 15     -0.0053 15    
     3439.102 24      0.0893 23      0.0864 15       -0.003 3       -0.003 3    
       3486.25 4       0.0062 5      0.0125 12      0.0064 13      0.0064 13    
       3556.96 3       0.0088 9      0.0316 12      0.0228 15      0.0228 15    
       3599.29 3      0.0442 15      0.0374 12     -0.0068 20     -0.0068 20    
       3629.97 4       0.0128 8      0.0167 11      0.0040 13      0.0040 13    
     3663.743 22      0.0604 18      0.0697 15      0.0093 24      0.0093 24    
       3738.43 3      0.0275 11      0.0285 18      0.0011 21      0.0011 21    
       3767.67 6       0.0045 4       0.0067 8       0.0022 9       0.0022 9    
       3797.54 3      0.0290 12      0.0300 11      0.0010 16      0.0010 16    
       3821.46 3      0.0235 11       0.0176 9     -0.0059 14     -0.0059 14    
       3840.25 3      0.0302 11      0.0332 12      0.0029 17      0.0029 17    
       3868.73 4      0.0295 12      0.0288 15        -0.0           -0.0       
       3887.93 5      0.0180 10       0.0111 9     -0.0069 13     -0.0069 13    
       3924.12 4      0.0063 14      0.0055 25         0.0            0.0       
       4020.40 4       0.0153 8       0.0160 9      0.0006 11      0.0006 11    
       4104.46 4      0.0248 11      0.0240 11        -0.0           -0.0       
       4110.84 3      0.0296 12      0.0252 12     -0.0044 17     -0.0044 17    
       4149.01 3      0.0398 14      0.0393 13         0.0            0.0       
       4179.99 3      0.0162 10      0.0172 13      0.0010 16      0.0010 16    
      4213.05 11       0.0036 5       0.0038 5         0.0            0.0       
       4253.68 3      0.0800 19        0.101 6        0.021 6        0.021 6    
       4280.63 6      0.0199 10        0.020 5         0.0            0.0       
       4395.82 3       0.0179 9       0.0095 7     -0.0084 11     -0.0084 11    
       4419.37 6       0.0049 9      0.0159 10      0.0110 13      0.0110 13    
       4472.99 5       0.0134 8       0.0173 9      0.0038 12      0.0038 12    
       4537.14 3      0.0403 12      0.0501 15      0.0098 19      0.0098 19    
       4744.13 3      0.0498 13        0.054 4        0.004 4        0.004 4    
       4788.95 7       0.0075 8      0.0202 13      0.0127 15      0.0127 15    
       4872.55 6       0.0110 8       0.0139 9      0.0028 11      0.0028 11    
       4993.03 3      0.0275 10      0.0342 17      0.0068 20      0.0068 20    
       5063.47 4       0.0123 8       0.0116 8     -0.0007 11     -0.0007 11    
     7799.558 14         0.0          1.737 14       1.737 14       1.737 14    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          2.19 4         2.19 4    
             TOTAL UNPLACED GAMMA INTENSITY =          21.3 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0047                          
