  41K     40K(N,G) E=THERMAL            84KR05                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           99 7         0.0            0.0            0.0       
       980.476 8          3.2 3          2.7 6         -0.5 6         -0.5 6    
      1293.609 8        34.5 22           32 7           -3 7           -3 7    
     1559.903 12          4.3 3          4.0 4         -0.3 4         -0.3 4    
     1582.001 11        3.49 16          3.5 3         0.0            0.0       
     1593.107 12         0.60 3         0.45 7        -0.14 8        -0.14 8    
     1677.235 11         14.1 9        15.7 16         1.6 18         1.6 18    
     1698.005 15        4.66 24          6.4 6          1.8 7          1.8 7    
     2143.820 20        3.79 16          5.3 4          1.5 5          1.5 5    
     2166.700 20         1.23 8        1.09 14       -0.14 16       -0.14 16    
     2316.700 20         10.4 5         9.5 20        -0.9 20        -0.9 20    
       2447.83 7         0.49 5         0.36 4        -0.14 6        -0.14 6    
       2494.91 3        3.23 16          3.7 5          0.5 5          0.5 5    
       2507.93 3        3.76 20          5.8 5          2.0 6          2.0 6    
       2527.66 3        2.19 11          2.4 6          0.3 6          0.3 6    
       2593.97 3       0.441 23         0.37 6        -0.07 6        -0.07 6    
       2712.57 3        4.54 13          3.9 7         -0.7 7         -0.7 7    
       2756.73 3        3.00 12        20.9 19        17.9 19        17.9 24    
       2761.73 3         1.44            2.6 6          1.2 6          1.2 6    
       2774.25 3         0.45 4         0.43 7         0.0            0.0       
       3048.22 5         0.58 3         0.42 4        -0.16 5        -0.16 5    
       3141.84 3         0.66 6        1.00 15        0.34 16        0.34 17    
       3142.43 3        2.82 12          3.8 4          1.0 4          1.0 4    
       3213.61 4         1.40 7        1.93 18        0.53 19        0.53 19    
       3235.57 4        1.79 23        2.19 22          0.4 3          0.4 3    
       3240.65 4         1.46 7        1.55 13        0.09 15        0.09 15    
       3431.84 4        1.21 10        1.49 12        0.27 16        0.27 16    
        3488.5 3       0.115 13       0.553 20       0.438 23         0.44 4    
      3489.30 15       0.118 21         0.34 3         0.22 4         0.22 4    
       3521.38 9       0.348 17         0.44 4         0.09 4         0.09 4    
       3534.45 4         0.59 3        0.91 13        0.33 13        0.33 13    
       3560.61 5         0.45 3         0.36          -0.09 *        -0.09 *    
       3612.77 5         0.47 3       0.371 23        -0.09 4        -0.09 4    
       3651.46 5         0.76 5         1.04 9        0.28 10        0.28 10    
       3761.54 5         1.80 8         1.72 8       -0.07 12       -0.07 12    
       3774.66 5         1.17 6         1.52 9        0.36 10        0.36 11    
      3826.90 10         0.94 4         0.82 5        -0.12 6        -0.12 6    
