  42K     41K(N,G) E=THERMAL            85KR06                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         1.64 6         0.0            0.0            0.0       
       106.837 7       0.485 20        0.480 9         0.0            0.0       
       258.268 7        0.140 9        0.131 3       -0.009 9       -0.009 9    
       638.737 8       0.148 12        0.141 8        -0.0           -0.0       
       681.943 8         0.26 4        0.223 7        -0.03 4        -0.03 4    
      699.080 21         0.09 6      0.0165 24        -0.08 6        -0.08 6    
      783.877 13        0.040 7       0.039 10         0.0            0.0       
       841.945 8         0.23 3        0.227 7         0.0            0.0       
     1110.744 11       0.057 20        0.064 8         0.0            0.0       
     1143.601 14        0.039 5        0.048 5        0.009 7        0.009 7    
     1197.906 11        0.032 4        0.033 6         0.0            0.0       
     1254.812 16        0.061 5       0.063 10         0.0            0.0       
      1266.306 8       0.060 10       0.081 16       0.021 19       0.021 19    
     1273.528 14        0.036 5        0.050 4        0.014 6        0.014 6    
       1376.00 9     0.00025 24       0.0010 3       0.0008 4       0.0008 4    
     1377.117 10        0.042 6       0.060 11       0.018 12       0.018 12    
       1400.04 3      0.0114 12      0.0121 24         0.0            0.0       
     1407.919 11       0.051 13        0.046 8        -0.0           -0.0       
       1453.08 4      0.0072 22      0.0055 24       -0.002 3       -0.002 3    
     1463.657 14      0.0201 19        0.023 6         0.0            0.0       
       1489.24 7       0.0018 3     0.00049 18      -0.0013 4      -0.0013 4    
     1513.099 23      0.0037 13       0.021 15       0.017 15       0.017 15    
       1538.74 6       0.0019 9       0.0019 7         0.0            0.0       
       1691.99 3      0.0026 12       0.0025 6         0.0            0.0       
       1723.43 3      0.0133 16        0.013 3         0.0            0.0       
     1745.620 17      0.0100 13      0.0111 20         0.0            0.0       
     1816.874 16      0.0124 20        0.017 4        0.004 4        0.004 4    
     1842.973 14        0.039 4        0.045 6        0.006 7        0.006 7    
     1861.892 10        0.084 7        0.097 9       0.014 11       0.014 11    
     1913.466 14       0.034 23      0.0105 23      -0.024 23      -0.024 23    
     1937.490 15       0.041 17        0.059 9       0.018 19       0.018 19    
     1987.977 17      0.0064 11        0.011 3        0.004 3        0.004 3    
     2049.327 13        0.031 3        0.028 7        -0.0           -0.0       
     2072.008 11        0.041 4        0.053 9        0.013 9        0.013 9    
     2161.647 21      0.0087 14      0.0088 19         0.0            0.0       
       2187.20 4       0.0032 6       0.0027 6      -0.0005 8      -0.0005 8    
     2204.037 24       0.0053 9      0.0063 16      0.0010 19      0.0010 19    
       2238.62 3        0.039 3        0.042 8         0.0            0.0       
     2251.073 19      0.0121 11        0.011 4         0.0            0.0       
     2366.180 12        0.101 8       0.100 17         0.0            0.0       
     2388.848 24      0.0167 18        0.021 3        0.004 4        0.004 4    
     2401.789 16       0.058 16       0.092 14       0.034 21       0.034 21    
     2422.174 24        0.030 3        0.035 6        0.005 7        0.005 7    
     2482.146 16        0.031 4       0.044 20       0.013 20       0.013 20    
       2573.63 4      0.0068 19        0.007 4         0.0            0.0       
     2607.008 22      0.0098 13        0.006 3       -0.004 3       -0.004 3    
     2627.862 21      0.0104 12       0.024 15       0.014 15       0.014 15    
     2644.287 22      0.0131 15        0.013 6         0.0            0.0       
       2653.80 6     0.00086 12        0.004 3        0.003 3        0.003 3    
     2718.089 12        0.022 3       0.023 11         0.0            0.0       
     2765.956 16        0.061 6         0.06 3         0.0            0.0       
       2862.79 3      0.0071 12       0.022 14       0.015 14       0.015 14    
     2878.005 20      0.0093 17       0.007 14         0.0            0.0       
       2917.07 5       0.0045 8        0.004 3         0.0            0.0       
       2926.09 3        0.009 3        0.007 5        -0.0           -0.0       
