  40K     39K(N,G) E=THERMAL                                                     
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       1.956 14         0.0            0.0            0.0       
       29.8299 6       1.709 14       1.708 14         0.0            0.0       
     800.1430 20        0.854 6       0.968 13       0.114 14       0.114 14    
        891.40 3      0.0186 10       0.0203 6      0.0017 12      0.0017 12    
     1643.650 20      0.1712 20      0.1492 22       -0.022 3       -0.022 3    
     1959.080 20      0.1296 20        0.214 3        0.084 4        0.084 4    
       2047.35 3        0.147 3      0.1996 24        0.053 4        0.053 4    
       2069.81 3      0.0660 23      0.1097 20        0.044 3        0.044 3    
       2103.67 4        0.184 4        0.206 3        0.022 5        0.022 5    
       2260.40 6      0.0075 10      0.0291 12      0.0215 16      0.0215 16    
       2289.88 3       0.0031 4      0.0846 13      0.0815 13      0.0815 13    
       2290.50 4      0.1178 24      0.0736 15       -0.044 3       -0.044 3    
       2397.17 4       0.0190 9       0.0234        0.0044 13      0.0044 13    
       2419.18 4        0.162 4        0.193 3        0.031 5        0.031 5    
       2575.95 5      0.0235 12      0.0575 13      0.0340 18      0.0340 18    
       2626.00 4         0.0         0.0530 11      0.0530 11      0.0530 11    
       2730.38 4      0.0270 14       0.0337        0.0067 17      0.0067 17    
       2746.92 6       0.0028 3       0.0084 6       0.0056 7       0.0056 7    
       2756.73 4      0.0488 18      0.0689 15      0.0201 23      0.0201 23    
       2786.65 4      0.0225 14       0.0115 5     -0.0110 14     -0.0110 14    
        2787.1 5      0.0263 13         0.0        -0.0263 13     -0.0263 13    
       2807.89 4      0.0463 15      0.0550 13      0.0087 20      0.0087 20    
       2985.87 5       0.0117 6       0.0065 6      -0.0052 9      -0.0052 9    
       3027.97 5       0.0036 4       0.0069 7       0.0032 8       0.0032 8    
       3109.75 4       0.0065 7       0.0129 7      0.0064 10      0.0064 10    
       3128.38 8       0.0018 3       0.0274        0.0256 10      0.0256 10    
       3146.44 9       0.0161         0.0263        0.0102 14      0.0102 14    
       3153.82 7       0.0072 6       0.0042 4      -0.0030 7      -0.0030 7    
       3228.68 9       0.0029 4       0.0075 7       0.0046 8       0.0046 8    
      3368.04 11       0.0100 9      0.0266 16      0.0166 18      0.0166 18    
       3393.64 7       0.0085 8       0.0127 7      0.0042 11      0.0042 11    
       3414.36 5      0.0274 12       0.0267       -0.0007 15     -0.0007 15    
       3439.16 4      0.0893 23      0.0846 14       -0.005 3       -0.005 3    
       3486.17 5       0.0053 4       0.0065 5       0.0013 7       0.0013 7    
       3556.97 5       0.0088 9      0.0270 11      0.0182 14      0.0182 14    
       3599.24 5      0.0442 15      0.0365 12     -0.0077 19     -0.0077 19    
       3629.94 6       0.0128 8      0.0160 11      0.0032 13      0.0032 13    
       3663.75 5      0.0604 18      0.0697 15      0.0093 24      0.0093 24    
       3738.50 5      0.0282 11       0.0055       -0.0228 15     -0.0228 15    
      3767.87 14       0.0045 4       0.0068 6       0.0023 8       0.0023 8    
       3797.58 6      0.0282 12      0.0295 11      0.0013 16      0.0013 16    
       3821.43 5      0.0235 11       0.0137 8     -0.0098 14     -0.0098 14    
       3840.25 5      0.0302 11       0.0180 8     -0.0122 14     -0.0122 14    
       3868.67 6      0.0295 12      0.0220 10     -0.0075 16     -0.0075 16    
       3887.93 6       0.0180         0.0088 8     -0.0092 13     -0.0092 13    
        3923.8 4       0.0085 4       0.0020 3      -0.0065 5      -0.0065 5    
       4020.35 6       0.0153 8       0.0160 9      0.0006 11      0.0006 11    
       4104.47 7      0.0248 11      0.0192 10     -0.0056 15     -0.0056 15    
       4110.86 5      0.0296 12      0.0192 10     -0.0104 16     -0.0104 16    
       4149.01 6      0.0398 14      0.0417 13      0.0019 19      0.0019 19    
       4180.04 8       0.0162         0.0081 5     -0.0081 11     -0.0081 11    
      4213.07 15       0.0036 5       0.0024 4      -0.0013 7      -0.0013 7    
       4253.63 7      0.0800 19      0.0725 20       -0.008 3       -0.008 3    
      4280.54 10       0.0199         0.0081       -0.0118 14     -0.0118 14    
       4395.90 6       0.0179 9       0.0095 7     -0.0084 11     -0.0084 11    
       4419.38 8         0.0         0.0145 10      0.0145 10      0.0145 10    
       4473.00 8       0.0134 8       0.0051 6      -0.0083 *      -0.0083 *    
       4537.08 8      0.0403 12      0.0496 15      0.0093 19      0.0093 19    
       4744.11 6      0.0498 13       0.0098 7     -0.0400 15     -0.0400 15    
      4788.65 17       0.0075 8       0.0104 9      0.0029 12      0.0029 12    
       4872.56 9       0.0110 8       0.0058 7     -0.0053 10     -0.0053 10    
      4992.96 11       0.0275        0.0404 17      0.0129 20      0.0129 20    
       5063.49 7       0.0123 8       0.0078 7     -0.0045 10     -0.0045 10    
       7799.50 8         0.0          1.527 10       1.527 10       1.527 10    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        1.956 24       1.956 24    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0047                          
