  26MG    25MG(N,G) E=THERMAL           92WA06,91LL04                            
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        100.6 4          100           -0.6 4           -1 4    
       1808.74 3         92.8 8         93.0 3          0.2 8          0.2 8    
       2938.33 3         51.5 8         51.0 3         -0.6 8         -0.6 8    
       3588.57 8         0.69 4         0.65 3        -0.04 5        -0.04 5    
       3941.54 4         13.0 3         12.9 4         -0.1 5         -0.1 5    
       4318.89 5        3.69 14        3.00 15       -0.69 20       -0.69 20    
       4332.57 5        5.99 16          6.6 3          0.6 3          0.6 3    
       4350.08 4         13.1 3         13.9 5          0.9 6          0.9 6    
       4835.15 4        5.46 15          5.8 3          0.3 3          0.3 3    
       4901.30 8         0.98 4        1.45 10        0.47 11        0.47 11    
       4972.30 5       0.250 20         0.32 4         0.07 4         0.07 4    
       5291.74 5         2.06 7        2.68 13        0.62 15        0.62 15    
       5476.12 7         0.47 3         0.93 6         0.46 7         0.46 7    
      5691.11 17       0.225 20         0.46 4         0.24 5         0.24 5    
      5715.63 10       0.320 25         0.98 8         0.66 8         0.66 9    
       6125.48 4          8.7 3          9.6 3          0.9 4          0.9 4    
      6634.31 14         0.47 3         0.50 4         0.03 5         0.03 5    
      6745.76 16       0.335 25         0.50 4         0.16 5         0.16 5    
       6876.42 4        7.70 25        7.34 22         -0.4 3         -0.4 3    
      7061.95 11         0.91 5         0.91 5         0.0            0.0       
      7099.63 10         1.10 5         0.92 6        -0.18 8        -0.18 8    
       7261.39 4         22.0 7         22.1 4         0.0            0.0       
       7282.75 5        5.34 20        4.98 24         -0.4 3         -0.4 3    
       7348.87 4        7.22 25        6.77 25         -0.4 4         -0.4 4    
      7371.39 25         0.39 3         0.47 4         0.08 5         0.08 5    
       7541.73 4        5.60 20        5.77 15        0.17 25        0.17 25    
        7697.3 5       0.120 15       0.050 10      -0.070 18      -0.070 18    
      7725.74 16         0.44 3         0.61 5         0.17 6         0.17 6    
        8052.9 5       0.635 20       0.125 15      -0.510 25      -0.510 25    
       8184.96 9         1.40 8         1.30 9       -0.10 12       -0.10 12    
      8227.60 17         0.85 6         0.55 5        -0.30 8        -0.30 8    
      8250.73 10         1.18 7         0.92 6        -0.26 9        -0.26 9    
      8458.87 13         0.41 3       0.395 25        -0.01 4        -0.01 4    
       8503.74 8         0.50 3         0.44 3        -0.06 4        -0.06 4    
       8532.27 8         0.80 4         0.37 3        -0.43 5        -0.43 5    
       8705.73 8         0.57 4         0.46 4        -0.11 5        -0.11 5    
        8863.8 5         0.0          0.150 14       0.150 14       0.150 15    
       8903.50 5        3.08 10        2.86 10       -0.22 14       -0.22 14    
        8959.4 4       0.160 25       0.160 15         0.0            0.0       
        9044.8 3       0.105 15       0.065 15      -0.040 21      -0.040 21    
        9238.7 4       0.120 25       0.205 10         0.08 3         0.08 3    
       9325.51 5         1.57 7         1.02 5        -0.55 9        -0.55 9    
       9427.74 7         0.61 4         0.44 4        -0.17 5        -0.17 5    
       9574.02 6         1.31 5         1.42 8         0.11 9         0.11 9    
        9617.0 9         0.0          0.050 10       0.050 10       0.050 10    
       9856.51 6       0.580 25         0.38 3        -0.20 4        -0.20 4    
     10102.41 15       0.150 15       0.155 18       0.005 23       0.005 23    
     10126.70 10       0.195 20       0.175 18        -0.02 3        -0.02 3    
       10220.1 3       0.040 10       0.055 10       0.015 14       0.015 14    
     10350.36 12       0.110 20       0.050 10      -0.060 22      -0.060 22    
      10362.43 7         0.80 3         0.79 5        -0.0           -0.0       
      10599.95 7         0.37 5         0.39 3         0.02 6         0.02 6    
     10681.87 21        0.035 5         0.0          -0.035 5       -0.035 5    
      10718.75 6       0.115 15         0.0         -0.115 15      -0.115 15    
      10745.98 9        0.062           0.0          -0.062 *       -0.062 *    
       10805.8 4       0.035 10        0.020 5      -0.015 11      -0.015 11    
      11093.18 3         0.0          100.0 11       100.0 11          100 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        100.0 16          100 4    
             TOTAL UNPLACED GAMMA INTENSITY =          0.63 6                   
              NORMALIZATION UNCERTAINTY (%) =   4.0000                          
