  26MG    25MG(N,G) E=THERMAL           92WA06,91LL04                            
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.197 5         0.0            0.0            0.0       
     1808.736 22        0.180 3        0.180 5         0.0            0.0       
     2938.337 25      0.0996 15      0.0985 25       -0.001 3       -0.001 3    
       3588.56 6      0.00089 8      0.00126 8     0.00037 11     0.00037 11    
       3941.50 3       0.0250 7       0.0250 7         0.0            0.0       
       4318.88 4        0.020 5       0.0058 3       -0.014 5       -0.014 5    
       4332.52 4       0.0117 3       0.0127 4       0.0009 5       0.0009 5    
       4350.07 3       0.0250 7       0.0278 9      0.0028 11      0.0028 11    
       4835.13 4       0.0106 3       0.0112 4       0.0006 5       0.0006 5    
       4901.27 7     0.00187 13     0.00258 15     0.00071 20     0.00071 20    
       4972.27 4      0.00048 4      0.00058 6     1.0E-04 7      1.0E-04 7     
       5291.72 4     0.00396 18     0.00509 22       0.0011 3       0.0011 3    
       5476.10 6      0.00090 7     0.00174 10     0.00084 12     0.00084 12    
      5691.11 12      0.00044 4      0.00089 9     0.00045 10     0.00045 10    
      5715.71 10      0.00064 5     0.00187 18     0.00123 19     0.00123 19    
       6125.45 3       0.0165 7       0.0184 5       0.0019 9       0.0019 9    
      6634.31 10      0.00093 6      0.00090 9         0.0            0.0       
      6745.73 11      0.00099 5      0.00096 9         0.0            0.0       
       6876.41 3       0.0149 5       0.0140 4      -0.0009 7      -0.0009 7    
       7061.94 8     0.00176 10     0.00176 11         0.0            0.0       
       7099.63 9     0.00212 11       0.0018 3      -0.0003 3      -0.0003 3    
       7261.37 3      0.0422 14       0.0426 9         0.0            0.0       
       7282.73 4       0.0103 4       0.0094 4      -0.0009 6      -0.0009 6    
       7348.87 3       0.0137 5       0.0128 5      -0.0010 7      -0.0010 7    
        7370.8 3      0.00075 6       0.0034 7       0.0027 7       0.0027 7    
       7541.70 4       0.0109 4       0.0111 3       2E-04 5        2E-04 5     
        7697.3 4     2.3E-04 3      9.7E-05 21    -1.3E-04 4     -1.3E-04 4     
      7725.53 16      0.00085 6        0.014 5        0.013 5        0.013 5    
        8052.9 4      0.00123 8     2.4E-04 6     -0.00099 10    -0.00099 10    
       8184.98 8     0.00266 15     0.00246 21    -2.0E-04 25    -2.0E-04 25    
      8227.52 14     0.00162 12      0.00107 9    -0.00055 15    -0.00055 15    
       8250.71 9     0.00223 12     0.00183 11    -0.00040 16    -0.00040 16    
       8458.86 9      0.00079 6      0.00076 6      -3E-05 8       -3E-05 8     
       8503.73 6      0.00097 6      0.00084 7    -1.3E-04 9     -1.3E-04 9     
       8532.25 6      0.00154 9      0.00071 6    -0.00083 11    -0.00083 11    
       8705.70 8      0.00109 7      0.00087 7    -2.2E-04 10    -2.2E-04 10    
        8863.8 4         0.0         0.00026 3      0.00026 3      0.00026 3    
       8903.49 4     0.00592 22     0.00555 24      -0.0004 3      -0.0004 3    
        8959.4 3      0.00031 5      0.00031 4         0.0            0.0       
      9044.80 21     2.0E-04 3      1.3E-04 3       -7E-05 4       -7E-05 4     
        9238.7 3     2.3E-04 5       0.00040 4     1.7E-04 6      1.7E-04 6     
       9325.50 3     0.00307 14     0.00197 12    -0.00110 18    -0.00110 18    
       9427.74 5      0.00120 6      0.00086 8    -0.00034 10    -0.00034 10    
       9574.02 4     0.00255 10     0.00277 15     2.2E-04 18     2.2E-04 18    
        9617.0 7         0.0        9.7E-05 21     9.7E-05 21     9.7E-05 21    
       9856.50 4      0.00114 6       0.0007 3      -0.0004 3      -0.0004 3    
     10102.43 11      0.00030 3      0.00030 4         0.0            0.0       
      10126.68 7      0.00040 4      0.00034 4      -6E-05 5       -6E-05 5     
     10220.09 21     7.7E-05 23    1.07E-04 21       3E-05 3        3E-05 3     
      10350.35 8     2.3E-04 4      9.7E-05 21    -1.3E-04 5     -1.3E-04 5     
      10362.43 6      0.00154 6     0.00153 10         0.0            0.0       
      10599.95 5     0.00087 11      0.00075 7    -1.2E-04 13    -1.2E-04 13    
     10681.86 18     6.8E-05 13         0.0       -6.8E-05 13    -6.8E-05 13    
      10718.73 5     2.3E-04 3          0.0       -2.3E-04 3     -2.3E-04 3     
      10745.97 7    1.20E-04 20         0.0      -1.20E-04 20   -1.20E-04 20    
       10805.8 3     6.8E-05 20     3.9E-05 10    -2.9E-05 22    -2.9E-05 22    
    11093.157 21         0.0         0.1928 22      0.1928 22      0.1928 22    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.197 8        0.197 8    
             TOTAL UNPLACED GAMMA INTENSITY =          0.63 6                   
              NORMALIZATION UNCERTAINTY (%) =    .1000                          
