  56MN    55MN(N,G), (POL N,G) E=TH     1980DE20,1975CO05,1974BO1999ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           70           0.0            0.0            0.0       
       26.6043 4           45             41            -4.            -4.      
     110.5039 14           18             12            -6.            -6.      
       212.027 5           12             11            -1.            -1.      
     215.1281 22           5.             11             5.             5.      
       335.532 5         0.86             1.           0.33           0.33      
       340.989 5           4.             10             6.             6.      
       454.336 6         0.0              3.             3.             3.      
       486.309 8           4.             8.             3.             3.      
      716.177 10         0.19             2.             1.             1.      
        840.44 3         0.74             1.           0.76           0.76      
      1166.51 15           2.           0.0             -2.            -2.      
      1239.82 15         0.53           0.0           -0.53          -0.53      
      1293.80 15         0.18           0.0           -0.18          -0.18      
      1349.93 15         0.83           0.0           -0.83          -0.83      
      1509.54 15           1.           0.0             -1.            -1.      
       1692.9 10         0.0            0.0            0.0            0.0       
      1727.45 15         0.17           0.0           -0.17          -0.17      
      1743.10 20           6.           0.0             -6.            -6.      
      1833.56 15           1.           0.0             -1.            -1.      
      1865.97 15         0.39           0.0           -0.39          -0.39      
        1980.2 6        0.056           0.0          -0.056         -0.056      
      2016.36 14           1.             3.             2.             2.      
      2071.36 14         0.86             2.             1.             1.      
      2089.37 14           3.             1.            -2.            -2.      
      2158.97 14         0.30           0.25         -0.050         -0.050      
      2202.72 14           2.             1.            -1.            -1.      
      2235.07 15           1.           0.0             -1.            -1.      
      2255.18 14           6.           0.21            -6.            -6.      
      2300.71 15         0.36           0.0           -0.36          -0.36      
      2321.17 10           2.             3.             1.             1.      
      2335.32 15         0.36           0.0           -0.36          -0.36      
      2362.62 15         0.69           0.0           -0.69          -0.69      
      2395.89 14         0.73           0.29          -0.43          -0.43      
       2432.0 10         0.0            0.0            0.0            0.0       
      2441.29 14           1.             1.           0.68           0.68      
        2518.8 6        0.025           0.0          -0.025         -0.025      
      2545.54 20           2.          0.056            -2.            -2.      
      2580.54 15           1.           0.0             -1.            -1.      
      2626.69 15         0.85           0.0           -0.85          -0.85      
        2652.0 6         0.10           0.0           -0.10          -0.10      
      2681.85 15         0.43           0.0           -0.43          -0.43      
      2703.86 14           2.           0.80            -1.            -1.      
      2719.95 15         0.69           0.0           -0.69          -0.69      
        2797.5 6         0.10           0.0           -0.10          -0.10      
      2824.56 15         0.80           0.0           -0.80          -0.80      
      2855.16 15         0.20           0.0           -0.20          -0.20      
      2872.17 14         0.14           0.17          0.030          0.030      
      2889.57 15         0.55           0.0           -0.55          -0.55      
      2922.57 15         0.31           0.0           -0.31          -0.31      
      2951.07 15         0.11           0.0           -0.11          -0.11      
      3002.87 11         0.70           0.96           0.27           0.27      
      3018.87 15         0.21           0.0           -0.21          -0.21      
      3047.33 14         0.74           0.37          -0.36          -0.36      
      3071.38 15         0.17           0.0           -0.17          -0.17      
      3159.94 14         0.35           0.11          -0.24          -0.24      
      3166.40 14         0.39           0.28          -0.11          -0.11      
      3219.04 20         0.13          0.076         -0.056         -0.056      
      3240.79 15         0.17           0.0           -0.17          -0.17      
      3263.82 19        0.051           0.39           0.34           0.34      
      3291.20 15         0.38           0.0           -0.38          -0.38      
      3293.71 14         0.0            0.63           0.63           0.63      
        3315.6 6        0.061           0.0          -0.061         -0.061      
        3373.6 6        0.096           0.0          -0.096         -0.096      
        3386.6 3         0.0            0.0            0.0            0.0       
      3397.61 15         0.13           0.0           -0.13          -0.13      
      3412.81 15         0.61           0.0           -0.61          -0.61      
      3450.21 15         0.59           0.0           -0.59          -0.59      
      3455.61 15           1.           0.0             -1.            -1.      
      3486.25 14         0.32           0.25         -0.071         -0.071      
      3497.81 15         0.12           0.0           -0.12          -0.12      
      3518.31 15         0.43           0.0           -0.43          -0.43      
      3524.82 20         0.0            0.15           0.15           0.15      
      3628.32 15         0.62           0.0           -0.62          -0.62      
      3690.03 15         0.44           0.0           -0.44          -0.44      
      3696.80 12         0.24           0.27          0.030          0.030      
      3721.43 15         0.29           0.0           -0.29          -0.29      
      3771.73 15         0.55           0.0           -0.55          -0.55      
      3839.84 15         0.16           0.0           -0.16          -0.16      
      3861.54 15           3.           0.0             -3.            -3.      
        3901.8 8         0.0           0.025          0.025          0.025      
      3927.25 20         0.0            0.44           0.44           0.44      
        3961.9 8         0.0           0.061          0.061          0.061      
      3982.45 15         0.12           0.0           -0.12          -0.12      
      3998.60 14         0.32           0.23         -0.091         -0.091      
        3999.5 3         0.0            0.0            0.0            0.0       
        4001.3 8         0.0           0.061          0.061          0.061      
      4098.15 15         0.17           0.0           -0.17          -0.17      
        4132.1 8         0.0           0.066          0.066          0.066      
        4174.1 8         0.0           0.035          0.035          0.035      
        4195.2 8         0.0           0.040          0.040          0.040      
        4300.7 8         0.0           0.035          0.035          0.035      
        4417.1 8         0.0           0.015          0.015          0.015      
        4470.0 8         0.0           0.056          0.056          0.056      
        4739.6 8         0.0           0.071          0.071          0.071      
      4762.59 20         0.34          0.051          -0.29          -0.29      
      4799.32 20         0.33          0.071          -0.26          -0.26      
        4816.9 8         0.0           0.071          0.071          0.071      
        4818.4 3         0.0            0.0            0.0            0.0       
        4820.7 8         0.0           0.096          0.096          0.096      
      4841.66 14         0.40           0.64           0.23           0.23      
      4898.60 15         0.29           0.0           -0.29          -0.29      
      4928.10 15         0.40           0.0           -0.40          -0.40      
      5129.75 20         0.0            0.15           0.15           0.15      
        5298.6 8         0.0           0.056          0.056          0.056      
        5313.9 8         0.0           0.086          0.086          0.086      
        5485.8 8         0.0           0.056          0.056          0.056      
        5564.2 8         0.0           0.030          0.030          0.030      
        5604.3 8         0.0           0.030          0.030          0.030      
        5652.2 8         0.0           0.020          0.020          0.020      
        5664.4 8         0.0           0.030          0.030          0.030      
        5712.1 8         0.0           0.045          0.045          0.045      
      5714.81 20         0.0            0.13           0.13           0.13      
        5734.2 8         0.0           0.015          0.015          0.015      
        5795.1 8         0.0           0.015          0.015          0.015      
