  56MN    55MN(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       11.36 10         0.0            0.0            0.0       
       26.561 23         7.56 7         7.56 9         0.0            0.0       
      110.465 21         2.67 4         3.27 5         0.60 7         0.60 7    
      212.051 17         1.44 3         2.13 3         0.69 4         0.69 4    
      215.100 16         0.94 6         2.24 3         1.30 7         1.30 7    
      335.549 18        0.161 5        0.209 4        0.048 6        0.048 6    
      340.999 17       0.491 14       1.564 20       1.072 25       1.072 25    
      454.359 19         0.0           0.464 8        0.464 8        0.464 8    
      486.287 17       0.664 18         1.24 6         0.58 6         0.58 6    
      716.273 20        0.030 5        0.372 6        0.342 8        0.342 8    
        840.42 3         1.46 3        0.229 6        -1.23 3        -1.23 3    
       2016.46 5         1.28 3      0.0527 25        -1.23 3        -1.23 3    
          2100          0.095 7        0.281 6        0.186 9        0.186 9    
          2100         0.412 13        0.179 5      -0.233 14      -0.233 14    
      2158.85 14        0.050 5        0.018 3       -0.032 6       -0.032 6    
          2200         0.265 12        0.111 4      -0.154 13      -0.154 13    
       2255.80 7       0.845 22        0.025 4      -0.820 22      -0.820 22    
       2320.88 5       0.372 13        0.223 9      -0.149 16      -0.149 16    
      2395.60 11        0.139 9        0.032 5      -0.107 10      -0.107 10    
       2432.0 10         0.0           0.191 8        0.191 8        0.191 8    
       2545.37 8       0.281 10        0.005 3      -0.276 10      -0.276 10    
       2580.88 9       0.193 13         0.0         -0.193 13      -0.193 13    
          2700         0.306 12       0.068 10      -0.238 16      -0.238 16    
      2873.31 11       0.184 11        0.070 4      -0.114 12      -0.114 12    
      3002.70 10        0.097 7        0.055 5       -0.042 9       -0.042 9    
      3047.16 14        0.083 6        0.030 8      -0.053 10      -0.053 10    
      3159.78 17        0.034 4        0.012 5       -0.022 6       -0.022 6    
      3166.37 10        0.027 4        0.069 5        0.042 6        0.042 6    
      3262.28 24        0.019 4        0.030 4        0.011 6        0.011 6    
          3300          0.066 8        0.188 6       0.122 10       0.122 10    
      3486.75 21       0.336 15        0.012 4      -0.324 15      -0.324 15    
        3927.9 3       0.396 13        0.044 6      -0.352 15      -0.352 15    
        4415.4 4         0.0           0.022 4        0.022 4        0.022 4    
      4841.08 14        0.133 9        0.064 6      -0.069 11      -0.069 11    
        5604.3 6         0.0           0.020 6        0.020 6        0.020 6    
     7270.419 25         0.0           11.31 9        11.31 9        11.31 9    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        11.36 16       11.36 16    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
