  56MN    55MN(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         3.80 4         0.0            0.0            0.0       
            27           7.41 6         0.0           -7.41 6        -7.41 6    
      110.465 21         2.67 4         3.12 5         0.44 6         0.44 6    
      212.051 17         1.44 3         2.13 3         0.69 4         0.69 4    
      215.100 16         0.94 6         2.24 3         1.30 7         1.30 7    
      335.549 18        0.149 5        0.208 4        0.060 6        0.060 6    
      340.999 17       0.491 14       1.563 20       1.072 25       1.072 25    
      454.359 19         0.0           0.452 8        0.452 8        0.452 8    
      486.287 17       0.664 18         1.24 6         0.58 6         0.58 6    
      716.273 20        0.030 5        0.372 6        0.342 8        0.342 8    
        840.42 3        0.088 7        0.229 6        0.141 9        0.141 9    
      1166.06 10       0.213 10         0.0         -0.213 10      -0.213 10    
      1239.50 12        0.067 7         0.0          -0.067 7       -0.067 7    
      1293.68 14        0.029 5         0.0          -0.029 5       -0.029 5    
       1349.75 7         1.06 3         0.0           -1.06 3        -1.06 3    
       1509.11 9       0.200 12         0.0         -0.200 12      -0.200 12    
       1692.9 10         0.0            0.0            0.0            0.0       
      1727.49 14        0.021 5         0.0          -0.021 5       -0.021 5    
       1743.05 8       0.788 22         0.0         -0.788 22      -0.788 22    
      1832.99 11        0.087 7         0.0          -0.087 7       -0.087 7    
      1866.07 13        0.050 6         0.0          -0.050 6       -0.050 6    
        1980.2 6         0.0            0.0            0.0            0.0       
       2016.46 5       0.132 13      0.0527 25      -0.079 13      -0.079 13    
          2100          0.095 7        0.281 6        0.186 9        0.186 9    
          2100         0.412 13        0.179 5      -0.233 14      -0.233 14    
      2158.85 14        0.050 5        0.018 3       -0.032 6       -0.032 6    
          2200         0.265 12        0.111 4      -0.154 13      -0.154 13    
      2235.32 11        0.108 8         0.0          -0.108 8       -0.108 8    
       2255.80 7       0.737 20        0.025 4      -0.712 20      -0.712 20    
      2300.78 12        0.043 5         0.0          -0.043 5       -0.043 5    
       2320.88 5       0.274 10        0.223 9      -0.051 14      -0.051 14    
      2335.64 12        0.055 6         0.0          -0.055 6       -0.055 6    
      2362.70 12        0.070 7         0.0          -0.070 7       -0.070 7    
      2395.60 11        0.069 5        0.032 5       -0.037 7       -0.037 7    
       2432.0 10         0.0            0.0            0.0            0.0       
       2441.07 7         0.0           0.191 8        0.191 8        0.191 8    
        2518.8 6         0.0            0.0            0.0            0.0       
       2545.37 8       0.281 10        0.005 3      -0.276 10      -0.276 10    
       2580.88 9        0.120 9         0.0          -0.120 9       -0.120 9    
      2626.76 10       0.073 10         0.0         -0.073 10      -0.073 10    
        2652.0 6         0.0            0.0            0.0            0.0       
      2681.91 12        0.053 5         0.0          -0.053 5       -0.053 5    
          2700          0.197 9       0.068 10      -0.129 13      -0.129 13    
      2720.12 13        0.056 6         0.0          -0.056 6       -0.056 6    
        2797.5 6         0.0            0.0            0.0            0.0       
      2824.78 12        0.077 8         0.0          -0.077 8       -0.077 8    
      2855.16 15         0.0            0.0            0.0            0.0       
      2873.31 11         0.0           0.070 4        0.070 4        0.070 4    
      2889.93 11        0.073 6         0.0          -0.073 6       -0.073 6    
      2922.45 13        0.034 5         0.0          -0.034 5       -0.034 5    
      2951.07 15         0.0            0.0            0.0            0.0       
      3002.70 10        0.078 6        0.055 5       -0.023 8       -0.023 8    
      3018.93 14        0.019 4         0.0          -0.019 4       -0.019 4    
      3047.16 14        0.066 5        0.030 8       -0.036 9       -0.036 9    
      3071.46 14        0.017 4         0.0          -0.017 4       -0.017 4    
      3159.78 17        0.034 4        0.012 5       -0.022 6       -0.022 6    
      3166.37 10        0.027 4        0.069 5        0.042 6        0.042 6    
      3218.96 19        0.019 4         0.0          -0.019 4       -0.019 4    
      3240.79 15         0.0            0.0            0.0            0.0       
      3262.28 24         0.0           0.030 4        0.030 4        0.030 4    
      3291.22 13        0.039 5         0.0          -0.039 5       -0.039 5    
          3300           0.0           0.188 6        0.188 6        0.188 6    
        3316.9 3        0.009 3         0.0          -0.009 3       -0.009 3    
        3374.5 4        0.018 5         0.0          -0.018 5       -0.018 5    
        3386.6 3         0.0            0.0            0.0            0.0       
      3397.78 14        0.020 5         0.0          -0.020 5       -0.020 5    
      3412.81 15         0.0            0.0            0.0            0.0       
      3450.02 11        0.042 5         0.0          -0.042 5       -0.042 5    
       3456.11 8        0.088 8         0.0          -0.088 8       -0.088 8    
      3486.75 21        0.028 4        0.012 4       -0.016 6       -0.016 6    
      3497.81 15         0.0            0.0            0.0            0.0       
      3518.55 11        0.054 5         0.0          -0.054 5       -0.054 5    
      3524.82 20         0.0            0.0            0.0            0.0       
      3628.75 10        0.061 5         0.0          -0.061 5       -0.061 5    
      3690.15 12        0.030 5         0.0          -0.030 5       -0.030 5    
      3696.87 11        0.013 4         0.0          -0.013 4       -0.013 4    
      3721.49 14        0.015 4         0.0          -0.015 4       -0.015 4    
      3771.68 13        0.032 5         0.0          -0.032 5       -0.032 5    
      3839.84 15         0.0            0.0            0.0            0.0       
       3861.68 5       0.303 10         0.0         -0.303 10      -0.303 10    
        3901.8 8         0.0            0.0            0.0            0.0       
        3927.9 3         0.0           0.044 6        0.044 6        0.044 6    
        3961.9 8         0.0            0.0            0.0            0.0       
      3982.45 15         0.0            0.0            0.0            0.0       
      3998.60 14         0.0            0.0            0.0            0.0       
      3999.28 21        0.024 3         0.0          -0.024 3       -0.024 3    
        4001.3 8         0.0            0.0            0.0            0.0       
      4098.19 14        0.022 5         0.0          -0.022 5       -0.022 5    
        4132.1 8         0.0            0.0            0.0            0.0       
        4174.1 8         0.0            0.0            0.0            0.0       
        4195.2 8         0.0            0.0            0.0            0.0       
        4300.7 8         0.0            0.0            0.0            0.0       
        4415.4 4         0.0           0.022 4        0.022 4        0.022 4    
        4470.0 8         0.0            0.0            0.0            0.0       
        4739.6 8         0.0            0.0            0.0            0.0       
      4762.43 15        0.026 4         0.0          -0.026 4       -0.026 4    
      4800.09 10        0.083 6         0.0          -0.083 6       -0.083 6    
        4816.9 8         0.0            0.0            0.0            0.0       
        4818.4 3         0.0            0.0            0.0            0.0       
        4820.7 8         0.0            0.0            0.0            0.0       
      4841.08 14        0.024 5        0.064 6        0.040 8        0.040 8    
      4898.60 15         0.0            0.0            0.0            0.0       
      4928.10 15         0.0            0.0            0.0            0.0       
      5129.75 20         0.0            0.0            0.0            0.0       
        5298.6 8         0.0            0.0            0.0            0.0       
        5313.9 8         0.0            0.0            0.0            0.0       
        5485.8 8         0.0            0.0            0.0            0.0       
        5564.2 8         0.0            0.0            0.0            0.0       
        5604.3 6         0.0           0.020 6        0.020 6        0.020 6    
        5652.2 8         0.0            0.0            0.0            0.0       
        5664.4 8         0.0            0.0            0.0            0.0       
        5712.1 8         0.0            0.0            0.0            0.0       
      5714.81 20         0.0            0.0            0.0            0.0       
        5734.2 8         0.0            0.0            0.0            0.0       
        5795.1 8         0.0            0.0            0.0            0.0       
