  24NA    23NA(N,G) E=THERMAL           83HU11,83II02                            
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 7          100          -0.0           -0.0       
      472.2072 8           89 7           93 7            4 *            4 *    
     563.1992 16        45.6 11           43 6           -3 6           -3 6    
     1341.431 11        22.5 21        22.8 19         0.0            0.0       
     1344.653 10          7.9 6          7.4 8         -0.5 9         -0.5 9    
      1346.615 7         15.1 8        15.2 14         0.2 16         0.2 16    
      1846.004 8          7.4 4          4.9 7         -2.4 8         -2.4 8    
     1885.500 14         1.46 6        1.77 13        0.31 14        0.31 14    
       1960.90 4       0.315 21       0.153 18        -0.16 3        -0.16 3    
      1977.21 10         0.32 4         0.45 5         0.13 6         0.13 6    
     2513.419 24         1.84 8         1.80 8       -0.04 11       -0.04 11    
      2562.38 24         0.0            0.26 4         0.26 4         0.26 4    
     2903.981 25        0.55 11         0.50 4       -0.06 12       -0.06 12    
     2977.830 20         13.3 6        14.2 16         1.0 17         1.0 17    
     3371.878 25         13.4 6         15.2 4          1.7 7          1.7 7    
       3413.35 4        2.17 10         2.59 8        0.42 13        0.42 13    
       3589.41 4          3.1 3        4.07 11          1.0 3          1.0 3    
      3628.17 13        0.225         0.307 13       0.082 16       0.082 16    
       3655.90 6         0.53 3        0.47 11       -0.06 12       -0.06 12    
      3682.08 14         0.80 3         0.73 4        -0.07 5        -0.07 5    
       3745.12 3         1.61 9          1.7 3          0.0 3          0.0 3    
       3865.58 8         0.54 4         0.58 8         0.04 9         0.04 9    
      3935.65 20       0.077 25        0.248 3       0.171 25       0.171 25    
      3943.49 12       0.177 20        0.082 5      -0.095 20      -0.095 20    
       3977.43 3        3.01 10         2.74 7       -0.28 12       -0.28 12    
      4048.38 15        0.058 5        0.062         0.004 11       0.004 11    
        4143.1 3       0.0099          0.012 3        0.002 3        0.002 3    
          4200         0.071 23       0.065 19        -0.01 3        -0.01 3    
      4196.28 13        1.10 23         0.47 3       -0.63 23       -0.63 23    
     4207.212 21        13.1 23        11.9 10        -1.1 25        -1.1 25    
       4441.70 3         14.0 5         13.5 3         -0.5 6         -0.5 6    
       4562.07 3         1.55 6         1.32 6        -0.22 9        -0.22 9    
      4621.62 10        0.164         0.103 19      -0.061 22      -0.061 22    
        4692.2 3        0.049 9       0.049 14         0.0            0.0       
     4751.071 25        5.17 24        4.99 18         -0.2 3         -0.2 3    
       4891.26 5         0.30         0.292 15      -0.005 15      -0.005 15    
       5031.18 4         1.04 8       0.262 14        -0.78 8        -0.78 8    
       5045.07 3         1.13 5         1.17 4         0.04 7         0.04 7    
     5059.649 22          0.8 3         0.81 4        -0.0           -0.0       
       5117.27 7         0.45         0.288 11       -0.16 10       -0.16 10    
       5192.31 9       0.052 15        0.091 4       0.039 15       0.039 15    
      5252.37 14        0.032 9        0.032 8         0.0            0.0       
       5339.09 4         0.54 6       0.709 22         0.16 6         0.16 6    
       5397.09 3         0.50 5        0.68 11        0.17 12        0.17 12    
       5479.06 6         0.34 4       0.353 13         0.02 4         0.02 4    
     5809.601 22         0.91 9         0.73 3        -0.18 9        -0.18 9    
      5863.08 19       0.038 16        0.035 7      -0.003 17      -0.003 17    
       5918.37 3         0.29 3         0.32 7         0.03 8         0.03 8    
       5953.37 5       0.703 19         0.35 3        -0.35 4        -0.35 4    
      5967.37 19         0.11         0.0109        -0.0980 *      -0.0980 *    
     6072.860 20         0.74 9       0.971 25         0.23 9         0.23 9    
      6222.41 12        0.019 6        0.128 6        0.109 8        0.109 8    
     6247.650 20         0.89 8         0.89 4         0.0            0.0       
     6959.634 17         0.0             100 3          100 3          100 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          100 11         100 11    
             TOTAL UNPLACED GAMMA INTENSITY =          2.29 7                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
