  24NA    23NA(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.516 4         0.0            0.0            0.0       
      472.2072 8        0.478 4        0.478 4         0.0            0.0       
     563.1993 17        0.251 3        0.243 3       -0.008 4       -0.008 4    
      1341.434 9        0.114 5      0.1141 13         0.0            0.0       
     1344.648 11        0.043 3       0.0392 7       -0.004 3       -0.004 3    
      1346.614 6      0.0793 15      0.0760 11     -0.0033 19     -0.0033 19    
      1846.000 8       0.0416 9      0.0322 20     -0.0094 21     -0.0094 21    
     1885.501 14       0.0068 3       0.0101 4       0.0033 5       0.0033 5    
       1960.88 3     0.00166 15     0.00081 11    -0.00085 18    -0.00085 18    
       1977.18 7     0.00167 22     0.00293 23       0.0013 3       0.0013 3    
     2513.396 23       0.0091 4       0.0094 3         0.0            0.0       
      2562.37 19         0.0        0.00135 21     0.00135 21     0.00135 21    
       2904.09 5       0.0032 6     0.00158 15      -0.0016 7      -0.0016 7    
     2977.787 21      0.0818 13      0.0749 11     -0.0070 17     -0.0070 17    
     3371.844 22      0.0710 11      0.0782 14      0.0072 18      0.0072 18    
       3413.31 3       0.0114 4       0.0128 4       0.0013 6       0.0013 6    
       3589.40 4       0.0147 4       0.0213 7       0.0067 8       0.0067 8    
       3628.20 7      0.00119 6      0.00161 9     0.00042 10     0.00042 10    
       3655.91 5       0.0031 3       0.0031 4         0.0            0.0       
      3682.03 10     0.00419 19     0.00381 20      -0.0004 3      -0.0004 3    
       3745.14 4       0.0081 4       0.0122 6       0.0041 8       0.0041 8    
       3865.59 8     0.00280 20       0.0030 3        2E-04 4        2E-04 4    
      3935.71 20     0.00041 13      0.00131 4     0.00090 14     0.00090 14    
       3943.48 9     0.00093 12      0.00043 3    -0.00050 12    -0.00050 12    
       3977.43 3       0.0157 6       0.0143 3      -0.0014 7      -0.0014 7    
      4048.34 11      0.00031 7      0.00033 6         0.0            0.0       
        4143.1 3         0.0         6.3E-0516      6.3E-0516      6.3E-0516    
        4186.8 6     0.00038 12      2.5E-0410     -1.3E-0416     -1.3E-0416    
       4196.26 7      0.0057 12     0.00247 14     -0.0033 12     -0.0033 12    
     4207.151 20      0.0659 12       0.0613 9     -0.0045 15     -0.0045 15    
       4441.64 3      0.0700 15      0.0708 13         0.0            0.0       
       4562.03 3       0.0081 4       0.0070 3      -0.0012 5      -0.0012 5    
       4621.63 7      0.00086 6     0.00043 10    -0.00043 11    -0.00043 11    
      4690.28 20      0.00026 5       0.0113 6       0.0111 6       0.0111 6    
       4751.08 3       0.0259 9       0.0255 7        -0.0           -0.0       
       4891.27 5         0.0         0.00153 9      0.00153 9      0.00153 9    
       5031.14 4       0.0055 5      0.00141 8      -0.0041 5      -0.0041 5    
       5045.07 3     0.00606 21     0.00620 24         0.0            0.0       
     5059.648 23      0.0043 16     0.00427 20         0.0            0.0       
       5117.30 7     0.00230 20     0.00180 24      -0.0005 3      -0.0005 3    
       5192.39 6      0.00028 8     0.00047 14      1.9E-0416      1.9E-0416    
      5252.29 11      1.7E-04 5      1.6E-04 7         0.0            0.0       
       5339.04 4     0.00294 22     0.00327 23       0.0003 3       0.0003 3    
     5397.067 22     0.00256 20       0.0026 6         0.0            0.0       
       5479.07 5     0.00171 15      0.00141 8    -0.00030 17    -0.00030 17    
     5809.561 21     0.00528 21     0.00393 18      -0.0014 3      -0.0014 3    
      5863.00 13      2.0E-04 8      1.8E-04 4         0.0            0.0       
     5918.323 25     0.00153 10       0.0017 4         0.0            0.0       
       5953.34 4     0.00370 18     0.00184 19      -0.0019 3      -0.0019 3    
      5967.37 15         0.0         5.7E-05 6      5.7E-05 6      5.7E-05 6    
     6072.826 18     0.00402 16       0.0050 3       0.0009 4       0.0009 4    
       6222.37 8         0.0         0.00067 4       0.0006 3       0.0006 3    
     6247.613 18     0.00430 22     0.00431 20         0.0            0.0       
     6959.592 15         0.0           0.527 7        0.527 7        0.527 7    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        0.516 10       0.516 10    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
