  24NA    23NA(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.513 4         0.0            0.0            0.0       
      472.2072 8        0.477 4        0.478 4         0.0            0.0       
     563.1992 16        0.239 3        0.243 3        0.005 4        0.005 4    
     1341.431 11      0.0895 14      0.1141 13      0.0246 20      0.0246 20    
     1344.653 10      0.0528 11       0.0392 7     -0.0136 13     -0.0136 13    
      1346.615 7      0.0739 12      0.0759 11      0.0020 16      0.0020 16    
      1846.004 8       0.0368         0.0325 6     -0.0044 11     -0.0044 11    
     1885.500 14       0.0131 7       0.0104 4      -0.0027 8      -0.0027 8    
       1960.90 4     0.00069 12         0.0       -0.00069 12    -0.00069 12    
      1977.21 10     0.00065 14     0.00300 25       0.0024 3       0.0024 3    
     2513.419 24       0.0078 5       0.0092 4       0.0014 7       0.0014 7    
      2562.38 24         0.0            0.0            0.0            0.0       
     2903.981 25       0.0045 3     0.00126 23      -0.0033 4      -0.0033 4    
     2977.830 20      0.0815 14      0.0741 11     -0.0074 17     -0.0074 17    
     3371.878 25      0.0705 12      0.0722 13      0.0017 18      0.0017 18    
       3413.35 4       0.0103 6       0.0105 6         0.0            0.0       
       3589.41 4       0.0132 4       0.0201 7       0.0069 8       0.0069 8    
      3628.17 13     0.00128 18     0.00074 15    -0.00054 23    -0.00054 23    
       3655.90 6     0.00215 24         0.0       -0.00215 24    -0.00215 24    
      3682.08 14       0.0036 3       0.0036 4         0.0            0.0       
       3745.12 3       0.0069 4       0.0107 5       0.0038 7       0.0038 7    
       3865.58 8       0.0025 4       0.0025 4         0.0            0.0       
      3935.65 20         0.0          0.0019 3       0.0019 3       0.0019 3    
      3943.49 12         0.0            0.0            0.0            0.0       
       3977.43 3       0.0150 6       0.0134 6      -0.0016 8      -0.0016 8    
      4048.38 15         0.0            0.0            0.0            0.0       
        4143.1 3         0.0            0.0            0.0            0.0       
          4200           0.0            0.0            0.0            0.0       
      4196.28 13     0.00191 24     0.00151 22      -0.0004 3      -0.0004 3    
     4207.212 21      0.1403 18       0.0598 9     -0.0805 20     -0.0805 20    
       4441.70 3      0.0695 11      0.0671 12     -0.0024 16     -0.0024 16    
       4562.07 3       0.0070 4       0.0051 3      -0.0019 5      -0.0019 5    
      4621.62 10         0.0            0.0            0.0            0.0       
        4692.2 3         0.0          0.0112 6       0.0112 6       0.0112 6    
     4751.071 25       0.0254 7       0.0159 7      -0.0095 *      -0.0095 *    
       4891.26 5         0.0        0.00108 21     0.00108 21     0.00108 21    
       5031.18 4         0.0          0.0018 3       0.0018 3       0.0018 3    
       5045.07 3       0.0062 3       0.0052 4      -0.0010 5      -0.0010 5    
     5059.649 22         0.0          0.0027 4       0.0027 4       0.0027 4    
       5117.27 7     0.00229 21       0.0014 3      -0.0009 3      -0.0009 3    
       5192.31 9         0.0            0.0            0.0            0.0       
      5252.37 14         0.0            0.0            0.0            0.0       
       5339.09 4       0.0030 3       0.0029 3      -1E-04 4       -1E-04 4     
       5397.09 3       0.0024 3         0.0         -0.0024 3      -0.0024 3    
       5479.06 6     0.00164 20         0.0       -0.00164 20    -0.00164 20    
     5809.601 22     0.00537 23     0.00230 23      -0.0031 3      -0.0031 3    
      5863.08 19         0.0            0.0            0.0            0.0       
       5918.37 3     0.00155 13     0.00086 18    -0.00069 22    -0.00069 22    
       5953.37 5         0.0            0.0            0.0            0.0       
      5967.37 19         0.0            0.0            0.0            0.0       
     6072.860 20     0.00403 17       0.0101 6       0.0061 6       0.0061 6    
      6222.41 12         0.0            0.0            0.0            0.0       
     6247.650 20     0.00417 24     0.00177 25      -0.0024 3      -0.0024 3    
     6959.634 17         0.0           0.583 4        0.583 4        0.583 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.513 7        0.513 7    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
