  59NI    58NI(N,G), (POL N,G) E=THERMAL1993HA05,1977IS01,1972ST0693ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           97           0.0            0.0            0.0       
      339.426 12          5.5 3         7.2 11         1.7 12         1.7 12    
      464.985 18           29 4           23 5           -6 7           -6 7    
      877.953 15          7.8 6         7.8 15         0.0            0.0       
     1188.792 17        1.86 14          2.0 4          0.2 4          0.2 4    
     1301.416 17         1.95 8          2.4 4          0.5 4          0.5 4    
     1679.700 23        0.78 10        0.79 14         0.0            0.0       
     1734.731 20         0.71 7        0.91 12        0.19 14        0.19 14    
     2414.972 20        2.81 13          3.4 4          0.6 4          0.6 4    
     2893.626 21        2.63 12        2.66 18         0.0            0.0       
       3025.83 4         1.05 4         0.94 5        -0.11 6        -0.11 6    
     3181.639 19        3.69 18        4.24 25          0.5 3          0.5 3    
       3377.41 4        0.196 9        0.245 9       0.049 13       0.049 13    
       3452.45 5        0.114 6        0.113 7         0.0            0.0       
       3540.09 4       0.124 10        0.135 7       0.010 12       0.010 12    
       3563.13 3         0.64 3         0.69 4         0.04 5         0.04 5    
     3686.210 23         1.80 9         1.96 6        0.16 11        0.16 11    
       3730.42 4       0.366 18       0.398 13       0.032 22       0.032 22    
       3853.73 4        0.156 8        0.156 6         0.0            0.0       
       3858.27 5        0.054 4        0.118 9        0.064 *        0.064 *    
       3889.75 6        0.122 6        0.065 3       -0.057 7       -0.057 7    
       4021.93 4       0.317 17        0.129 8      -0.189 19      -0.189 19    
       4140.35 3         1.55 7         1.43 6        -0.12 9        -0.12 9    
       4253.02 4       0.176 13       0.248 14       0.071 19       0.071 19    
       4352.46 5        0.135 7        0.094 3       -0.041 8       -0.041 8    
       4715.37 4       0.435 21       0.458 16         0.02 3         0.02 3    
       4968.90 4         0.55 3       0.404 14        -0.14 3        -0.14 3    
       5068.99 4       0.400 20        0.310        -0.090 23      -0.090 23    
       5384.71 4        0.181 9       0.209 13       0.029 16       0.029 16    
       5617.24 5       0.233 12        0.169 8      -0.063 14      -0.063 14    
       5632.09 4       0.265 13       0.245 14      -0.020 19      -0.020 19    
       5702.32 5        0.191          0.115 3      -0.075 10      -0.075 10    
       5754.60 6        0.093 6        0.083 7       -0.010 9       -0.010 9    
       5957.26 4        0.158 8       0.233 12       0.074 15       0.074 15    
       5994.17 5        0.114 6        0.155 7        0.041 9        0.041 9    
       6030.56 4         0.33 3        0.194 6        -0.13 3        -0.13 3    
       6101.41 5       0.121 12        0.083 6      -0.039 13      -0.039 13    
       6141.53 5       0.130 13        0.111 5      -0.018 14      -0.018 14    
       6598.23 4       0.225 22        0.180 7      -0.046 24      -0.046 24    
       7270.37 6       0.049 10        0.108 6       0.059 12       0.059 12    
     8999.171 19         0.0             100 9          100 9          100 9    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           97 11          97 11    
             TOTAL UNPLACED GAMMA INTENSITY =          2.11 9                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
