  59NI    58NI(N,G), (POL N,G) E=THERMAL1993HA05,1977IS01,1972ST06               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         4.36 5         0.0            0.0            0.0       
      339.421 11      0.2221 24        0.245 3        0.022 4        0.022 4    
      464.980 12       1.250 19       1.238 15        -0.0           -0.0       
      877.984 11        0.333 5        0.352 4        0.018 7        0.018 7    
     1188.794 13      0.0800 15        0.090 3        0.010 3        0.010 3    
     1301.449 13      0.0818 22        0.105 4        0.023 5        0.023 5    
     1679.667 20       0.0127 6       0.0358 9      0.0231 11      0.0231 11    
     1734.714 16       0.0150 7       0.0419 8      0.0269 10      0.0269 10    
     2414.925 15        0.128 3      0.1406 19        0.012 4        0.012 4    
     2893.596 19        0.111 3      0.1024 16       -0.009 4       -0.009 4    
       3025.77 3      0.0430 25      0.0377 11       -0.005 3       -0.005 3    
     3181.624 16        0.161 3        0.130 4       -0.031 5       -0.031 5    
       3377.44 4       0.0080 5       0.0103 4       0.0023 6       0.0023 6    
       3452.48 6     0.00397 22       0.0048 3       0.0009 4       0.0009 4    
       3540.08 6       0.0054 5       0.0058 3       0.0004 5       0.0004 5    
       3563.11 4       0.0276 9       0.0267 9     -0.0009 12     -0.0009 12    
     3686.220 22      0.0789 19      0.0815 20        0.003 3        0.003 3    
       3730.35 4       0.0154 8       0.0175 5       0.0021 9       0.0021 9    
       3853.73 6       0.0079 7       0.0067 3      -0.0012 7      -0.0012 7    
       3858.26 4     0.00232 19       0.0051 5       0.0028 5       0.0028 5    
       3889.71 6     0.00530 25     0.00279 14      -0.0025 3      -0.0025 3    
       4021.93 4       0.0133 6       0.0060 4      -0.0073 7      -0.0073 7    
       4140.34 3      0.0671 15      0.0625 15     -0.0047 22     -0.0047 22    
       4253.00 4       0.0077 5       0.0079 6         0.0            0.0       
       4352.45 4       0.0059 3     0.00400 21      -0.0019 4      -0.0019 4    
       4715.32 4       0.0176 6       0.0188 7       0.0012 9       0.0012 9    
       4968.86 4       0.0230 8       0.0170 6     -0.0060 10     -0.0060 10    
       5069.03 4       0.0176 6       0.0132 4      -0.0044 7      -0.0044 7    
       5384.72 3       0.0079 3       0.0090 5       0.0011 6       0.0011 6    
       5617.24 4       0.0097 4       0.0069 4      -0.0028 6      -0.0028 6    
       5632.02 4       0.0112 4       0.0105 6      -0.0006 7      -0.0006 7    
       5702.37 6       0.0081 4     0.00495 18      -0.0031 4      -0.0031 4    
       5754.73 8       0.0040 3       0.0033 4      -0.0007 5      -0.0007 5    
       5957.26 4       0.0067 4       0.0100 5       0.0033 6       0.0033 6    
       5994.17 4     0.00477 24       0.0057 5       0.0009 6       0.0009 6    
       6030.55 3       0.0126 6       0.0083 7      -0.0044 9      -0.0044 9    
       6101.40 5       0.0052 3       0.0031 3      -0.0021 4      -0.0021 4    
       6141.53 4       0.0054 4      0.0060 11      0.0006 12      0.0006 12    
       6598.36 6       0.0078 6       0.0066 7      -0.0012 9      -0.0012 9    
       7270.35 4       0.0037 3       0.0046 3       0.0009 4       0.0009 4    
     8999.151 15         0.0            4.30 5         4.30 5         4.30 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          4.36 5         4.36 5    
             TOTAL UNPLACED GAMMA INTENSITY =          2.11 9                   
              NORMALIZATION UNCERTAINTY (%) =    .0129                          
