  61NI    60NI(N,G) E=THERMAL           1993HA05                  99ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          101 3         0.0            0.0            0.0       
       67.420 16         1.13 7           1.           0.0            0.0       
      282.887 20        33.3 16           33           0.0            0.0       
      656.044 19         0.86 6        1.07 19        0.21 20        0.21 20    
        908.64 3       0.116 13         0.44 7         0.33 7         0.33 7    
     1099.663 19        2.76 12          3.2 5          0.5 5          0.5 5    
     1132.407 23       0.193 14         0.43 7         0.24 7         0.24 7    
     1185.340 19        2.13 16          2.6 5          0.5 5          0.5 5    
       1609.90 4         0.18 3         0.23 3         0.05 4         0.05 4    
       1729.73 3       0.209 16         0.41 4         0.20 4         0.20 4    
     2124.019 22          6.5 3          7.0 6          0.6 7          0.6 7    
       2639.71 4        0.162 8       0.204 18       0.042 19       0.042 19    
       2765.09 6       0.203 13       0.194 13      -0.009 19      -0.009 19    
       2863.52 7        0.160 9       0.127 13      -0.033 16      -0.033 16    
       3062.30 4       0.209 11       0.251 16       0.042 20       0.042 20    
     3145.043 24         0.86 4         0.95 4         0.09 6         0.09 6    
       3231.81 3       0.479 24         0.45 3        -0.03 4        -0.03 4    
       3415.19 3         0.65 3       0.527 18        -0.12 4        -0.12 4    
       3525.60 5        0.108 9        0.096 6      -0.012 11      -0.012 11    
       3668.98 4       0.482 24       0.580 22         0.10 3         0.10 3    
       3711.43 5       0.457 23       0.336 16        -0.12 3        -0.12 3    
       3738.44 6        0.061 3      0.0500 24       -0.011 4       -0.011 4    
       3776.60 5        0.120 6       0.126 11       0.006 12       0.006 12    
       3869.92 4       0.233 12        0.209 9      -0.024 15      -0.024 15    
       4178.68 7        0.094 6        0.070 9      -0.024 11      -0.024 11    
       4239.70 5       0.457 23       0.257 12        -0.20 3        -0.20 3    
       4713.11 8        0.052 5      0.0390 22       -0.013 6       -0.013 6    
       4886.09 4       0.139 14        0.097 3      -0.042 14      -0.042 14    
       4963.20 5        0.071 7        0.082 3        0.011 8        0.011 8    
       5036.12 5       0.104 11        0.128 8       0.024 13       0.024 13    
       5112.31 5       0.125 13        0.083 4      -0.042 14      -0.042 14    
     7820.074 21         0.0              99 3           99 3           99 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           101 3          101 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.86 5                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
