  61NI    60NI(N,G) E=THERMAL           1993HA05                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         2.42 3         0.0            0.0            0.0       
        67.412 3      0.0292 17      0.0378 13      0.0086 22      0.0086 22    
      282.918 18       0.835 15       0.805 11      -0.030 19      -0.030 19    
      656.049 19      0.0183 13       0.0251 9      0.0068 16      0.0068 16    
        908.63 3       0.0026 5       0.0092 8       0.0066 9       0.0066 9    
     1099.649 19        0.062 3      0.0699 16        0.008 3        0.008 3    
     1132.411 24      0.0100 25      0.0098 16         0.0            0.0       
     1185.313 21      0.0466 21      0.0567 16        0.010 3        0.010 3    
       1609.88 4        0.013 4      0.0080 20       -0.005 4       -0.005 4    
       1729.72 3      0.0626 16      0.0509 19     -0.0117 25     -0.0117 25    
       2123.97 3        0.160 5        0.160 4         0.0            0.0       
       2639.71 4       0.0036 3       0.0046 4       0.0010 6       0.0010 6    
       2765.06 7       0.0045 4       0.0073 9      0.0027 10      0.0027 10    
       2863.58 7       0.0036 3       0.0029 3      -0.0007 5      -0.0007 5    
       3062.30 3       0.0048 3       0.0056 6       0.0008 7       0.0008 7    
     3145.032 25      0.0191 11      0.0214 12      0.0024 16      0.0024 16    
       3231.78 5       0.0106 8      0.0734 22      0.0628 23      0.0628 23    
       3415.19 3      0.0148 10       0.0119 7     -0.0029 12     -0.0029 12    
       3525.63 5       0.0024 5     0.00215 18        -0.0           -0.0       
       3668.99 4       0.0109 8       0.0125 7      0.0016 10      0.0016 10    
       3711.50 6       0.0103 7       0.0076 5      -0.0027 9      -0.0027 9    
       3738.44 5     0.00137 11      0.00112 8    -0.00026 14    -0.00026 14    
       3776.61 7     0.00267 23      0.0057 24      0.0031 24      0.0031 24    
       3869.92 4       0.0052 5      0.0047 24         0.0            0.0       
       4178.63 8     0.00210 19        0.009 4        0.007 4        0.007 4    
       4239.72 5       0.0103 7       0.0058 7     -0.0044 10     -0.0044 10    
       4713.11 7     0.00114 19      0.00087 7    -0.00027 20    -0.00027 20    
       4886.07 4       0.0031 3     0.00217 11      -0.0009 4      -0.0009 4    
       4963.24 5     0.00160 23     0.00183 11      2.3E-0425      2.3E-0425    
       5036.12 4       0.0025 3     0.00286 22       0.0004 4       0.0004 4    
       5112.26 5       0.0028 4     0.00189 13      -0.0009 4      -0.0009 4    
     7820.055 21         0.0            2.36 3         2.36 3         2.36 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          2.42 3         2.42 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.86 5                   
              NORMALIZATION UNCERTAINTY (%) =    .0315                          
