  62NI    61NI(N,G) E=THERMAL           1970FA06,1975WI06         90ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          101 4         0.0            0.0            0.0       
       1172.77 8           58 3           76 4           18 5           18 6    
      2048.41 11         10.6 9        14.3 15         3.8 17         3.8 19    
       2301.50 9         11.5 9        17.2 17         5.7 19         5.7 22    
      2336.16 16          3.8 5         5.8 11         2.0 12         2.0 13    
      2891.07 25         4.9 20          1.2 3        -3.7 20        -3.7 20    
      3058.30 16          3.1 4          4.4 5          1.3 6          1.3 7    
        3157.7 3          2.0 3          6.3 7          4.3 7         4.3 11    
      3257.44 23          1.5 3          4.0 6          2.5 7          2.5 8    
      3269.79 20          5.5 4        14.5 14         9.0 15         9.0 23    
        3370.2 4        0.50 10          2.7 5          2.2 5          2.2 7    
      3518.34 18          3.6 7          5.6 9         2.0 11         2.0 12    
      3522.67 18          2.1 7          9.3 8         7.2 11         7.2 18    
        3756.6 5         0.0             0.9 3          0.9 3          0.9 4    
      3849.25 25        1.30 20        1.05 21         -0.3 3         -0.3 3    
        3859.3 5        1.20 20        2.12 25          0.9 3          0.9 4    
        3972.6 3          1.7 3          3.2 7          1.5 8          1.5 9    
        4062.5 5          1.8 4        1.90 22         0.0            0.0       
        4151.0 3        1.20 20          1.9 4          0.7 4          0.7 4    
        4201.2 3          0.5 3        0.55 15         0.0            0.0       
       4208.9 15        0.40 20         0.0          -0.40 20       -0.40 20    
       4231.9 15          0.5 3         0.0            -0.5 3         -0.5 3    
       4317.1 11        0.49 20        0.25 10       -0.24 23       -0.24 23    
        4416.1 6        1.00 20        0.90 14       -0.10 24       -0.10 24    
       4627.4 10        0.70 10        0.72 18         0.0            0.0       
        4719.5 6        0.30 10        0.75 22        0.45 24          0.5 3    
       4999.6 13        0.15 10        1.00 14        0.85 17        0.85 24    
       10596.3 3         0.0              43 3           43 3           43 9    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           101 6         101 21    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =  20.0000                          
