  62NI    61NI(N,G) E=THERMAL           1970FA06,1975WI06                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        1.65 12         0.0            0.0            0.0       
       1172.85 5        1.06 10         1.07 4         0.0            0.0       
       2048.45 9         0.16 7       0.152 22         0.0            0.0       
       2301.58 8         0.24 4        0.26 10         0.0            0.0       
      2336.20 13         0.04 3       0.127 18         0.08 3         0.08 3    
      2891.12 22         0.0          0.018 19       0.018 19       0.018 19    
      3058.48 18       0.040 19         0.10 3         0.06 3         0.06 3    
      3157.79 24       0.029 21         0.09 5         0.07 5         0.07 5    
      3257.27 22       0.022 20       0.075 19         0.05 3         0.05 3    
      3269.95 19         0.08 4         0.26 6         0.18 7         0.18 7    
        3370.3 4       0.054 11         0.04 3        -0.02 3        -0.02 3    
      3518.43 15         0.05 4         0.08 6         0.0            0.0       
      3522.32 19      0.0080 10         0.13 3         0.12 3         0.12 3    
        3756.7 4         0.0           0.006 6        0.006 6        0.006 6    
      3849.38 23       0.018 14        0.015 5         0.0            0.0       
        3859.3 4       0.018 14       0.023 14         0.0            0.0       
        3972.6 3       0.025 21         0.22 6         0.20 6         0.20 6    
        4062.6 4         0.03 3       0.027 15         0.0            0.0       
        4151.5 4       0.018 14       0.106 23         0.09 3         0.09 3    
        4200.9 3         0.0         0.0080 10      0.0080 10      0.0080 10    
       4208.5 17         0.0            0.0            0.0            0.0       
       4231.5 17         0.0            0.0            0.0            0.0       
        4316.7 9         0.0           0.004 6        0.004 6        0.004 6    
        4416.1 5       0.014 13       0.060 13       0.046 19       0.046 19    
        4627.3 9        0.011 7        0.005 6       -0.005 9       -0.005 9    
        4718.4 6        0.004 6         0.0          -0.004 6       -0.004 6    
        5001.1 5         0.58 5       0.014 10        -0.56 5        -0.56 5    
       10595.6 3         0.0           1.28 11        1.28 11        1.28 11    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         1.65 20        1.65 20    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0912                          
