
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.  1172.77 8                       
    3.  2048.41 11                      
    4.  2301.50 9                       
    5.  2336.16 16                      
    6.  2891.07 25                      
    7.  3058.30 16                      
    8.  3157.7 3                        
    9.  3257.44 23                      
   10.  3269.79 20                      
   11.  3370.2 4                        
   12.  3518.34 18                      
   13.  3522.67 18                      
   14.  3756.6 5                        
   15.  3849.25 25                      
   16.  3859.3 5                        
   17.  3972.6 3                        
   18.  4062.5 5                        
   19.  4151.0 3                        
   20.  4201.2 3                        
   21.  4208.9 12                       
   22.  4231.9 12                       
   23.  4317.0 11                       
   24.  4416.1 6                        
   25.  4627.4 10                       
   26.  4719.5 6                        
   27.  4999.6 13                       
   28. 10596.3 3                        
 
   GAMMA ENERGIES
           NOT CONSTRAINED TO LEVELS
       61NI(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
           264.94 25           264.94 25    13  9                                                                                   
             310.4 5             310.4 5    25 23                                                                                   
             450.4 7             450.4 7    17 13                                                                                   
           459.74 25           459.74 25    12  7                                                                                   
           464.63 15           464.63 15    13  7                                                                                   
            479.6 10            479.6 10    11  6                                                                                   
           579.42 20           579.42 20    15 10                                                                                   
             678.5 3             678.5 3    20 13                                                                                   
             703.1 6             703.1 6    17 10                                                                                   
             722.0 5             722.0 5     7  5                                                                                   
             756.8 3             756.8 3     7  4                                                                                   
             855.6 5             855.6 5     8  4                                                                                   
            875.64 8            875.64 8     3  2                                                                                   
             968.2 4             968.2 4    10  4                                                                                   
            1045.9 4            1045.9 4    24 11                                                                                   
            1067.6 8            1067.6 8    11  4                                                                                   
          1092.50 25          1092.50 25    19  7                                                                                   
          1128.73 10          1128.73 10     4  2                                                                                   
          1163.30 15          1163.30 15     5  2                                                                                   
          1172.80 10          1172.80 10     2  1                                                                                   
            1185.9 4            1185.9 4    13  5                                                                                   
            1220.8 4            1220.8 4    10  3                                                                                   
            1322.1 6            1322.1 6    11  3                                                                                   
            1455.2 5            1455.2 5    14  4                                                                                   
            1470.4 5            1470.4 5    12  3                                                                                   
            1548.0 5            1548.0 5    15  4                                                                                   
            1661.3 7            1661.3 7    26  7                                                                                   
          1718.26 25          1718.26 25     6  2                                                                                   
            1761.0 5            1761.0 5    18  4                                                                                   
            1815.8 8            1815.8 8    19  5                                                                                   
            1850.0 7            1850.0 7    19  4                                                                                   
            1886.2 4            1886.2 4     7  2                                                                                   
            1985.1 3            1985.1 3     8  2                                                                                   
            2084.2 3            2084.2 3     9  2                                                                                   
            2097.3 3            2097.3 3    10  2                                                                                   
           2289.7 15           2289.7 15    25  5                                                                                   
          2301.41 12          2301.41 12     4  1                                                                                   
          2345.64 20          2345.64 20    12  2                                                                                   
           2583.6 12           2583.6 12    14  2                                                                                   
            2799.4 5            2799.4 5    17  2                                                                                   
           3060.0 20           3060.0 20     7  1                                                                                   
           3158.0 15           3158.0 15     8  1                                                                                   
           3270.0 10           3270.0 10    10  1                                                                                   
           3370.0 20           3370.0 20    11  1                                                                                   
              3456 3              3456 3    25  2                                                                                   
              3518 3              3518 3    12  1                                                                                   
           3546.0 20           3546.0 20    26  2                                                                                   
           3828.0 20           3828.0 20    27  2                                                                                   
           3860.0 15           3860.0 15    16  1                                                                                   
           3972.0 15           3972.0 15    17  1                                                                                   
           4061.0 20           4061.0 20    18  1                                                                                   
           4208.7 15           4208.7 15    21  1                                                                                   
           4231.7 15           4231.7 15    22  1                                                                                   
              4318 3              4318 3    23  1                                                                                   
           4416.0 20           4416.0 20    24  1                                                                                   
           4998.0 20           4998.0 20    27  1                                                                                   
              5596 4              5596 4    28 27                                                                                   
           5877.0 20           5877.0 20    28 26                                                                                   
           5968.0 20           5968.0 20    28 25                                                                                   
           6179.0 20           6179.0 20    28 24                                                                                   
              6277 3              6277 3    28 23                                                                                   
           6364.0 20           6364.0 20    28 22                                                                                   
           6387.0 20           6387.0 20    28 21                                                                                   
           6395.0 20           6395.0 20    28 20                                                                                   
           6445.0 20           6445.0 20    28 19                                                                                   
           6532.0 20           6532.0 20    28 18                                                                                   
           6623.0 20           6623.0 20    28 17                                                                                   
              6738 3              6738 3    28 16                                                                                   
              6748 3              6748 3    28 15                                                                                   
           6840.0 20           6840.0 20    28 14                                                                                   
              7073 3              7073 3    28 13                                                                                   
           7078.0 20           7078.0 20    28 12                                                                                   
           7326.0 15           7326.0 15    28 10                                                                                   
           7338.0 20           7338.0 20    28  9                                                                                   
           7436.0 20           7436.0 20    28  8                                                                                   
           7537.0 20           7537.0 20    28  7                                                                                   
           7703.4 15           7703.4 15    28  6                                                                                   
           8302.5 17           8302.5 17    28  4                                                                                   
           8551.3 15           8551.3 15    28  3                                                                                   
            9422.3 5            9422.3 5    28  2                                                                                   
           10594.6 7           10594.6 7    28  1                                                                                   
      DATA SET  1. ENERGIES CORRECTED BY    .0000000+-  .0000000 KEV     CHISQ/F =  .0000         F= 55
      CHISQ/F =  .0000      (FIT OF   83GAMMAS -  27LEVELS)
 
 
   LEAST-SQUARED FIT AVERAGE INTENSITIES        0 ITERATIONS
    LEVEL/GAMMA     INTENSITY     CHISQ/F
