  61NI    60NI(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         2.41 3         0.0            0.0            0.0       
         67.32 4      0.0202 22      0.0332 11      0.0130 25      0.0130 25    
        282.91 4       0.831 16       0.805 11      -0.027 19      -0.027 19    
        655.96 3       0.0047 5       0.0251 9      0.0205 11      0.0205 11    
        908.61 9         0.0          0.0069 7       0.0069 7       0.0069 7    
       1099.60 3        0.065 4      0.0696 16        0.005 4        0.005 4    
        1132.2 3      0.0066 14       0.0040 8     -0.0026 16     -0.0026 16    
       1185.24 3        0.040 3      0.0550 16        0.015 3        0.015 3    
      1608.50 21      0.0118 14      0.0053 11     -0.0065 18     -0.0065 18    
       1729.67 6      0.0587 15      0.0439 15     -0.0149 22     -0.0149 22    
       2123.94 3        0.160 5        0.160 4         0.0            0.0       
        2638.2 5         0.0         0.0042 15      0.0042 15      0.0042 15    
        2765.5 3         0.0         0.0085 14      0.0085 14      0.0085 14    
       2863.52 7         0.0            0.0            0.0            0.0       
       3062.31 4      0.0065 15         0.0        -0.0065 15     -0.0065 15    
      3144.68 14      0.0179 19      0.0153 16     -0.0027 25     -0.0027 25    
       3231.50 6      0.0092 11      0.0675 21      0.0583 24      0.0583 24    
      3415.39 13      0.0172 15       0.0057 8     -0.0114 17     -0.0114 17    
       3525.60 5         0.0            0.0            0.0            0.0       
      3668.99 15      0.0141 15      0.0092 15     -0.0050 22     -0.0050 22    
      3711.86 24      0.0107 15      0.0099 19         0.0            0.0       
       3738.44 6      0.0027 15         0.0        -0.0027 15     -0.0027 15    
        3777.7 5         0.0         0.0034 11      0.0034 11      0.0034 11    
       3869.92 4         0.0            0.0            0.0            0.0       
        4176.1 3         0.0         0.0076 11      0.0076 11      0.0076 11    
      4239.59 17      0.0107 15      0.0069 15     -0.0038 22     -0.0038 22    
       4713.11 8         0.0            0.0            0.0            0.0       
       4886.09 4      0.0031 11         0.0        -0.0031 11     -0.0031 11    
       4963.20 5         0.0            0.0            0.0            0.0       
       5036.11 5       0.0046 9         0.0         -0.0046 9      -0.0046 9    
        5113.1 6         0.0         0.0038 15      0.0038 15      0.0038 15    
       7819.97 4         0.0            2.35 3         2.35 3         2.35 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          2.41 3         2.41 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0315                          
