  32P     31P(N,G) E=THERMAL            89MI16,85EE11                            
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.0 11         0.0            0.0            0.0       
       78.065 18           35 4           35           0.0            0.0       
        512.70 3           47 5           47           0.0            0.0       
     1149.390 22          33 15           38 6         0.0            0.0       
     1322.833 25          5.2 8         5.9 10         0.6 13         0.6 13    
       1755.02 4          3.2 6          2.9 7         -0.4 9         -0.4 9    
       2177.26 5         0.41 9         0.34 5        -0.07 *        -0.07 *    
       2217.73 6       0.663 21        0.99 11        0.33 11        0.33 11    
       2229.74 3          6.6 4          6.8           0.0            0.0       
       2313.46 8         0.47 4        0.59 14        0.12 15        0.12 15    
      2579.12 14         0.40 3         0.30 6        -0.09 6        -0.09 6    
       2657.64 4        1.63 10          2.7 3          1.1 3          1.1 3    
       2740.46 5        2.11 12        2.01 24         -0.1 3         -0.1 3    
      3073.91 13         0.59 8         0.18 5        -0.41 9        -0.41 9    
     3264.011 24         13.6 6        16.3 15         2.6 16         2.6 16    
       3444.39 4        2.12 10        2.14 14         0.0            0.0       
      3792.53 22        0.196 9         0.49 9         0.30 9         0.30 9    
       4009.01 4        2.46 13        2.29 20       -0.17 24       -0.17 24    
       4035.60 3         17.4 9         18.7 9         1.2 12         1.2 12    
      4549.22 12         0.53 7         0.36 9       -0.16 11       -0.16 11    
       4661.54 4        4.85 25        4.88 20         0.0            0.0       
      4710.45 15         0.47 4       0.382 11        -0.09 4        -0.09 4    
       4877.42 4          6.8 3        6.17 23         -0.6 4         -0.6 4    
       5072.53 7          1.9 3         1.97 9         0.0            0.0       
      5307.58 11         0.35 9        0.128 3        -0.22 9        -0.22 9    
      5326.00 14         0.32 5        0.163 4        -0.16 5        -0.16 5    
       5349.65 4          6.1 9        4.48 18         -1.6 *         -1.6 *    
       5509.36 3          1.8 3        1.82 12         0.0            0.0       
       5701.49 7        0.79 12         0.59 6       -0.20 14       -0.20 14    
       5778.74 3         8.0 12        7.25 24        -0.8 12        -0.8 12    
       6062.14 5          2.1 5         1.94 9         0.0            0.0       
       6196.36 5          1.4 4         1.02 5         -0.4 4         -0.4 4    
      6332.54 18         0.0          0.284 11       0.284 11       0.284 11    
      6510.62 19         0.16 4         0.23 4         0.07 6         0.07 6    
      6558.00 11         0.35 9         0.24 4        -0.11 9        -0.11 9    
       6581.90 6        0.79 20         0.0            0.0            0.0       
      6783.69 15         0.23 6       0.329 12         0.10 6         0.10 6    
     7935.768 22         0.0           92.8 22        92.8 22        92.8 22    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          100 17         100 17    
             TOTAL UNPLACED GAMMA INTENSITY =           8.9 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
