  32P     31P(N,G) E=THERMAL            89MI16,85EE11                            
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.167 5         0.0            0.0            0.0       
       78.083 20      0.0553 13        0.060 3        0.004 3        0.004 3    
      512.650 19      0.0780 17        0.079 4         0.0            0.0       
     1149.320 19      0.0586 16      0.0598 19         0.0            0.0       
       1322.75 3     0.00821 23       0.0089 3       0.0007 4       0.0007 4    
       1754.97 3       0.0050 4     0.00413 20      -0.0008 4      -0.0008 4    
      2177.17 20     1.37E-04 9      0.00056 4      0.00042 4      0.00042 4    
       2217.81 6      0.00090 3      0.00147 8      0.00057 9      0.00057 9    
       2229.68 3     0.01049 22       0.0110 5       0.0005 6       0.0005 6    
       2313.43 7     0.00061 11       0.0010 3       0.0004 3       0.0004 3    
      2579.04 12     1.08E-04 7     0.00052 10     0.00041 10     0.00041 10    
       2657.47 6     0.00285 18     0.00363 19       0.0008 3       0.0008 3    
       2740.24 5       0.0039 3     0.00333 16      -0.0006 3      -0.0006 3    
      3073.95 12     0.00099 15      0.00031 8    -0.00068 17    -0.00068 17    
       3263.86 3       0.0229 7       0.0248 6       0.0019 9       0.0019 9    
       3444.25 5     0.00361 14      0.00316 9    -0.00045 16    -0.00045 16    
      3791.96 21    0.000329 16    0.000290 23       -4E-05 3       -4E-05 3    
       4008.86 5     0.00421 15      0.00352 9    -0.00069 17    -0.00069 17    
       4035.45 3      0.0302 10       0.0316 9      0.0014 13      0.0014 13    
        4548.6 3         0.0        0.00055 15     0.00055 15     0.00055 15    
       4661.43 4       0.0083 3       0.0083 3         0.0            0.0       
      4710.46 13      0.00081 7    0.000650 23     -1.6E-04 8     -1.6E-04 8    
       4877.27 4       0.0110 4       0.0107 3      -0.0003 5      -0.0003 5    
       5072.44 7     0.00359 18     0.00339 12     -2.0E-0422     -2.0E-0422    
      5307.58 13      0.00028 3     2.19E-04 9       -6E-05 3       -6E-05 3    
      5326.12 14         0.0       0.000278 12    0.000278 12    0.000278 12    
       5349.49 4       0.0092 4       0.0080 3      -0.0012 5      -0.0012 5    
       5509.21 3     0.00265 13      0.00292 8     0.00027 15     0.00027 15    
       5701.44 6      0.00123 8    0.000625 21     -0.00060 8     -0.00060 8    
       5778.62 4       0.0128 6       0.0124 4      -0.0004 7      -0.0004 7    
       6062.02 5     0.00320 16      0.00279 7    -0.00041 17    -0.00041 17    
       6196.41 5     0.00201 10      0.00145 5    -0.00056 11    -0.00056 11    
      6332.63 19         0.0       0.000487 19    0.000487 19    0.000487 19    
      6510.56 19      0.00028 7      0.00039 7      1.1E-0410      1.1E-0410    
       6557.86 9         0.0         0.00040 6      0.00040 6      0.00040 6    
       6582.00 6      0.00126 7      0.00102 4     -2.4E-04 8     -2.4E-04 8    
      6783.59 10      0.00045 4    0.000558 21      1.1E-04 5      1.1E-04 5    
     7935.596 23         0.0         0.1591 22      0.1591 22      0.1591 22    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.167 6        0.167 6    
             TOTAL UNPLACED GAMMA INTENSITY =           9.1 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
