  32P     31P(N,G) E=THERMAL                                                     
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.172 5         0.0            0.0            0.0       
       78.043 15      0.0547 14        0.064 3        0.010 4        0.010 4    
      512.651 14      0.0793 19        0.079 4         0.0            0.0       
     1149.245 15      0.0595 16      0.0596 19         0.0            0.0       
     1322.684 18     0.00733 24       0.0088 3       0.0015 4       0.0015 4    
       1754.90 3     0.00327 16     0.00410 20       0.0008 3       0.0008 3    
      2177.50 10         0.0         0.00051 5      0.00051 5      0.00051 5    
       2217.75 5      0.00064 6      0.00111 7      0.00047 9      0.00047 9    
     2229.599 24       0.0105 3       0.0109 5       0.0005 6       0.0005 6    
       2313.14 8      0.00040 5         0.0        -0.00040 5     -0.00040 5    
      2578.96 12      0.00028 4         0.0        -0.00028 4     -0.00028 4    
       2657.21 5     0.00228 15     0.00336 15     0.00108 21     0.00108 21    
       2740.15 5     0.00333 17     0.00331 17         0.0            0.0       
      3073.90 20         0.0            0.0            0.0            0.0       
     3263.736 20      0.0233 10       0.0244 6      0.0011 12      0.0011 12    
       3444.17 4     0.00322 17     0.00325 12         0.0            0.0       
      3791.67 19      0.00029 4      0.00042 5     1.3E-04 6      1.3E-04 6     
       4008.59 3     0.00430 20     0.00361 13    -0.00069 24    -0.00069 24    
       4035.34 3      0.0308 14      0.0314 11         0.0            0.0       
      4548.13 23         0.0        1.7E-04 3      1.7E-04 3      1.7E-04 3     
       4661.28 5       0.0084 4       0.0075 3      -0.0009 5      -0.0009 5    
       4710.55 8      0.00054 5         0.0        -0.00054 5     -0.00054 5    
       4877.19 4       0.0109 5       0.0107 4         0.0            0.0       
       5072.27 5     0.00363 19     0.00348 19      -2E-04 3       -2E-04 3     
       5307.85 5    0.000266 23         0.0      -0.000266 23   -0.000266 23    
       5326.26 9      0.00028 3         0.0        -0.00028 3     -0.00028 3    
       5349.29 4       0.0088 4       0.0075 3      -0.0014 5      -0.0014 5    
       5509.10 4     0.00260 14     0.00248 11    -1.2E-04 18    -1.2E-04 18    
       5701.22 6      0.00121 8    1.16E-04 24     -0.00109 8     -0.00109 8    
       5778.47 3       0.0127 6       0.0127 4         0.0            0.0       
       6061.90 4     0.00318 16     0.00327 15       9E-05 22       9E-05 22    
       6196.14 5     0.00199 10     0.00164 10    -0.00035 14    -0.00035 14    
        6332.7 3         0.0         0.00040 6      0.00040 6      0.00040 6    
      6510.60 20         0.0            0.0            0.0            0.0       
       6557.64 8      0.00049 4     1.2E-04 4      -0.00037 6     -0.00037 6    
       6581.75 5      0.00126 7      0.00111 9    -1.5E-04 11    -1.5E-04 11    
       6783.32 9      0.00046 4      0.00029 5    -1.7E-04 6     -1.7E-04 6     
     7935.299 24         0.0         0.1626 25      0.1626 25      0.1626 25    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.172 6        0.172 6    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
