  33S     32S(N,G) E=THERMAL            85RA15                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 6         0.0            0.0            0.0       
      841.001 12        28.8 14           68 6           39 7           39 7    
       1967.18 4         0.61 4         0.82          0.21 11        0.21 11    
     2313.446 14        2.41 14        2.61 19        0.20 24        0.20 24    
     2867.720 20         0.63 6         0.95          0.32 11        0.32 12    
      2935.20 20        0.026 4        0.038 6        0.011 7        0.011 7    
      2968.60 10         0.0            0.0            0.0            0.0       
     3220.754 14           66 5         25.6 4          -40 5          -40 5    
      3831.60 20         0.0          0.043 11       0.043 11       0.043 11    
       3934.87 8       0.136 14       0.095 17      -0.041 22      -0.041 22    
      4055.52 18        0.022 4       0.057 16       0.035 16       0.035 16    
       4144.49 6         0.36 3         0.33 4        -0.03 5        -0.03 5    
       4210.95 3          5.7 5          5.7 5         0.0            0.0       
      4423.83 14         0.22 3         0.33 5         0.11 5         0.11 5    
     4918.086 19          2.7 3          2.9 3          0.3 4          0.3 4    
        5286.1 3         0.16 4         0.30 6         0.14 7         0.14 7    
        5480.1 4         0.15 3         0.15 3         0.0            0.0       
       5613.15 5         0.20 4         0.22 3         0.02 5         0.02 5    
     5711.063 18        17.1 18        16.6 12         0.0            0.0       
       5888.56 3          5.7 6          5.3 3         -0.3 6         -0.3 6    
       6425.10 3        2.62 24        2.17 17         -0.4 3         -0.4 3    
       6676.98 4        1.40 14         1.26 7       -0.14 15       -0.14 15    
       7187.98 3         0.56 5         0.32 3        -0.24 6        -0.24 6    
       7416.15 3         0.67 8         0.56 5        -0.11 *        -0.11 *    
      7488.49 16       0.039 12        0.035 8         0.0            0.0       
       7506.58 3         0.49 5         0.39 3        -0.10 6        -0.10 6    
       7616.02 4       0.160 16       0.059 16      -0.100 22      -0.100 22    
       8368.35 4        0.067 8        0.049 8      -0.018 11      -0.018 11    
       8641.58 3         0.0             101 6          101 6          101 9    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 9         100 11    
             TOTAL UNPLACED GAMMA INTENSITY =        0.225 20                   
              NORMALIZATION UNCERTAINTY (%) =   6.5990                          
