  33S     32S(N,G) E=THERMAL            85RA15                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.528 8         0.0            0.0            0.0       
      841.004 13        0.372 6        0.365 6       -0.007 8       -0.007 8    
       1967.17 3     0.00291 17     0.00381 19       0.0009 3       0.0009 3    
     2313.441 17       0.0135 3     0.01315 24      -0.0003 4      -0.0003 4    
     2867.714 23     0.00363 12     0.00454 16     0.00091 20     0.00091 20    
      2935.15 17     1.4E-04 3      1.9E-04 3        5E-05 4        5E-05 4     
      2968.60 15     2.1E-05 11         0.0       -2.1E-05 11    -2.1E-05 11    
     3220.757 17        0.355 7        0.346 7      -0.009 10      -0.009 10    
        3832.1 7         0.0        2.4E-04 6      2.4E-04 6      2.4E-04 6     
       3934.84 6     0.00075 10      0.00057 8    -1.8E-04 13    -1.8E-04 13    
      4055.44 17     1.1E-04 3       0.00031 5     2.0E-04 6      2.0E-04 6     
       4144.42 5     0.00185 10     0.00172 13    -1.4E-04 17    -1.4E-04 17    
       4210.89 4       0.0308 6       0.0307 5         0.0            0.0       
      4423.89 11      0.00115 8       0.0017 3       0.0005 3       0.0005 3    
       4918.04 4       0.0141 3       0.0149 3       0.0008 5       0.0008 5    
      5286.43 14     0.00115 10     0.00168 16     0.00054 18     0.00054 18    
      5480.15 19      0.00061 7     0.00073 20     1.2E-04 21     1.2E-04 21    
       5613.09 5      0.00087 8     0.00104 13     1.8E-04 15     1.8E-04 15    
       5711.00 3      0.0876 14      0.0886 14      0.0010 20      0.0010 20    
       5888.52 3       0.0292 5       0.0279 5      -0.0012 7      -0.0012 7    
       6425.01 3     0.01270 24       0.0123 3      -0.0004 4      -0.0004 4    
       6676.89 4     0.00694 23       0.0074 3       0.0004 4       0.0004 4    
       7187.88 3     0.00275 10     0.00188 13    -0.00086 16    -0.00086 16    
       7416.05 3     0.00360 11     0.00321 22    -0.00039 24    -0.00039 24    
      7488.47 11      0.00031 4     1.8E-04 4     -1.3E-04 6     -1.3E-04 6     
       7506.48 3      0.00256 8     0.00235 19    -2.1E-04 21    -2.1E-04 21    
       7615.93 4      0.00082 4      0.00028 5     -0.00054 7     -0.00054 7    
       8368.25 3    0.000373 19     2.4E-04 6     -1.3E-04 6     -1.3E-04 6     
     8641.809 25         0.0           0.543 8        0.543 8        0.543 8    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        0.528 13       0.528 13    
             TOTAL UNPLACED GAMMA INTENSITY =         1.20 11                   
              NORMALIZATION UNCERTAINTY (%) =    .2849                          
