  33S     32S(N,G) E=THERMAL                                                     
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.537 7         0.0            0.0            0.0       
      841.001 12        0.371 4        0.368 6       -0.003 7       -0.003 7    
       1967.18 4     0.00405 18     0.00371 20      -0.0003 3      -0.0003 3    
     2313.446 14       0.0134 3     0.01301 24      -0.0004 4      -0.0004 4    
     2867.720 20     0.00364 13     0.00444 17     0.00080 21     0.00080 21    
      2935.20 20         0.0            0.0            0.0            0.0       
      2968.60 10         0.0            0.0            0.0            0.0       
     3220.754 14        0.356 7        0.354 4         0.0            0.0       
      3831.60 20         0.0            0.0            0.0            0.0       
       3934.87 8      0.00036 4      0.00042 8       6E-05 9        6E-05 9     
      4055.52 18         0.0         0.00032 7      0.00032 7      0.00032 7    
       4144.49 6      0.00161       0.00149 15    -1.2E-04 18    -1.2E-04 18    
       4210.95 3       0.0308 7       0.0308 5         0.0            0.0       
      4423.83 14      0.00115        0.00065 9    -0.00049 13    -0.00049 13    
     4918.086 19       0.0140 3       0.0141 3         0.0            0.0       
        5286.1 3      0.00116       0.00168 17     0.00053 20     0.00053 20    
        5480.1 4      0.00056 8         0.0        -0.00056 8     -0.00056 8    
       5613.15 5      0.00096 8     0.00058 11    -0.00038 13    -0.00038 13    
     5711.063 18      0.0876 14      0.0889 14      0.0014 20      0.0014 20    
       5888.56 3       0.0292 5       0.0294 5       0.0003 7       0.0003 7    
       6425.10 3     0.01267 24       0.0123 4      -0.0003 4      -0.0003 4    
       6676.98 4     0.00692 24       0.0072 3       0.0003 4       0.0003 4    
       7187.98 3      0.00274       0.00186 15    -0.00087 18    -0.00087 18    
       7416.15 3     0.00361 11     0.00270 21    -0.00091 24    -0.00091 24    
      7488.49 16      0.00032 4         0.0        -0.00032 4     -0.00032 4    
       7506.58 3      0.00257 8     0.00245 18    -1.2E-04 20    -1.2E-04 20    
       7616.02 4      0.00082 5      0.00028 6     -0.00054 8     -0.00054 8    
       8368.35 4    0.000379 20         0.0      -0.000379 20   -0.000379 20    
       8641.58 3         0.0           0.544 8        0.544 8        0.544 8    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        0.537 11       0.537 11    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0950                          
