  46SC    45SC(N,G) E=THERMAL           82TI02                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 4         0.0            0.0            0.0       
      52.0111 10        18.2 17        18.5 19         0.0            0.0       
       142.530 7        26.6 18        24.9 18        -1.7 25        -1.7 25    
       227.770 8         27.8 8        26.2 22        -1.6 23        -1.6 23    
      280.721 13         14.6 5        14.8 17         0.0            0.0       
       289.541 8        21.4 10        20.3 18        -1.2 20        -1.2 20    
      444.139 13          8.0 3          9.9 7          1.9 7          1.9 7    
      584.782 12         25.3 7        23.9 11        -1.3 13        -1.3 13    
      627.458 24          9.6 3         10.3 6          0.6 6          0.6 6    
      773.897 22        4.42 20        4.49 21         0.0            0.0       
        835.16 4        7.98 21          8.9 5          0.9 5          0.9 5    
        991.27 7        1.87 16         1.57 9       -0.30 19       -0.30 19    
     1088.519 23        4.18 17        4.32 17        0.15 24        0.15 24    
       1124.21 3        3.58 16        3.66 18         0.0            0.0       
       1270.50 4         1.81           2.71          0.90 14        0.90 14    
       1321.16 4        1.66 15        3.21 17        1.56 22        1.56 22    
       1394.11 9         1.15 7        2.49 15        1.34 17        1.34 17    
       1427.90 4        1.12 18         1.64 9        0.52 20        0.52 20    
       1526.72 5         1.33 6        1.74 11        0.41 13        0.41 13    
       1642.72 3        2.46 18         2.48           0.0            0.0       
        1692.3 3         0.0            0.19 9         0.19 9         0.19 9    
      1707.71 10        1.65 10        1.69 15         0.0            0.0       
      1763.24 11        0.120 9         0.25 3         0.13 3         0.13 3    
       1799.72 7         0.58 5        1.21 16        0.63 17        0.63 17    
       1886.05 7         0.81 6         0.75 4        -0.06 7        -0.06 7    
       1919.87 4        3.09 18        3.19 18        0.09 25        0.09 25    
       1921.09 5        2.65 15        2.34 12       -0.31 19       -0.31 19    
       2043.44 4         1.89 9         1.94 7        0.05 11        0.05 11    
       2062.94 6         0.64 4         1.41 8         0.77 9         0.77 9    
       2070.31 9         0.69 5         0.38 3        -0.31 6        -0.31 6    
      2084.44 13         0.33 6         0.28 3        -0.06 7        -0.06 7    
       2114.15 7         0.59 4         0.81 5         0.21 6         0.21 6    
       2119.29 6         0.74 5         0.79 5         0.05 7         0.05 7    
        2184.9 7         0.18 7         0.0           -0.18 7        -0.18 7    
       2203.18 6        2.57 13          2.3 4         -0.3 4         -0.3 4    
      2221.55 12         0.68 7        0.57 13       -0.10 15       -0.10 15    
      2252.92 12         0.52 4         0.35 3        -0.17 5        -0.17 5    
      2291.85 15         0.50 8         0.40 3        -0.10 9        -0.10 9    
