  46SC    45SC(N,G) E=THERMAL           82TI02                                   
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       26.28 23         0.0            0.0            0.0       
      52.0111 10         4.26 9        4.35 15        0.09 17        0.09 17    
      142.533 12        7.59 11        7.78 11        0.18 16        0.18 16    
      227.774 12         6.27 8        7.14 11        0.87 14        0.87 14    
      280.727 12         3.40 7         3.56 5         0.16 8         0.16 8    
      289.545 12        5.23 12         6.17 9        0.93 15        0.93 15    
        444.21 4         1.81 7         2.50 4         0.68 8         0.68 8    
      584.789 13         5.71 9        5.88 11        0.17 14        0.17 14    
      627.466 18         2.31 7         2.43 5         0.12 9         0.12 9    
      773.858 17         0.92 5       1.083 20         0.16 5         0.16 5    
        835.17 4         1.89 4         2.09 4         0.20 6         0.20 6    
        991.36 5         0.45 3       0.373 12        -0.08 4        -0.08 4    
     1088.489 18         0.84 4       1.001 20         0.17 5         0.17 5    
     1124.230 22         0.68 6       0.918 21         0.24 6         0.24 6    
       1270.51 3         0.37 3       0.677 18         0.31 4         0.31 4    
       1321.20 4         0.37 4         0.80 3         0.43 5         0.43 5    
       1394.24 6       0.213 21         0.62 3         0.41 4         0.41 4    
       1427.90 4         0.25 5       0.373 19         0.13 5         0.13 5    
       1526.75 5       0.299 23         0.40 3         0.10 4         0.10 4    
       1642.70 3         0.52 5       0.578 18         0.06 5         0.06 5    
      1692.26 25         0.0          0.048 23       0.048 23       0.048 23    
       1707.98 5       0.324 22       0.480 18         0.16 3         0.16 3    
      1763.16 10        0.029 3       0.077 10       0.048 10       0.048 10    
       1799.70 6       0.088 15         0.29 4         0.20 4         0.20 4    
       1886.01 7       0.148 17       0.197 16       0.049 23       0.049 23    
       1919.86 3        0.76 11         0.71 3       -0.05 11       -0.05 11    
       1921.11 4         1.07 5       0.505 20        -0.57 5        -0.57 5    
       2043.43 4       0.385 24       0.482 17         0.10 3         0.10 3    
       2062.96 5       0.144 12       0.332 13       0.188 18       0.188 18    
       2070.37 8       0.198 17        0.075 8      -0.123 19      -0.123 19    
      2084.45 12       0.088 24        0.075 9        -0.01 3        -0.01 3    
       2114.19 6       0.139 13       0.210 13       0.071 19       0.071 19    
       2119.27 6       0.195 24       0.152 10        -0.04 3        -0.04 3    
        2184.8 7       0.043 17         0.0         -0.043 17      -0.043 17    
       2203.18 6         0.45 3       0.581 24         0.13 4         0.13 4    
      2221.67 11       0.148 21       0.149 13         0.0            0.0       
      2252.78 10       0.127 14       0.117 11      -0.010 18      -0.010 18    
      2291.70 13       0.122 21       0.098 14      -0.024 25      -0.024 25    
       2302.58 7       0.099 14         0.0         -0.099 14      -0.099 14    
      2330.12 21        0.032 9        0.044 9       0.012 13       0.012 13    
      2366.60 17         0.0            0.11 3         0.11 3         0.11 3    
      2375.22 16       0.066 19        0.066 9         0.0            0.0       
       2395.84 8       0.119 20       0.170 14       0.051 25       0.051 25    
       2410.47 4         0.53 4       0.644 21         0.11 5         0.11 5    
      2431.28 13         0.27 3       0.152 21        -0.12 3        -0.12 3    
       2442.42 4         0.61 5       0.748 25         0.14 6         0.14 6    
      2451.01 10        0.075 8        0.075 8         0.0            0.0       
       2459.49 9       0.183 25       0.147 14        -0.04 3        -0.04 3    
        2486.3 7       0.054 16         0.0         -0.054 16      -0.054 16    
      2494.38 12        0.067 7        0.042 6       -0.025 9       -0.025 9    
      2521.57 13        0.023 3       0.073 10       0.050 10       0.050 10    
      2558.90 13        0.073 8        0.069 9         0.0            0.0       
       2568.02 9       0.060 20       0.114 11       0.054 23       0.054 23    
       2590.08 4         0.52 5         0.60 4         0.08 7         0.08 7    
      2642.98 17        0.048 6       0.059 22       0.011 23       0.011 23    
      2662.68 10       0.082 12       0.040 11      -0.042 16      -0.042 16    
      2694.51 11        0.066 6       0.105 16       0.039 17       0.039 17    
       2705.27 6       0.265 24       0.351 19         0.09 3         0.09 3    
       2714.16 9       0.144 19       0.110 14      -0.034 24      -0.034 24    
      2783.01 10       0.109 15       0.082 12      -0.027 19      -0.027 19    
      2834.01 17       0.044 12         0.07 4         0.03 4         0.03 4    
      2856.03 12       0.084 17       0.100 13       0.016 22       0.016 22    
       2863.40 8         0.42 3       0.358 23        -0.06 4        -0.06 4    
      2890.38 23        0.052 5       0.041 10      -0.011 11      -0.011 11    
      2940.14 10        0.052 5       0.105 11       0.053 12       0.053 12    
      2956.66 11        0.066 6       0.127 14       0.061 15       0.061 15    
      2979.12 15       0.072 15        0.074 9         0.0            0.0       
      3002.18 16        0.023 3        0.096 8        0.073 9        0.073 9    
       3016.98 7       0.184 17       0.183 22         0.0            0.0       
      3032.03 12       0.037 10        0.058 9       0.021 13       0.021 13    
      3056.65 17        0.036 4       0.042 11       0.005 11       0.005 11    
      3081.58 13       0.077 16       0.061 14      -0.016 21      -0.016 21    
       3094.66 9       0.145 19       0.135 14      -0.010 24      -0.010 24    
       3136.28 9       0.198 20       0.174 14      -0.024 25      -0.024 25    
      3176.56 10       0.118 16         0.12 4         0.0            0.0       
      3191.88 12       0.122 24       0.079 17        -0.04 3        -0.04 3    
      3204.81 10       0.079 14       0.198 14       0.119 20       0.119 20    
      3229.85 13       0.063 14       0.075 22         0.01 3         0.01 3    
