  46SC    45SC(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       26.00 23         0.0            0.0            0.0       
      52.0111 10         4.01 8        4.45 15        0.44 17        0.44 17    
       142.530 7         7.18          7.86 11        0.69 15        0.69 15    
       227.770 8         6.05 8        7.14 11        1.09 13        1.09 13    
      280.721 13         3.02 5         3.57 5         0.55 7         0.55 7    
       289.541 8        4.92 11         6.17 9        1.25 15        1.25 15    
      444.139 13         1.39 5         2.49 4         1.11 6         1.11 6    
      584.782 12         5.33 8        5.88 11        0.54 14        0.54 14    
      627.458 24         1.95 5         2.43 5         0.48 7         0.48 7    
      773.897 22         0.66 3       1.083 20         0.42 4         0.42 4    
        835.16 4         1.79 4         2.09 4         0.29 6         0.29 6    
        991.27 7       0.295 22       0.373 12       0.078 25       0.078 25    
     1088.519 23       0.543 24       1.001 20         0.46 3         0.46 3    
       1124.21 3         0.54 5       0.918 21         0.37 6         0.37 6    
       1270.50 4         0.30 3       0.677 18         0.38 3         0.38 3    
       1321.16 4       0.122 14       0.593 14       0.471 20       0.471 20    
       1394.11 9       0.204 21       0.493 15         0.29 3         0.29 3    
       1427.90 4        0.057 7       0.373 19       0.316 20       0.316 20    
       1526.72 5       0.299 23       0.293 14         0.0            0.0       
       1642.72 3         0.45 3       0.578 18         0.12 4         0.12 4    
        1692.3 3         0.0            0.0            0.0            0.0       
      1707.71 10       0.292 20       0.480 18         0.19 3         0.19 3    
      1763.24 11         0.0          0.077 10       0.077 10       0.077 10    
       1799.72 7       0.088 15       0.161 12       0.073 19       0.073 19    
       1886.05 7       0.125 14       0.197 16       0.072 21       0.072 21    
       1919.87 4         0.0          0.640 22       0.640 22       0.640 22    
       1921.09 5         1.01 4       0.505 20        -0.50 5        -0.50 5    
       2043.44 4       0.333 23       0.482 17         0.15 3         0.15 3    
       2062.94 6        0.101 9       0.332 13       0.231 16       0.231 16    
       2070.31 9        0.132 9        0.075 8      -0.057 12      -0.057 12    
      2084.44 13        0.018 7        0.075 9       0.057 11       0.057 11    
       2114.15 7        0.026 6       0.210 13       0.184 14       0.184 14    
       2119.29 6       0.195 24       0.152 10        -0.04 3        -0.04 3    
        2184.9 7         0.0            0.0            0.0            0.0       
       2203.18 6       0.384 24       0.533 22         0.15 3         0.15 3    
      2221.55 12       0.114 14       0.149 13       0.035 20       0.035 20    
      2252.92 12       0.107 12       0.117 11       0.010 16       0.010 16    
      2291.85 15         0.0          0.098 14       0.098 14       0.098 14    
       2302.61 8       0.099 14         0.0         -0.099 14      -0.099 14    
      2330.27 19         0.0           0.044 9        0.044 9        0.044 9    
      2366.63 20         0.0            0.0            0.0            0.0       
      2375.17 20         0.0            0.0            0.0            0.0       
      2395.96 11       0.119 20       0.143 11       0.024 23       0.024 23    
       2410.48 5         0.53 4       0.644 21         0.11 5         0.11 5    
      2431.35 17       0.254 25       0.102 10        -0.15 3        -0.15 3    
       2442.28 5         0.58 4       0.748 25         0.17 5         0.17 5    
      2451.09 12         0.0           0.039 6        0.039 6        0.039 6    
      2459.57 11       0.183 25       0.147 14        -0.04 3        -0.04 3    
        2486.4 7         0.0            0.0            0.0            0.0       
      2494.36 18        0.067 7        0.042 6       -0.025 9       -0.025 9    
      2521.53 13         0.0           0.021 5        0.021 5        0.021 5    
      2558.91 14         0.0           0.069 9        0.069 9        0.069 9    
      2568.07 10       0.060 20        0.044 6      -0.016 21      -0.016 21    
       2590.02 5         0.52 5       0.455 15        -0.06 5        -0.06 5    
      2642.92 20         0.0            0.0            0.0            0.0       
      2662.72 10       0.082 12       0.040 11      -0.042 16      -0.042 16    
      2694.55 12         0.0           0.053 6        0.053 6        0.053 6    
       2705.28 6       0.265 24       0.351 19         0.09 3         0.09 3    
       2714.18 9       0.144 19       0.067 12      -0.077 22      -0.077 22    
      2783.05 11       0.109 15       0.082 12      -0.027 19      -0.027 19    
      2833.93 21       0.044 12         0.0         -0.044 12      -0.044 12    
      2855.91 12       0.084 17       0.100 13       0.016 22       0.016 22    
      2863.27 13         0.42 3       0.301 15        -0.12 3        -0.12 3    
      2890.72 19         0.0          0.041 10       0.041 10       0.041 10    
      2940.19 10         0.0          0.105 11       0.105 11       0.105 11    
      2956.71 11         0.0          0.127 14       0.127 14       0.127 14    
      2978.96 10       0.072 15        0.074 9         0.0            0.0       
      3002.37 18         0.0           0.096 8        0.096 8        0.096 8    
       3016.99 6       0.184 17       0.149 17      -0.035 24      -0.035 24    
      3032.04 12       0.037 10        0.058 9       0.021 13       0.021 13    
      3057.22 25         0.0           0.026 6        0.026 6        0.026 6    
      3081.59 17       0.077 16         0.0         -0.077 16      -0.077 16    
       3094.65 8       0.145 19       0.108 13      -0.037 23      -0.037 23    
       3136.34 9       0.198 20        0.085 9      -0.113 22      -0.113 22    
      3176.58 11       0.118 16       0.030 10      -0.088 19      -0.088 19    
      3191.86 12       0.122 24       0.056 14        -0.07 3        -0.07 3    
      3204.91 11       0.079 14       0.171 12       0.092 18       0.092 18    
      3229.85 16       0.063 14         0.0         -0.063 14      -0.063 14    
      3260.55 17       0.065 15       0.026 11      -0.039 19      -0.039 19    
      3278.77 10       0.180 20       0.140 17        -0.04 3        -0.04 3    
       3314.58 7       0.170 19        0.101 9      -0.069 21      -0.069 21    
      3381.47 12       0.071 17        0.033 9      -0.038 19      -0.038 19    
      3396.67 14       0.046 13       0.065 12       0.019 18       0.019 18    
      3414.28 10       0.094 19       0.038 15      -0.056 24      -0.056 24    
       3424.60 8         0.20 3       0.098 13        -0.10 3        -0.10 3    
      3443.28 13       0.060 15       0.053 12      -0.007 19      -0.007 19    
      3474.25 10       0.123 15       0.088 14      -0.035 20      -0.035 20    
      3493.43 10         0.38 3       0.459 22         0.08 4         0.08 4    
      3550.34 13       0.085 15        0.045 7      -0.040 17      -0.040 17    
      3597.03 10       0.149 20       0.077 14      -0.072 24      -0.072 24    
        3605.4 3       0.064 19        0.018 7      -0.046 20      -0.046 20    
      3620.26 23       0.045 10       0.030 11      -0.015 15      -0.015 15    
      3631.98 13       0.093 15       0.121 14       0.028 21       0.028 21    
      3654.77 16         0.0          0.049 11       0.049 11       0.049 11    
      3675.49 12       0.103 14         0.13 6         0.03 6         0.03 6    
      3707.29 16         0.0          0.087 12       0.087 12       0.087 12    
      3721.42 20         0.0           0.056 8        0.056 8        0.056 8    
      3766.61 10       0.177 15       0.139 15      -0.038 21      -0.038 21    
       3785.28 8       0.498 24       0.318 22        -0.18 3        -0.18 3    
      3813.70 22         0.0           0.021 5        0.021 5        0.021 5    
      3841.11 14       0.092 13         0.0         -0.092 13      -0.092 13    
      3868.65 12       0.094 12         0.0         -0.094 12      -0.094 12    
      3876.79 13       0.128 13       0.146 19       0.018 23       0.018 23    
      3937.33 11       0.078 11         0.0         -0.078 11      -0.078 11    
        3945.3 3         0.0            0.0            0.0            0.0       
       4039.58 9       0.171 16       0.138 16      -0.033 23      -0.033 23    
      4074.67 25         0.0            0.0            0.0            0.0       
        4081.3 3       0.112 14       0.148 14       0.036 20       0.036 20    
        4103.7 3       0.058 12         0.0         -0.058 12      -0.058 12    
       4131.99 9       0.059 13         0.0         -0.059 13      -0.059 13    
      4142.62 10       0.089 15       0.071 16      -0.018 22      -0.018 22    
       4261.44 9       0.149 15       0.148 16         0.0            0.0       
      4294.65 14       0.106 13       0.024 10      -0.082 16      -0.082 16    
      4319.11 16       0.065 12         0.0         -0.065 12      -0.065 12    
       4383.08 9       0.127 15         0.0         -0.127 15      -0.127 15    
      4432.79 18       0.047 10         0.0         -0.047 10      -0.047 10    
      4447.83 21       0.064 13         0.0         -0.064 13      -0.064 13    
      4467.08 14       0.073 11       0.043 10      -0.030 15      -0.030 15    
      4522.75 11       0.096 17       0.130 16       0.034 24       0.034 24    
      4528.75 17         0.0          0.076 17       0.076 17       0.076 17    
      4586.87 20         0.11 3       0.133 20         0.02 4         0.02 4    
       4606.41 9         0.07 3       0.092 17         0.02 3         0.02 3    
      4694.59 11       0.079 19         0.0         -0.079 19      -0.079 19    
       4701.06 8         0.18 3       0.132 23        -0.05 4        -0.05 4    
      4719.58 17       0.059 13         0.0         -0.059 13      -0.059 13    
      4754.27 10       0.091 17       0.050 14      -0.041 22      -0.041 22    
      4761.17 13       0.086 17         0.07 4        -0.02 4        -0.02 4    
      4787.24 11       0.066 12       0.025 13      -0.041 18      -0.041 18    
        4872.7 3         0.0            0.0            0.0            0.0       
      4882.60 12       0.088 11        0.034 9      -0.054 14      -0.054 14    
      4961.48 10       0.125 13         0.0         -0.125 13      -0.125 13    
      5049.62 19        0.054 8        0.045 8      -0.009 11      -0.009 11    
      5092.98 11         0.06 3       0.056 11         0.0            0.0       
      5301.74 11       0.156 15       0.114 16      -0.042 22      -0.042 22    
      5346.20 14       0.066 13       0.063 12         0.0            0.0       
        5541.5 4        0.026 9         0.0          -0.026 9       -0.026 9    
     8760.797 22         0.0          16.95 20       16.95 20       16.95 20    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          26.0 4         26.0 4    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
