  30SI    29SI(N,G) E=THERMAL           92RA19,90SS02                            
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.1 17         0.0            0.0            0.0       
     2235.313 23         43.1 6        45.6 13         2.5 15         2.5 15    
       3498.51 3       11.26 20       10.93 24         -0.3 3         -0.3 3    
       3769.48 3        9.77 20       10.26 22          0.5 3          0.5 3    
       3787.71 4        3.59 11        3.66 11        0.08 16        0.08 16    
      4810.34 11         0.95 7         1.05 6         0.10 9         0.10 9    
       4830.84 4        2.81 10         3.13 9        0.32 14        0.32 14    
       5231.57 8         1.28 6         1.37 6         0.09 9         0.09 9    
          5300           0.0            0.0            0.0            0.0       
        5372.2 6         0.0            0.21 4         0.21 4         0.21 4    
       5487.56 6         1.77 6         2.16 7         0.39 *         0.39 *    
      5614.03 12         0.91 7         0.94 6         0.03 9         0.03 9    
       6641.21 6        4.29 13        4.65 12        0.35 18        0.35 18    
       6744.07 3         33.5 9         32.7 9        -0.8 13        -0.8 13    
      6914.78 19         1.23 8         0.95 7       -0.28 11       -0.28 11    
       7507.88 3         2.43 8         23.3 5         20.9 5         20.9 6    
        7667.2 4       0.185 25         0.24 3         0.05 4         0.05 4    
        8104.9 3       0.286 25         0.23 4        -0.06 5        -0.06 5    
        8154.9 3       0.252 25         0.24 4         0.0            0.0       
       8163.20 4        7.90 25        7.46 16         -0.4 3         -0.4 3    
      8898.08 10          4.2 8        4.67 13          0.5 9          0.5 9    
          8900         0.269 25         0.0         -0.269 25      -0.269 25    
      8953.31 12         0.70 4         0.51 5        -0.18 7        -0.18 7    
       9103.74 4        3.79 12        3.77 11         0.0            0.0       
       9308.09 6         1.52 5         1.17 7        -0.35 9        -0.35 9    
       9597.19 9         0.82 4         0.71 6        -0.11 8        -0.11 8    
       9619.78 6         1.06 5         1.02 5        -0.03 7        -0.03 7    
       9792.36 6         1.09 5         1.00 6        -0.09 8        -0.09 8    
      10202.10 8       0.311 25         0.44 5         0.13 5         0.13 5    
       10275.9 3       0.109 25       0.101 25         0.0            0.0       
      10609.24 3         0.0           76.9 13        76.9 13        76.9 18    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        100.1 22          100 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.90 6                   
              NORMALIZATION UNCERTAINTY (%) =   1.6667                          
