  30SI    29SI(N,G) E=THERMAL           92RA19,90SS02                            
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.117 3         0.0            0.0            0.0       
     2235.316 22      0.0506 17      0.0534 23        0.003 3        0.003 3    
       3498.51 3       0.0129 5       0.0129 5         0.0            0.0       
       3769.48 3      0.0200 15       0.0119 5     -0.0081 16     -0.0081 16    
       3787.72 4     0.00417 19     0.00425 23         0.0            0.0       
      4810.32 11     0.00109 10      0.00119 9     1.0E-04 13     1.0E-04 13    
       4830.85 4     0.00329 20     0.00362 22       0.0003 3       0.0003 3    
       5231.56 8     0.00145 11      0.00157 9     1.2E-04 14     1.2E-04 14    
       5280.0 15         0.0            0.0            0.0            0.0       
        5370.8 3         0.0         0.0091 15      0.0091 15      0.0091 15    
       5487.56 6     0.00203 15       0.0025 3       0.0005 4       0.0005 4    
      5614.02 12      0.00093 9     0.00107 14     1.4E-04 16     1.4E-04 16    
       6641.20 6       0.0051 3       0.0053 3       2E-04 4        2E-04 4     
       6744.07 3      0.0397 19      0.0386 19       -0.001 3       -0.001 3    
      6914.78 19     0.00128 23     0.00104 16      -2E-04 3       -2E-04 3     
       7507.88 3      0.0319 17      0.0274 15     -0.0045 23     -0.0045 23    
        7667.3 4     2.2E-04 3      2.0E-04 4       -2E-05 5       -2E-05 5     
      8104.72 17      0.00029 4      0.00027 5      -3E-05 6       -3E-05 6     
        8155.8 4      0.00029 3     1.6E-04 4     -1.4E-04 5     -1.4E-04 5     
       8163.19 4       0.0093 5       0.0086 3      -0.0007 6      -0.0007 6    
      8898.08 10      0.0049 11     0.00548 25      0.0006 11      0.0006 11    
        8936.5 3      0.00032 3         0.0        -0.00032 3     -0.00032 3    
      8953.30 12      0.00081 6     0.00061 10    -2.0E-04 12    -2.0E-04 12    
       9103.73 4     0.00444 23       0.0044 3         0.0            0.0       
       9308.09 6     0.00177 13     0.00127 10    -0.00050 16    -0.00050 16    
       9597.18 9      0.00096 9      0.00083 8    -1.3E-04 11    -1.3E-04 11    
       9619.77 6     0.00124 11     0.00120 11         0.0            0.0       
       9792.36 7     0.00128 11     0.00117 11    -1.1E-04 15    -1.1E-04 15    
      10202.10 8      0.00037 4      0.00035 7         0.0            0.0       
       10275.9 3     1.3E-04 3      1.2E-04 3          0.0            0.0       
      10609.23 3         0.0           0.120 3        0.120 3        0.120 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.117 5        0.117 5    
             TOTAL UNPLACED GAMMA INTENSITY =          0.90 6                   
              NORMALIZATION UNCERTAINTY (%) =    .0103                          
