
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.  2235.313 23                     
    3.  3498.51 3                       
    4.  3769.48 3                       
    5.  3787.71 4                       
    6.  4810.34 11                      
    7.  4830.84 4                       
    8.  5231.57 8                       
    9.  5280 1                          
   10.  5372.2 6                        
   11.  5487.56 6                       
   12.  5614.03 12                      
   13.  6641.21 6                       
   14.  6744.07 3                       
   15.  6914.78 19                      
   16.  7507.88 3                       
   17.  7667.2 4                        
   18.  8104.9 3                        
   19.  8154.9 3                        
   20.  8163.20 4                       
   21.  8898.08 10                      
   22.  8936.5 3                        
   23.  8953.31 12                      
   24.  9103.74 4                       
   25.  9308.09 6                       
   26.  9597.19 9                       
   27.  9619.78 6                       
   28.  9792.36 6                       
   29. 10202.10 8                       
   30. 10275.9 3                        
   31. 10609.24 3                       
 
   GAMMA ENERGIES
       29SI(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
            271.0 10            270.96 4     4  3                                                                                   
            289.2 10            289.20 5     5  3                                                                                   
             295.7 4             295.7 4     0  0                                                                                   
             326.0 4             326.0 4     0  0                                                                                   
             333.3 3             333.4 3    31 30                                                                                   
            355.80 8            355.80 8     0  0                                                                                   
             400.9 4            400.72 9     8  7                                                                                   
            407.14 7            407.13 7    31 29                                                                                   
             421.0 5           421.22 13     8  6                                                                                   
             646.8 3             646.8 3     0  0                                                                                   
             692.5 5             692.5 5     0  0                                                                                   
    (S        0.0              783.18 12    12  7                                                                                   
    (S        0.0              803.68 16    12  6                                                                                   
            816.87 5            816.87 5    31 28                                                                                   
            989.45 5            989.45 5    31 27                                                                                   
             998.9 3             998.9 3    24 18                                                                                   
           1012.05 9           1012.04 9    31 26                                                                                   
           1022.6 10          1022.62 11     6  5                                                                                   
           1027.1 10          1027.15 13    13 12                                                                                   
           1040.9 10          1040.85 11     6  4                                                                                   
           1061.3 10           1061.34 4     7  4                                                                                   
          1153.61 13           1153.62 7    13 11                                                                                   
    (S        0.0             1248.39 19    20 15                                                                                   
           1263.18 6           1263.17 3     3  2                                                                                   
           1301.12 5           1301.12 5    31 25                                                                                   
          1311.80 14          1311.80 11     6  3                                                                                   
    (1    1332.48 16           1332.30 4     7  3                                                                                   
            1390.3 5          1390.17 10    21 16                                                                                   
           1409.6 10           1409.60 *    13  8                                                                                   
           1462.0 10           1462.05 9     8  4                                                                                   
            1469.2 4            1469.2 4     0  0                                                                                   
           1505.46 4           1505.46 3    31 24                                                                                   
           1534.12 4           1534.12 3     4  2                                                                                   
           1552.36 4           1552.35 4     5  2                                                                                   
            1602.8 9            1602.7 6    10  4                                                                                   
          1655.89 12          1655.89 12    31 23                                                                                   
            1672.7 3            1672.7 3    31 22                                                                                   
            1711.3 3          1711.11 10    31 21                                                                                   
           1733.0 10           1733.00 9     8  3                                                                                   
          1810.42 22           1810.30 6    13  7                                                                                   
            1830.6 4          1830.80 12    13  6                                                                                   
