  30SI    29SI(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        0.117 5         0.0            0.0            0.0       
       2235.33 3        0.156 7        0.054 3       -0.102 7       -0.102 7    
       3498.59 4         0.0         0.0163 23      0.0163 23      0.0163 23    
       3769.57 4      0.0268 24      0.0101 17       -0.017 3       -0.017 3    
      3787.90 20         0.0         0.0064 11      0.0064 11      0.0064 11    
        4809.2 3         0.0            0.0            0.0            0.0       
      4830.80 20      0.0056 11         0.0        -0.0056 11     -0.0056 11    
        5230.7 5         0.0         0.0135 13      0.0135 13      0.0135 13    
          5300           0.0            0.0            0.0            0.0       
       5372.0 10         0.0         0.0090 15      0.0090 15      0.0090 15    
        5487.5 4         0.0            0.0            0.0            0.0       
        5612.9 8         0.0            0.0            0.0            0.0       
       6641.44 5      0.0064 15      0.0075 17      0.0011 23      0.0011 23    
       6744.32 6        0.042 3        0.053 4        0.011 5        0.011 5    
        6915.0 6         0.0            0.0            0.0            0.0       
       7508.04 5      0.0319 17        0.044 4        0.012 4        0.012 4    
       7668.0 20         0.0            0.0            0.0            0.0       
          8100           0.0           0.054 3        0.054 3        0.054 3    
          8155 4         0.0         0.0096 17      0.0096 17      0.0096 17    
        8163.1 5      0.0103 13         0.0        -0.0103 13     -0.0103 13    
       8898.4 18         0.0            0.0            0.0            0.0       
          8900           0.0            0.0            0.0            0.0       
          9000           0.0         0.0146 24      0.0146 24      0.0146 24    
        9103.8 6      0.0049 11         0.0        -0.0049 11     -0.0049 11    
        9308.3 6         0.0            0.0            0.0            0.0       
          9600           0.0            0.0            0.0            0.0       
       9621.18 8         0.0            0.0            0.0            0.0       
       9792.64 8         0.0            0.0            0.0            0.0       
       10202.1 8         0.0            0.0            0.0            0.0       
         10000           0.0            0.0            0.0            0.0       
      10609.18 3         0.0           0.109 4        0.109 4        0.109 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         0.117 *        0.117 *    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .2335                          
