  48TI    47TI(N,G) E=THERMAL           1989CO01,1984RU06,1969TE0693NDS+95 199506
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.0 19          100           0.0            0.0       
       983.522 4       101.6 12        95.5 18        -6.1 21        -6.1 21    
      2295.627 6         27.3 4         32.4 8          5.1 9          5.1 9    
      2421.028 9         20.2 3         23.7 6          3.5 7          3.5 7    
      2997.20 16       0.075 22       0.233 20         0.16 3         0.16 3    
     3223.927 10        6.59 23        9.70 25          3.1 3          3.1 4    
      3239.741 9         4.69 7        7.79 15        3.10 17        3.10 23    
       3333.24 3         0.44 6       0.909 24         0.47 6         0.47 7    
     3358.801 14         3.19 6        7.59 25          4.4 3          4.4 3    
     3370.843 24         1.50 7        3.26 10        1.76 13        1.76 15    
     3616.787 18        7.58 11         10.1 3          2.6 3          2.6 4    
       3699.39 8         0.82 6         1.42 7         0.60 9         0.60 9    
      3738.51 11         1.13 9        0.98 11       -0.15 14       -0.15 14    
     3782.432 15         2.48 3         3.58 4         1.10 5         1.10 8    
       3802.76 9        1.40 15         0.74 5       -0.66 16       -0.66 16    
       3852.23 3         1.92 8        4.08 12        2.16 15        2.16 18    
     4035.117 14        3.74 12         4.11 9        0.37 15        0.37 15    
     4074.484 18        0.83 14         3.30          2.47 17        2.47 21    
       4196.83 3         1.94 6         1.48 5        -0.46 8        -0.46 8    
        4205.3 5         0.11 3       0.101 20        -0.01 4        -0.01 4    
     4387.660 17         3.92 6         4.78          0.86 12        0.86 13    
     4457.423 10       17.57 20         19.2 5          1.6 5          1.6 5    
       4580.67 6       0.490 19         1.08 5         0.59 5         0.59 6    
     4719.103 18        1.86 11         2.26 5        0.40 12        0.40 12    
      4757.71 10         0.31 5         0.79 8         0.48 9         0.48 9    
      4783.28 10       0.353 21         0.84 8         0.49 8         0.49 8    
       4792.26 5        1.94 14         2.11 6        0.17 15        0.17 15    
      4794.26 13        0.82 14         0.93 7        0.11 16        0.11 16    
       4910.55 5         0.76 3         1.45 8         0.69 9         0.69 *    
      4924.86 13       0.345 24         0.56 6         0.22 7         0.22 7    
      4940.03 14       0.208 21         0.57 6         0.37 6         0.37 6    
       5145.76 4         4.08 7        2.52 18       -1.56 19       -1.56 19    
      5157.65 14         0.94 5        0.62 14       -0.32 15       -0.32 15    
      5356.20 11         1.04 7         0.56 5        -0.48 9        -0.48 9    
      5490.73 14       0.364 20         0.37 5         0.01 5         0.01 5    
       5619.54 8         0.91 3         0.75 5        -0.16 6        -0.16 6    
       5639.95 3         2.51 4          1.1 5         -1.5 5         -1.5 5    
       5888.49 5         1.60 3        2.53 20        0.93 20        0.93 21    
       6042.40 4         3.68 6        1.26 14       -2.42 15       -2.42 15    
      6054.51 20       0.167 24         0.37 4         0.20 4         0.20 4    
        6240.4 4         0.11 3         0.21 4         0.10 5         0.10 5    
      6313.71 22        0.73 12         0.23 4       -0.50 13       -0.50 13    
       6365.13 9         0.27 3         0.85 3         0.58 5         0.58 5    
      6406.11 11       0.476 19         0.35 6        -0.13 6        -0.13 6    
       6490.40 7       0.707 22         0.73 7         0.02 7         0.02 7    
       6541.57 8       0.638 21         0.45 4        -0.19 5        -0.19 5    
      6626.47 14       0.382 20         0.22 5        -0.16 5        -0.16 5    
      6707.74 18       0.169 19         0.42 4         0.25 4         0.25 4    
        6796.9 3       0.201 22         0.09 3        -0.11 4        -0.11 4    
      6827.25 20       0.210 20        0.60 11        0.39 11        0.39 11    
      6898.24 20       0.262 20         0.13 3        -0.13 3        -0.13 3    
        6957.0 3       0.096 23         0.26 4         0.16 5         0.16 5    
      6976.28 18       0.106 19        0.78 12        0.67 12        0.67 12    
      7060.49 18         0.29 3         0.32 3         0.03 4         0.03 4    
       7358.92 6         1.34 3         1.14 8        -0.20 9        -0.20 9    
       7541.54 8       0.480 24         1.13 5         0.65 6         0.65 7    
      7574.05 18       0.169 22         0.31 4         0.14 5         0.14 5    
      7616.08 10         0.58 3         0.92 8         0.34 9         0.34 9    
      11626.59 4         0.0            73.8 4         73.8 4           74 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        100.0 23          100 6    
             TOTAL UNPLACED GAMMA INTENSITY =        11.76 21                   
              NORMALIZATION UNCERTAINTY (%) =   5.0000                          
