  48TI    47TI(N,G) E=THERMAL           1989CO01,1984RU06                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         1.63 4         0.0            0.0            0.0       
       983.527 4        1.61 11       1.529 22       -0.08 11       -0.08 11    
      2295.639 6       0.444 12       0.515 12       0.070 17       0.070 17    
      2421.043 9       0.320 10       0.371 10       0.052 14       0.052 14    
      2997.21 12       0.0012 4       0.0037 3       0.0025 5       0.0025 5    
      3223.940 9        0.105 4        0.154 4        0.049 6        0.049 6    
      3239.753 8      0.0745 24        0.123 3        0.049 4        0.049 4    
     3333.251 20      0.0070 10       0.0144 5      0.0074 11      0.0074 11    
     3358.814 14      0.0506 12        0.121 4        0.071 4        0.071 4    
     3370.851 23      0.0240 13         0.08 3         0.06 3         0.06 3    
     3616.812 14        0.121 3        0.16 11         0.0            0.0       
       3699.38 6      0.0131 10       0.023 12       0.010 12       0.010 12    
       3738.51 9      0.0181 15        0.015 8        -0.0           -0.0       
     3782.448 15       0.0394 8      0.0570 10      0.0176 13      0.0176 13    
       3802.80 6        0.022 3       0.0117 9       -0.011 3       -0.011 3    
       3852.24 3      0.0305 15        0.065 4        0.035 4        0.035 4    
     4035.132 14      0.0595 21      0.0653 16        0.006 3        0.006 3    
     4074.495 18      0.0132 24      0.0524 16        0.039 3        0.039 3    
     4196.853 21      0.0308 10      0.0235 10     -0.0073 14     -0.0073 14    
        4205.2 3       0.0017 5       0.0016 8         0.0            0.0       
     4387.690 17      0.0624 15      0.0761 23        0.014 3        0.014 3    
     4457.444 10        0.279 5       0.316 14       0.036 15       0.036 15    
       4580.69 5      0.0078 12      0.0169 11      0.0091 16      0.0091 16    
     4719.119 13        0.029 4      0.0359 24        0.006 5        0.006 5    
       4757.75 7       0.0050 8      0.0125 16      0.0075 18      0.0075 18    
       4783.32 8       0.0056 9      0.0133 15      0.0077 18      0.0077 18    
       4792.26 4        0.035 5      0.0334 21         0.0            0.0       
       4794.20 9      0.0130 23      0.0148 18        0.002 3        0.002 3    
       4910.58 4       0.0122 5      0.0231 18      0.0109 19      0.0109 19    
       4924.88 9       0.0055 4      0.0090 11      0.0035 12      0.0035 12    
      4940.01 10       0.0034 4      0.0091 10      0.0058 10      0.0058 10    
       5145.80 4      0.0648 19        0.040 3       -0.025 4       -0.025 4    
      5157.70 10       0.0149 9      0.0098 23     -0.0051 25     -0.0051 25    
       5356.26 8      0.0165 12       0.0089 9     -0.0077 14     -0.0077 14    
      5490.76 11       0.0058 4       0.0059 9         0.0            0.0       
       5619.58 5       0.0145 5      0.0120 10     -0.0026 11     -0.0026 11    
     5639.999 21       0.0399 9        0.017 8       -0.023 8       -0.023 8    
       5888.56 4       0.0254 8        0.040 4        0.015 4        0.015 4    
       6042.46 3      0.0585 15      0.0200 25       -0.038 3       -0.038 3    
      6054.54 15       0.0027 4       0.0058 6       0.0031 8       0.0031 8    
        6240.5 3       0.0017 5       0.0034 7       0.0016 9       0.0016 9    
      6313.74 16      0.0116 20       0.0036 7     -0.0079 21     -0.0079 21    
       6365.17 7       0.0043 5       0.0134 9      0.0091 10      0.0091 10    
       6406.17 8       0.0075 5      0.0055 11     -0.0020 12     -0.0020 12    
       6490.45 5       0.0113 7      0.0116 12         0.0            0.0       
       6541.63 6       0.0101 7       0.0071 8     -0.0030 10     -0.0030 10    
      6626.48 10       0.0060 4       0.0035 8      -0.0026 9      -0.0026 9    
      6707.72 15       0.0027 3       0.0066 7       0.0039 8       0.0039 8    
      6796.90 22       0.0032 4       0.0015 5      -0.0017 7      -0.0017 7    
      6827.34 18       0.0034 4      0.0095 19      0.0062 19      0.0062 19    
      6898.34 15       0.0042 4       0.0021 5      -0.0021 6      -0.0021 6    
      6957.10 21       0.0015 4       0.0041 7       0.0026 8       0.0026 8    
      6976.33 13       0.0017 3      0.0125 19      0.0108 19      0.0108 19    
      7060.53 13       0.0046 5       0.0051 5       0.0005 8       0.0005 8    
       7358.98 4      0.0212 12      0.0181 14     -0.0031 19     -0.0031 19    
       7541.57 8       0.0077 5       0.0180 9      0.0103 11      0.0103 11    
      7574.09 13       0.0027 4       0.0050 7       0.0023 8       0.0023 8    
       7616.14 7       0.0093 7      0.0146 14      0.0054 15      0.0054 15    
    11626.657 14         0.0          1.177 11       1.177 11       1.177 11    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         1.63 12        1.63 12    
             TOTAL UNPLACED GAMMA INTENSITY =           158 3                   
              NORMALIZATION UNCERTAINTY (%) =    .2976                          
