  49TI    48TI(N,G),(POL N,G) E=TH      1992KU17,9983RU08                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       100.3 21         0.0            0.0            0.0       
      1381.767 4         81.3 5        84.6 21         3.4 21         3.4 21    
      1585.966 4         8.72 9         10.1 3          1.4 3          1.4 3    
        1622.1 4        0.069           0.0          -0.069         -0.069      
      1723.473 5         32.1 3       25.11 21         -6.9 4         -6.9 4    
      1762.011 6        5.03 13        5.30 16        0.26 20        0.26 20    
      2260.60 24        0.473 5        0.050         -0.424 5       -0.424 5    
        2317.0 4         0.20           0.0           -0.20          -0.20      
        2469.1 3         0.89           0.0           -0.89          -0.89      
       2504.44 3       0.776 18         0.71 3        -0.06 4        -0.06 4    
      2513.44 15        0.027 8       0.217 18       0.190 20       0.190 20    
       2664.35 4        0.204 5        0.195 6       -0.009 8       -0.009 8    
       2721.27 6        0.233 9       0.228 11      -0.005 14      -0.005 14    
       3038.72 8        0.114 6        0.034 6       -0.080 8       -0.080 8    
      3175.286 7         3.04 4         3.78 9         0.74 *         0.74 *    
      3260.703 8         4.84 5        5.93 13        1.09 14        1.09 14    
       3428.29 3       0.946 14         0.61 5        -0.33 5        -0.33 5    
       3469.00 4       0.670 14         0.32 4        -0.35 4        -0.35 4    
      3618.45 13        0.052 6        0.041 6       -0.012 8       -0.012 8    
       3787.69 4        0.384 9       0.209 16      -0.175 18      -0.175 18    
       3855.01 7        0.135 5       0.165 19       0.031 19       0.031 19    
      4074.12 22        0.042 8        0.030 6       -0.012 *       -0.012 *    
     4221.808 23       1.276 22         1.07 4        -0.20 4        -0.20 4    
        4408.9 9         0.69             2.             1.             1.      
       4433.28 4       0.579 15       0.230 13      -0.349 20      -0.349 20    
       4588.28 3       0.677 17       0.687 18       0.010 25       0.010 25    
     4666.670 22         1.55 4         1.09 3        -0.46 5        -0.46 5    
      4811.02 10        0.053 7       0.193 11       0.140 13       0.140 13    
       4910.85 5       0.399 14       0.204 11      -0.195 17      -0.195 17    
     5115.565 21         2.05 6         2.03 5         0.0            0.0       
       5151.05 9       0.183 12       0.261 18       0.078 21       0.078 21    
        5305.5 7         0.89             3.             2.             2.      
      5412.09 10       0.146 11        0.061 5      -0.084 12      -0.084 12    
      5795.62 18       0.096 12        0.685 5       0.589 13       0.589 13    
      8142.405 9         0.0            99.6 5         99.6 5         99.6 5    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        100.3 22       100.3 22    
             TOTAL UNPLACED GAMMA INTENSITY =          1.37 8                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
