  49TI    48TI(N,G),(POL N,G) E=TH      1992KU17,1983RU08                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        8.32 16         0.0            0.0            0.0       
      1381.766 5        7.43 14        7.03 16       -0.41 21       -0.41 21    
      1585.969 5       0.843 12       0.846 11         0.0            0.0       
      1622.65 13      0.0106 13      0.0057 12     -0.0049 18     -0.0049 18    
      1723.473 7         2.83 8         2.58 3        -0.26 9        -0.26 9    
      1762.008 7        0.420 7        0.422 5         0.0            0.0       
      2261.07 12       0.062 14       0.0079 8      -0.054 14      -0.054 14    
        2317.0 3         0.0            0.0            0.0            0.0       
        2469.2 3       0.075 16         0.0         -0.075 16      -0.075 16    
       2504.41 3        0.069 3      0.0644 16       -0.004 3       -0.004 3    
      2513.42 12       0.0022 7      0.0180 16      0.0159 18      0.0159 18    
       2664.37 5      0.0183 18      0.0157 15     -0.0026 23     -0.0026 23    
       2721.34 6       0.019 10      0.0176 12         0.0            0.0       
       3038.68 6      0.0110 10       0.0028 5     -0.0081 11     -0.0081 11    
      3175.278 9        0.281 7        0.298 4        0.017 8        0.017 8    
      3260.696 9       0.448 10        0.444 7        -0.0           -0.0       
     3428.249 24        0.090 3      0.1008 24        0.011 4        0.011 4    
       3469.02 3        0.062 3      0.0547 16       -0.008 3       -0.008 3    
      3618.46 10       0.0043 5       0.0034 5      -0.0009 8      -0.0009 8    
       3787.65 4      0.0342 25      0.0240 14       -0.010 3       -0.010 3    
       3854.95 7      0.0119 12      0.0147 12      0.0027 17      0.0027 17    
      4074.12 17       0.0035 7       0.0024 5      -0.0011 9      -0.0011 9    
     4221.778 22        0.114 3        0.102 3       -0.012 4       -0.012 4    
        4408.9 7       0.058 12         0.18 4         0.12 4         0.12 4    
       4433.23 4      0.0501 23      0.0220 18       -0.028 3       -0.028 3    
       4588.27 3      0.0624 23        0.061 3         0.0            0.0       
       4666.64 3        0.138 3        0.101 3       -0.037 4       -0.037 4    
      4810.92 10       0.0045 5      0.0194 16      0.0149 17      0.0149 17    
       4910.92 5      0.0351 19      0.0184 19       -0.017 3       -0.017 3    
     5115.546 20        0.197 4        0.184 4       -0.012 6       -0.012 6    
       5151.04 9      0.0182 18      0.0203 18      0.0022 25      0.0022 25    
        5305.4 7       0.075 16         0.25 4         0.18 5         0.18 5    
      5312.42 17         0.0         0.0227 20      0.0227 20      0.0227 20    
       5412.03 7      0.0148 14      0.0052 16     -0.0096 21     -0.0096 21    
      5795.57 12      0.0106 12       0.058 17       0.047 17       0.047 17    
     8142.351 14         0.0           8.84 15        8.84 15        8.84 15    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         8.32 23        8.32 23    
             TOTAL UNPLACED GAMMA INTENSITY =         1.88 12                   
              NORMALIZATION UNCERTAINTY (%) =    .0442                          
