  50TI    49TI(N,G),(POL N,G) E=THERMAL 1984RU06,1971TE01         95NDS    199509
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0          100 3         0.0            0.0            0.0       
      1553.796 6        99.2 15           99 3         0.0            0.0       
      2674.929 7         59.5 6        59.6 13         0.0            0.0       
     3198.691 13        1.66 25         2.17 3        0.51 25        0.51 25    
       3862.81 4         0.94 8         0.86 4        -0.08 9        -0.08 9    
     4147.208 10        7.95 21         11.4 3          3.4 4          3.4 4    
     4171.979 16         21.6 3         29.5 8          7.9 8          7.9 8    
      4309.86 11         0.37 5        1.58 11        1.21 12        1.21 12    
       4410.01 3         1.60 4        3.59 11        1.99 12        1.99 12    
       4486.72 6         0.85 5         0.77 5        -0.08 7        -0.08 7    
       4789.96 6         0.97 7         1.34 5         0.37 9         0.37 9    
     4880.692 11       10.74 11         11.2 4          0.4 4          0.4 4    
     5186.083 15         5.76 7        5.98 17        0.22 18        0.22 18    
     5379.917 16        6.81 19        7.34 18          0.5 3          0.5 3    
       5547.79 4         1.96 4        2.74 11        0.78 12        0.78 12    
       5694.84 8       0.547 22         0.80 5         0.25 6         0.25 6    
      5806.52 16       0.201 19         0.39 4         0.19 4         0.19 4    
     5946.450 19         4.49 6        4.35 11       -0.14 12       -0.14 12    
       6123.13 4         1.07 3         1.67 7         0.60 8         0.60 8    
      6156.46 22       0.140 21       0.200 21         0.06 3         0.06 3    
       6301.77 3         1.83 4        2.34 11        0.51 11        0.51 11    
      6379.83 14         0.54 3         0.13 4        -0.41 5        -0.41 5    
      6399.78 15       0.297 22         0.33 4         0.03 4         0.03 4    
       6521.36 4         1.84 4        1.81 11         0.0            0.0       
     6710.542 22         4.01 7         3.32 9       -0.69 12       -0.69 12    
       6729.82 6         1.00 3         0.96 6        -0.04 7        -0.04 7    
       6837.60 7         0.84 3         0.49 3        -0.35 4        -0.35 4    
       6849.00 8         0.79 3         0.27 6        -0.52 7        -0.52 7    
      7029.38 25       0.140 24         0.37 5         0.23 6         0.23 6    
      7078.69 23         0.20 3         0.27 4         0.07 5         0.07 5    
      7232.17 23          0.6 4        0.72 17         0.0            0.0       
       7482.92 7         1.03 4       0.426 23        -0.60 5        -0.60 5    
    10939.134 12         0.0            83.1 6         83.1 6         83.1 6    
 *****************************************************************************
                       TOTAL BETA INTENSITY =           100 4          100 4    
             TOTAL UNPLACED GAMMA INTENSITY =          10.5 3                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
