  50TI    49TI(N,G),(POL N,G) E=THERMAL 1984RU06,1971TE01                        
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         1.88 4         0.0            0.0            0.0       
      1553.812 6         2.01 3         1.87 4        -0.14 5        -0.14 5    
      2674.955 8       1.203 22         1.22 3         0.0            0.0       
     3198.717 13        0.034 5      0.0436 12        0.010 5        0.010 5    
       3862.83 4      0.0189 17      0.0174 10     -0.0015 19     -0.0015 19    
     4147.234 10        0.160 6        0.228 8       0.068 10       0.068 10    
     4172.015 17       0.436 10       0.591 18       0.155 21       0.155 21    
      4309.86 10      0.0075 10        0.032 3        0.024 3        0.024 3    
       4410.03 3      0.0322 11        0.072 3        0.040 3        0.040 3    
       4486.69 5      0.0172 10      0.0154 15     -0.0017 18     -0.0017 18    
       4789.98 5      0.0195 14      0.0268 18      0.0073 23      0.0073 23    
     4880.725 12        0.217 6       0.230 16       0.013 17       0.013 17    
     5186.137 17        0.116 3        0.121 4        0.005 5        0.005 5    
     5379.957 17        0.137 5        0.148 6        0.011 8        0.011 8    
       5547.83 3      0.0394 14        0.055 3        0.016 3        0.016 3    
       5694.89 7       0.0110 6      0.0160 12      0.0050 13      0.0050 13    
      5806.66 16       0.0040 4      0.0079 10      0.0039 10      0.0039 10    
     5946.499 21        0.090 3        0.087 3       -0.003 4       -0.003 4    
       6123.15 3       0.0216 8      0.0338 15      0.0122 17      0.0122 17    
      6156.49 20       0.0028 4       0.0040 4       0.0012 6       0.0012 6    
       6301.81 3      0.0369 14      0.0471 25        0.010 3        0.010 3    
      6379.88 13       0.0108 8       0.0027 8     -0.0081 11     -0.0081 11    
      6399.85 14       0.0060 5       0.0067 7       0.0008 9       0.0008 9    
       6521.43 4      0.0371 14      0.0365 24         0.0            0.0       
     6710.568 24      0.0807 23      0.0670 22       -0.014 3       -0.014 3    
       6729.86 5      0.0201 10      0.0193 12        -0.0           -0.0       
       6837.66 6       0.0170 8       0.0098 7     -0.0072 10     -0.0072 10    
       6849.08 7       0.0158 8      0.0054 11     -0.0104 14     -0.0104 14    
        7029.2 3       0.0029 6      0.0075 10      0.0046 11      0.0046 11    
      7078.91 25       0.0041 6       0.0054 8      0.0014 10      0.0014 10    
      7232.03 23        0.012 8        0.014 4         0.0            0.0       
       7482.93 6      0.0207 12       0.0085 6     -0.0122 13     -0.0122 13    
    10939.201 13         0.0          1.675 17       1.675 17       1.675 18    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          1.88 6         1.88 6    
             TOTAL UNPLACED GAMMA INTENSITY =           203 6                   
              NORMALIZATION UNCERTAINTY (%) =    .3625                          
