  48TI    47TI(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         1.66 3         0.0            0.0            0.0       
       983.527 4         1.15 3       1.566 23         0.42 4         0.42 4    
      2295.638 6       0.460 23       0.525 18         0.06 3         0.06 3    
      2421.040 9       0.307 23       0.340 11       0.033 25       0.033 25    
      2997.21 16         0.0            0.0            0.0            0.0       
      3223.939 9       0.130 12       0.141 13       0.011 18       0.011 18    
      3239.752 8       0.038 11        0.122 7       0.084 13       0.084 13    
       3333.25 3         0.0            0.0            0.0            0.0       
     3358.816 14        0.055 4       0.116 12       0.062 13       0.062 13    
     3370.851 23        0.063 8       0.085 13       0.022 15       0.022 15    
     3616.810 19        0.119         0.075 11      -0.044 15      -0.044 15    
       3699.41 8         0.0            0.0            0.0            0.0       
      3738.54 11         0.0            0.0            0.0            0.0       
     3782.450 15        0.032 8       0.093 10       0.062 13       0.062 13    
       3802.80 8       0.125 11         0.0         -0.125 11      -0.125 11    
       3852.25 3        0.022 6       0.052 14       0.030 15       0.030 15    
     4035.133 14        0.059 8       0.068 15       0.010 17       0.010 17    
     4074.494 18         0.0          0.052 13       0.052 13       0.052 13    
       4196.86 3         0.18 3         0.0           -0.18 3        -0.18 3    
        4205.3 4         0.0          0.056 12       0.056 12       0.056 12    
     4387.680 17        0.038 8        0.049 8       0.011 12       0.011 12    
     4457.440 10       0.279 22       0.242 13      -0.037 25      -0.037 25    
       4580.70 6         0.0            0.0            0.0            0.0       
     4719.119 18         0.0            0.0            0.0            0.0       
      4757.73 10         0.0            0.0            0.0            0.0       
      4783.30 10         0.0            0.0            0.0            0.0       
       4792.27 5       0.055 11         0.0         -0.055 11      -0.055 11    
      4794.27 12         0.0            0.0            0.0            0.0       
       4910.58 5       0.058 23       0.104 11         0.05 3         0.05 3    
      4924.88 12         0.0            0.0            0.0            0.0       
      4940.05 13         0.0            0.0            0.0            0.0       
       5145.81 4         0.0           0.014 7        0.014 7        0.014 7    
      5157.70 13         0.0            0.0            0.0            0.0       
      5356.22 11         0.0            0.16 3         0.16 3         0.16 3    
      5490.78 13         0.0            0.0            0.0            0.0       
       5619.58 7         0.0            0.0            0.0            0.0       
       5640.00 3       0.045 18         0.0         -0.045 18      -0.045 18    
       5888.55 5       0.337 23       0.188 14        -0.15 3        -0.15 3    
       6042.46 4       0.066 16         0.0         -0.066 16      -0.066 16    
      6054.54 20         0.0            0.0            0.0            0.0       
        6240.4 3         0.0            0.0            0.0            0.0       
      6313.74 21         0.0            0.0            0.0            0.0       
       6365.14 8         0.0            0.0            0.0            0.0       
      6406.17 10         0.0            0.0            0.0            0.0       
       6490.46 7         0.0            0.0            0.0            0.0       
       6541.63 8         0.0            0.0            0.0            0.0       
      6626.53 13         0.0            0.0            0.0            0.0       
      6707.77 17         0.0            0.0            0.0            0.0       
        6797.0 3         0.0            0.0            0.0            0.0       
      6827.29 20         0.0            0.0            0.0            0.0       
      6898.30 20         0.0            0.0            0.0            0.0       
        6957.1 3         0.0            0.0            0.0            0.0       
      6976.31 18         0.0            0.0            0.0            0.0       
      7060.52 18         0.0            0.0            0.0            0.0       
       7358.98 6         0.0            0.0            0.0            0.0       
       7541.58 7         0.0          0.015 11       0.015 11       0.015 11    
      7574.08 18         0.0            0.0            0.0            0.0       
       7616.13 9         0.0            0.0            0.0            0.0       
    11626.659 15         0.0            1.21 5         1.21 5         1.21 6    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          1.66 8         1.66 9    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =   1.3869                          
