  51V     50V(N,G) E=THERMAL            1991MI08,1978RO03,1973HAWJ97ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         100 14         0.0            0.0            0.0       
        320.07 3          7.5 9           7.           0.0            0.0       
     1609.235 19           65 5          70 14         0.0            0.0       
     1813.243 19         15.8 7           19 3            3 3            3 3    
     2699.634 24        12.7 13           15 3            2 3            2 3    
       3377.67 4         2.25          3.62 16        1.37 18        1.37 18    
     3385.592 23         13.7 6           18 4            4 4            4 4    
       3395.02 3        1.65 12          3.1 4          1.5 5          1.5 5    
       3516.95 3         1.39 5         1.47 6         0.08 8         0.08 8    
     3614.057 24         10.1 5        12.2 19         2.1 20         2.1 20    
       3803.60 3         1.34 7        1.18 11       -0.16 13       -0.16 13    
       3873.72 3        5.60 25         7.5 13         1.9 13         1.9 13    
       3902.35 3        3.94 16          4.8 4          0.8 4          0.8 4    
       3919.46 4        3.09 14        3.64 13        0.54 19        0.54 19    
       3943.33 3        2.48 16        3.33 24          0.8 3          0.8 3    
       4002.56 4         0.71 5         1.17 5         0.46 7         0.46 7    
       4124.03 4        3.07 14          4.1 4          1.0 4          1.0 4    
       4224.80 4         1.99 9        2.50 17        0.52 19        0.52 19    
       4446.68 3        2.57 12          3.6 4          1.0 4          1.0 4    
       4493.93 3         1.26 6        1.84 15        0.58 16        0.58 16    
       4560.55 3         1.74 7         1.57         -0.17 12       -0.17 12    
       4582.79 4         0.77 6         0.51 6        -0.27 8        -0.27 8    
       4894.26 4         0.63 4         0.82 6         0.19 7         0.19 7    
       4916.11 4         0.33 4         0.55 7         0.22 8         0.22 8    
       5019.94 4         0.67 4         0.53 3        -0.14 5        -0.14 5    
       5030.29 6       0.303 16         0.38 4         0.08 5         0.08 5    
       5113.30 4         1.23 6         1.13 6        -0.10 9        -0.10 9    
       5188.44 3         2.15            2.4 3          0.2 3          0.2 3    
       5208.52 4         1.20 7        3.17 11        1.97 13        1.97 13    
       5256.01 3         1.48 7        1.90 14        0.43 16        0.43 16    
       5308.14 6       0.366 19       0.495 23         0.13 3         0.13 3    
       5325.41 4        1.13 14         0.69 4       -0.45 15       -0.45 15    
       5333.28 3         1.60 8        1.56 11         0.0            0.0       
       5403.74 5         0.75 4         0.61 3        -0.14 5        -0.14 5    
       5628.64 4         1.47 7         1.56 7         0.09 *         0.09 *    
       5808.06 5         0.50 3         0.55 4         0.05 5         0.05 5    
       5817.74 5         0.49 3         0.48 3         0.0            0.0       
       5849.78 4         0.87 4         0.95 5         0.08 7         0.08 7    
       5913.59 4         0.66 4         0.88 6         0.22 7         0.22 7    
       5943.17 5       0.292 15         0.52 4         0.23 4         0.23 4    
       5948.53 5       0.439 21         0.70 4         0.26 4         0.26 4    
       5981.38 6       0.213 13       0.330 14       0.117 19       0.117 19    
       6038.60 5       0.397 20       0.551 21         0.15 3         0.15 3    
       6059.36 6         0.55 3         0.60 4         0.06 5         0.06 5    
       6100.80 8       0.215 10       0.271 12       0.057 16       0.057 16    
       6114.13 5         0.81 4         0.96 6         0.15 8         0.15 8    
       6259.96 4       0.333 17        1.04 14        0.71 14        0.71 14    
       6264.56 6         0.69 4         0.65 3        -0.04 5        -0.04 5    
       6266.60 7        0.186           0.86 3         0.67 3         0.67 3    
       6297.21 6         0.45 3         0.57 3         0.12 4         0.12 4    
       6379.89 5       0.327 17         0.56 3         0.23 4         0.23 4    
       6437.79 4         0.46 3         0.95 3         0.49 4         0.49 4    
       6464.07 5        0.152 8         0.70 6         0.55 6         0.55 6    
       6485.46 6       0.355 17       0.398 17       0.043 25       0.043 25    
       6496.05 6       0.262 13       0.356 16       0.094 21       0.094 21    
       6570.43 6       0.240 12       0.534 16       0.294 20       0.294 20    
       6579.46 6        0.180 9       0.483 18       0.303 20       0.303 20    
       6675.35 7        0.141 7       0.413 14       0.272 15       0.272 15    
       6830.55 6       0.271 14         0.64 4         0.37 5         0.37 5    
       6931.22 6        0.148 8       0.673 15       0.525 17       0.525 17    
       6977.39 5       0.215 10         0.63 6         0.42 6         0.42 6    
    11051.127 22         0.0            65.2 9         65.2 9         65.2 9    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          100 15         100 15    
             TOTAL UNPLACED GAMMA INTENSITY =        10.77 22                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
