  51V     50V(N,G) E=THERMAL            1991MI08,1978RO03,1973HAWJ               
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         20.4 8         0.0            0.0            0.0       
        320.10 4        1.55 13         1.44 9       -0.11 16       -0.11 16    
     1609.248 20        13.6 10         14.4 7         0.8 12         0.8 12    
     1813.248 20        3.27 17          3.8 3          0.6 4          0.6 4    
       2699.66 3          2.6 3          3.4 3          0.8 5          0.8 5    
       3377.67 4         0.47 3         0.75 7         0.28 8         0.28 8    
       3385.62 3        2.84 14          3.8 8          0.9 8          0.9 8    
       3395.01 3         0.34 3        0.65 10        0.31 10        0.31 10    
       3516.97 4       0.231 13         0.31 3         0.08 3         0.08 3    
       3614.08 3        2.12 12          2.5 5          0.4 5          0.4 5    
       3803.62 3       0.279 22         0.24 3        -0.04 4        -0.04 4    
       3873.73 3        1.16 12          1.6 3          0.4 3          0.4 3    
       3902.36 3         0.82 7        0.99 11        0.17 13        0.17 13    
       3919.47 4         0.64 6         0.75 5         0.11 8         0.11 8    
       3943.36 3         0.47 4         0.69 7         0.23 8         0.23 8    
       4002.59 5       0.131 12       0.242 24         0.11 3         0.11 3    
       4124.08 4         0.62 6        0.86 12        0.24 13        0.24 13    
       4224.85 4         0.37 4         0.52 5         0.15 6         0.15 6    
       4446.69 3         0.53 6        0.74 10        0.20 11        0.20 11    
       4493.91 3       0.262 19         0.38 4         0.12 4         0.12 4    
       4560.60 4       0.266 22         0.32 3         0.06 3         0.06 3    
       4582.78 4       0.137 14       0.105 13      -0.032 19      -0.032 19    
       4894.27 4       0.128 16       0.170 17       0.042 23       0.042 23    
       4916.13 6        0.069 9       0.114 17       0.046 19       0.046 19    
       5019.94 4       0.139 11        0.111 8      -0.028 14      -0.028 14    
       5030.31 7        0.063 6       0.080 10       0.017 11       0.017 11    
       5113.32 5       0.237 21       0.233 17         0.0            0.0       
       5188.47 3         0.43 4         0.50 7         0.06 8         0.06 8    
       5208.54 4       0.237 23       0.282 18         0.05 3         0.05 3    
       5256.01 3         0.30 3         0.39 3         0.09 5         0.09 5    
       5308.16 6        0.067 7        0.102 6        0.035 9        0.035 9    
       5325.42 5         0.23 3        0.097 7        -0.14 3        -0.14 3    
       5333.27 4         0.32 4       0.326 25         0.0            0.0       
       5403.73 6       0.136 16        0.126 8      -0.010 18      -0.010 18    
       5628.69 5         0.30 3       0.330 18         0.03 4         0.03 4    
       5808.05 6       0.104 12       0.114 10       0.010 16       0.010 16    
       5817.78 7       0.100 12        0.100 8         0.0            0.0       
       5849.78 5       0.180 20       0.171 12        -0.0           -0.0       
       5913.53 5       0.137 16       0.132 11         0.0            0.0       
       5943.21 6        0.060 7        0.092 9       0.031 11       0.031 11    
       5948.58 5       0.091 10       0.144 10       0.053 14       0.053 14    
       5981.45 6        0.034 4        0.069 5        0.035 6        0.035 6    
       6038.69 6        0.082 9        0.105 7       0.023 11       0.023 11    
       6059.31 7       0.112 12       0.125 11       0.013 16       0.013 16    
       6100.82 9        0.044 5        0.056 4        0.012 6        0.012 6    
       6114.19 6       0.168 20       0.200 21         0.03 3         0.03 3    
       6260.00 5        0.069 8         0.20 3         0.13 3         0.13 3    
       6264.51 9       0.144 16        0.112 8      -0.032 18      -0.032 18    
       6266.64 8        0.038 4       0.176 13       0.138 13       0.138 14    
       6297.20 6       0.092 12        0.089 8         0.0            0.0       
       6379.92 5        0.068 8        0.067 5         0.0            0.0       
       6437.78 5       0.096 12       0.189 13       0.093 17       0.093 17    
       6464.05 6        0.032 4       0.138 14       0.106 15       0.106 15    
       6485.52 7        0.074 8        0.075 6         0.0            0.0       
       6496.13 9        0.054 6        0.074 5        0.019 8        0.019 8    
       6570.40 7        0.050 6        0.088 6        0.038 8        0.038 8    
       6579.48 7        0.037 4        0.068 4        0.031 6        0.031 6    
       6675.33 7        0.029 3        0.086 4        0.056 5        0.056 5    
       6830.58 8        0.056 6       0.132 11       0.076 13       0.076 13    
       6931.21 6        0.031 4        0.124 7        0.093 8        0.093 8    
       6977.39 6        0.044 5       0.131 13       0.086 14       0.086 14    
    11051.142 24         0.0            13.5 3         13.5 3         13.5 3    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         20.4 13        20.4 14    
             TOTAL UNPLACED GAMMA INTENSITY =        10.77 22                   
              NORMALIZATION UNCERTAINTY (%) =    .7500                          
