  52V     51V(N,G) E=THERMAL                                      94ND           
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           71 6         0.0            0.0            0.0       
        17.156 5         17.5 8           13 4           -5 4           -5 4    
      22.7635 25        30.5 13           24 4           -6 4           -6 4    
       141.610 6         3.30 4           2.          -0.70 4        -0.70 4    
       147.845 3           32 3           21            -11 3          -11 3    
       436.637 8         19.1 9        12.1 11        -7.0 14        -7.0 14    
      793.543 11         20.7 9           18 3           -3 3           -3 3    
      845.941 11         13.1 5        12.1 16        -1.0 17        -1.0 17    
     1289.842 21         0.37 5         0.38 6         0.0            0.0       
     1418.816 13        4.01 22          3.7 5         -0.3 5         -0.3 5    
     1558.846 15          8.2 4         8.4 14         0.0            0.0       
       1579.16 3        0.179 8       0.108 22      -0.071 23      -0.071 23    
     1732.566 17       0.620 25        1.05 12        0.43 12        0.43 12    
     1759.623 19         0.69 3        1.14 14        0.45 15        0.45 15    
     1770.171 19         0.66 6        1.45 18        0.79 19        0.79 19    
     1795.117 15          8.3 4          8.5           0.0            0.0       
     2100.839 12        5.34 25          5.6 4          0.3 5          0.3 5    
     2168.634 16        4.17 20          5.0 3          0.9 4          0.9 4    
     2318.030 24         0.80 4         0.70 4        -0.10 6        -0.10 6    
     2427.655 18         1.60 8        1.73 14        0.13 16        0.13 16    
     2538.816 20         0.59 3         0.62 5         0.03 5         0.03 5    
       2559.37 4        0.099 5        0.139 9       0.041 10       0.041 10    
       2743.06 4       0.261 13       0.248 15      -0.014 20      -0.014 20    
       2775.82 3       0.228 12       0.263 22       0.035 25       0.035 25    
       2824.58 3       0.382 19         0.40 3         0.02 3         0.02 3    
     2858.875 23         1.18 6         2.56 9        1.37 11        1.37 11    
       2910.47 4        0.064 7        0.097 8       0.032 10       0.032 10    
       2987.30 3        0.186 9        0.27 15        0.09 15        0.09 15    
       3009.16 5        0.144 7       0.155 10       0.011 12       0.011 12    
       3059.53 3       0.209 10       0.313 23       0.104 25       0.104 25    
       3184.34 3        0.147 8       0.215 14       0.068 16       0.068 16    
     3194.267 16         1.96 9        2.01 18         0.0            0.0       
       3198.96 5        0.072 3        0.144 4        0.072 5        0.072 5    
       3315.19 5      0.0416 21        0.075 3        0.033 4        0.033 4    
       3333.25 4       0.205 10       0.244 13       0.040 17       0.040 17    
       3449.99 4       0.205 10       0.258 14       0.053 17       0.053 17    
       3473.78 4       0.200 10        0.150 7      -0.050 12      -0.050 12    
       3538.48 4       0.311 16        0.277 9      -0.034 18      -0.034 18    
       3575.95 3       0.326 17       0.405 23         0.08 3         0.08 3    
       3644.96 5      0.0364 21        0.085 3        0.049 4        0.049 4    
       3729.60 4       0.200 10       0.190 10      -0.009 15      -0.009 15    
       3733.14 3         0.79 4       0.600 25        -0.19 5        -0.19 5    
     3777.077 25         0.56 3       0.516 20        -0.05 4        -0.05 4    
     3808.498 25         0.72 4       0.643 19        -0.07 5        -0.07 5    
       4108.73 4        0.167 8        0.224 7       0.056 11       0.056 11    
       4278.61 3       0.277 14        0.210 8      -0.067 16      -0.067 16    
       4285.28 4        0.144 7        0.119 4       -0.025 8       -0.025 8    
       4419.82 3       0.210 21       0.238 16         0.03 3         0.03 3    
       4483.29 4       0.178 18        0.193 8       0.016 19       0.016 19    
       4518.88 3       0.115 11       0.185 13       0.070 18       0.070 18    
       4609.43 3        0.072 7       0.189 11       0.118 13       0.118 13    
       4755.05 6        0.049 5        0.061 5        0.012 7        0.012 7    
       5038.88 4         0.27 3       0.314 11         0.04 3         0.04 3    
     7311.252 13         0.0          100.3 15       100.3 15       100.3 15    
 *****************************************************************************
                       TOTAL BETA INTENSITY =            71 7           71 7    
             TOTAL UNPLACED GAMMA INTENSITY =        13.75 13                   
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
