  52V     51V(N,G) E=THERMAL                                                     
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0        5.18 18         0.0            0.0            0.0       
        17.152 6         1.04 5         1.05 8         0.0            0.0       
        22.764 3         2.24 4        2.25 15         0.0            0.0       
       141.605 7        0.202 5         0.23 5         0.03 5         0.03 5    
       147.846 3         1.65 4         1.89 4         0.24 6         0.24 6    
      436.629 13         0.96 7       0.812 12        -0.15 7        -0.15 7    
      793.553 13         0.99 4       0.985 18         0.0            0.0       
      845.955 13         0.66 4       0.623 11        -0.04 4        -0.04 4    
       1289.83 3      0.0310 21        0.038 3        0.007 4        0.007 4    
     1418.814 15       0.192 10        0.199 8       0.007 12       0.007 12    
     1558.868 18       0.400 24        0.398 9         0.0            0.0       
       1579.16 4      0.0123 21      0.0069 10     -0.0054 23     -0.0054 23    
     1732.594 20        0.029 3      0.0501 23        0.021 4        0.021 4    
     1759.630 25        0.033 3        0.059 3        0.026 4        0.026 4    
     1770.169 25        0.039 3        0.069 3        0.030 4        0.030 4    
     1795.146 19         0.40 4       0.423 14         0.02 4         0.02 4    
     2100.850 14       0.266 20        0.265 5         0.0            0.0       
     2168.637 18        0.213 6       0.243 11       0.031 13       0.031 13    
       2318.07 3        0.040 3        0.050 3        0.010 4        0.010 4    
     2427.648 21        0.077 4        0.084 3        0.007 5        0.007 5    
       2538.86 3        0.035 6        0.033 3         0.0            0.0       
       2559.37 4       0.0089 7      0.0126 10      0.0037 12      0.0037 12    
       2743.07 4      0.0117 16      0.0165 13      0.0048 21      0.0048 21    
       2775.85 4      0.0137 23      0.0131 16         0.0            0.0       
       2824.61 3      0.0203 20      0.0193 24         0.0            0.0       
       2858.87 3       0.051 10       0.174 24         0.12 3         0.12 3    
       2910.47 5       0.0058 7       0.0087 9      0.0029 11      0.0029 11    
       2987.31 5      0.0104 19      0.0189 13      0.0084 23      0.0084 23    
       3009.19 5      0.0091 16      0.0071 13     -0.0020 21     -0.0020 21    
       3059.52 4      0.0092 18      0.0224 24        0.013 3        0.013 3    
       3184.33 3      0.0088 15      0.0194 14      0.0106 21      0.0106 21    
     3194.277 20        0.094 4        0.095 8         0.0            0.0       
       3199.00 6       0.0065 5      0.0096 12      0.0030 13      0.0030 13    
       3315.20 4       0.0037 3       0.0068 5       0.0031 6       0.0031 6    
       3333.27 6      0.0129 13      0.0204 23        0.007 3        0.007 3    
       3449.99 5      0.0131 18      0.0178 23        0.005 3        0.005 3    
       3473.80 5      0.0071 13      0.0115 12      0.0044 18      0.0044 18    
       3538.47 5      0.0145 18      0.0135 16        -0.0           -0.0       
       3575.95 4      0.0157 17      0.0140 16     -0.0017 23     -0.0017 23    
       3644.96 4       0.0033 3       0.0077 4       0.0044 5       0.0044 5    
       3729.61 5      0.0070 17      0.0134 16      0.0063 23      0.0063 23    
       3733.16 3      0.0272 20        0.051 3        0.024 4        0.024 4    
       3777.07 3      0.0244 21      0.0389 25        0.015 3        0.015 3    
       3808.51 3      0.0307 18        0.028 3       -0.003 3       -0.003 3    
       4108.78 5      0.0053 13      0.0118 19      0.0065 23      0.0065 23    
       4278.58 9      0.0250 20      0.0157 10     -0.0093 22     -0.0093 22    
       4285.29 4      0.0059 11       0.0107 6      0.0048 12      0.0048 12    
       4419.91 7      0.0101 16      0.0215 18      0.0113 24      0.0113 24    
       4483.31 4      0.0097 13       0.0174 9      0.0077 16      0.0077 16    
       4518.88 4      0.0041 10      0.0123 15      0.0082 18      0.0082 18    
       4609.42 3      0.0034 10      0.0146 10      0.0111 14      0.0111 14    
       4755.04 5       0.0044 6       0.0056 5       0.0011 8       0.0011 8    
       5038.89 5      0.0104 11        0.024 6        0.013 6        0.013 6    
     7311.273 15         0.0           4.65 11        4.65 11        4.65 11    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         5.18 22        5.18 22    
             TOTAL UNPLACED GAMMA INTENSITY =        13.75 13                   
              NORMALIZATION UNCERTAINTY (%) =    .0020                          
