  52V     51V(N,G) E=THERMAL                                                     
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       1.853 19         0.0            0.0            0.0       
        17.156 5       0.747 17         0.0         -0.747 17      -0.747 17    
      22.7635 25         2.20 4         0.0           -2.20 4        -2.20 4    
       141.610 6        0.179 4         0.0          -0.179 4       -0.179 4    
       147.845 3         1.59 4         1.87 4         0.28 6         0.28 6    
       436.637 8         0.82 6       0.812 12         0.0            0.0       
      793.543 11         0.95 4       0.985 18         0.04 4         0.04 4    
      845.941 11         0.59 4       0.623 11         0.03 4         0.03 4    
     1289.842 21       0.0159 9      0.0292 21      0.0132 23      0.0132 23    
     1418.816 13        0.176 9        0.177 6         0.0            0.0       
     1558.846 15       0.370 24        0.394 9         0.02 3         0.02 3    
       1579.16 3      0.0080 20      0.0069 10     -0.0011 22     -0.0011 22    
     1732.566 17        0.020 3      0.0487 22        0.028 4        0.028 4    
     1759.623 19        0.030 3        0.055 3        0.025 4        0.025 4    
     1770.171 19      0.0211 23        0.069 3        0.048 4        0.048 4    
     1795.117 15         0.39 4       0.421 14         0.03 4         0.03 4    
     2100.839 12       0.250 20        0.263 5       0.013 21       0.013 21    
     2168.634 16        0.205 6        0.190 5       -0.015 8       -0.015 8    
     2318.030 24        0.036 3      0.0347 24       -0.001 4       -0.001 4    
     2427.655 18        0.073 4        0.082 3        0.009 5        0.009 5    
     2538.816 20        0.028 6      0.0189 21       -0.009 7       -0.009 7    
       2559.37 4         0.0            0.0            0.0            0.0       
       2743.06 4      0.0086 15      0.0058 10     -0.0028 18     -0.0028 18    
       2775.82 3      0.0085 21      0.0116 16        0.003 3        0.003 3    
       2824.58 3      0.0187 20      0.0152 24       -0.004 3       -0.004 3    
     2858.875 23       0.050 10      0.0484 24         0.0            0.0       
       2910.47 4         0.0            0.0            0.0            0.0       
       2987.30 3      0.0104 19       0.0074 9     -0.0030 21     -0.0030 21    
       3009.16 5      0.0091 16      0.0041 13     -0.0050 21     -0.0050 21    
       3059.53 3      0.0074 17      0.0097 15      0.0023 23      0.0023 23    
       3184.34 3      0.0080 15         0.0        -0.0080 15     -0.0080 15    
     3194.267 16        0.094 4        0.072 7       -0.022 8       -0.022 8    
       3198.96 5         0.0         0.0072 12      0.0072 12      0.0072 12    
       3315.19 5         0.0            0.0            0.0            0.0       
       3333.25 4      0.0129 13      0.0111 21     -0.0018 24     -0.0018 24    
       3449.99 4      0.0131 18      0.0119 22       -0.001 3       -0.001 3    
       3473.78 4      0.0071 13      0.0041 11     -0.0030 17     -0.0030 17    
       3538.48 4      0.0145 18      0.0103 16     -0.0042 24     -0.0042 24    
       3575.95 3      0.0157 17      0.0122 15     -0.0035 23     -0.0035 23    
       3644.96 5         0.0            0.0            0.0            0.0       
       3729.60 4      0.0070 17      0.0042 13     -0.0028 21     -0.0028 21    
       3733.14 3      0.0272 20      0.0090 20       -0.018 3       -0.018 3    
     3777.077 25      0.0244 21      0.0054 15       -0.019 3       -0.019 3    
     3808.498 25      0.0307 18        0.021 3       -0.009 3       -0.009 3    
       4108.73 4      0.0053 13      0.0049 19         0.0            0.0       
       4278.61 3      0.0063 11       0.0043 8     -0.0020 14     -0.0020 14    
       4285.28 4      0.0059 11         0.0        -0.0059 11     -0.0059 11    
       4419.82 3      0.0101 16       0.0008 6     -0.0093 17     -0.0093 17    
       4483.29 4      0.0097 13         0.0        -0.0097 13     -0.0097 13    
       4518.88 3      0.0041 10      0.0067 14      0.0026 17      0.0026 17    
       4609.43 3      0.0034 10         0.0        -0.0034 10     -0.0034 10    
       4755.05 6         0.0            0.0            0.0            0.0       
       5038.88 4      0.0104 11        0.014 6        0.004 6        0.004 6    
     7311.252 13         0.0           4.60 11        4.60 11        4.60 11    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         1.85 12        1.85 12    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .0020                          
