  65ZN    64ZN(N,G) E=THERMAL           1972BO75                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           92           0.0            0.0            0.0       
       53.930 10           6.             6.          -0.32          -0.32      
        115.10 4         75.0 4           75           0.0            0.0       
       206.94 19           5.             4.         -0.081         -0.081      
        768.62 9         0.0              3.             3.             3.      
        864.23 9         8.35 5           13           4.88 5         4.88 5    
       909.65 12        10.02 5           9.          -0.90 5        -0.90 5    
       1047.1 10         0.0              1.             1.             1.      
      1469.71 12         3.96 3           10           6.33 3         6.33 3    
        1907.1 6         0.42 3         0.0           -0.42 3        -0.42 3    
        1941.4 7         4.96 4           3.          -1.23 4        -1.23 4    
        2080.3 7       0.519 20         0.0         -0.519 20      -0.519 20    
        2202.2 6         4.51 3           3.          -0.69 3        -0.69 3    
        2216.3 7       0.941 20         0.0         -0.941 20      -0.941 20    
        2419.0 3         3.69 3           2.          -1.34 3        -1.34 3    
        2437.9 7         1.55 3         0.0           -1.55 3        -1.55 3    
        2457.5 7           1.             1.           0.39           0.39      
        2492.8 7       0.500 20         0.0         -0.500 20      -0.500 20    
        2572.8 7       0.725 20         0.0         -0.725 20      -0.725 20    
        2638.8 7         0.49           0.0           -0.49          -0.49      
        2731.8 7       0.872 20         0.0         -0.872 20      -0.872 20    
        2995.8 7       0.559 20         0.0         -0.559 20      -0.559 20    
        3004.9 7         0.59           0.0           -0.59          -0.59      
        3056.9 7       0.637 20         0.0         -0.637 20      -0.637 20    
        3108.9 7         1.26 3         0.0           -1.26 3        -1.26 3    
       3149.8 10         2.24 3         0.98          -1.26 3        -1.26 3    
        3191.9 7       0.853 20         0.0         -0.853 20      -0.853 20    
        3328.9 7       0.421 20         0.0         -0.421 20      -0.421 20    
        3396.4 7         1.69 3         0.88          -0.80 3        -0.80 3    
        3467.9 7       0.431 20         0.0         -0.431 20      -0.431 20    
        3588.9 7       0.794 20         0.0         -0.794 20      -0.794 20    
        3733.9 7       0.794 20         0.0         -0.794 20      -0.794 20    
        3814.9 7         1.14 3         0.0           -1.14 3        -1.14 3    
        4023.9 7       0.510 20         0.0         -0.510 20      -0.510 20    
        4038.9 7       0.431 20         0.0         -0.431 20      -0.431 20    
        4392.9 7         0.65 3         0.0           -0.65 3        -0.65 3    
        4619.9 7       0.470 20         0.0         -0.470 20      -0.470 20    
        4638.9 7       0.578 20         0.0         -0.578 20      -0.578 20    
        5546.9 7         1.23 4         0.0           -1.23 4        -1.23 4    
      7978.93 23         0.0           100.0 4        100.0 4        100.0 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          92.1 4         92.1 4    
             TOTAL UNPLACED GAMMA INTENSITY =            4.                     
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
