  65ZN    64ZN(N,G) E=THERMAL           1972BO75                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       0.843 20         0.0            0.0            0.0       
       53.972 17       0.335 13       0.328 18         0.0            0.0       
      115.225 18        0.465 6        0.473 8       0.008 10       0.008 10    
      207.068 22        0.037 5      0.0891 14        0.052 5        0.052 5    
        768.74 7       0.0023 4        0.020 3        0.018 3        0.018 3    
        864.43 6        0.011 3      0.0193 12        0.008 3        0.008 3    
        866.92 3       0.0428 9      0.0632 21      0.0204 22      0.0204 22    
        909.67 3      0.0611 23       0.201 13       0.140 13       0.140 13    
       1047.33 7       0.0019 8      0.0292 18      0.0274 20      0.0274 20    
        1343.8 3         0.0         0.0053 10      0.0053 10      0.0053 10    
      1369.45 22         0.0         0.0078 11      0.0078 11      0.0078 11    
       1469.66 5       0.0245 3        0.055 5        0.030 5        0.030 5    
        1577.3 4         0.0         0.0080 13      0.0080 13      0.0080 13    
        1907.2 4     0.00261 19         0.0       -0.00261 19    -0.00261 19    
       1941.70 6       0.0307 4      0.0331 21      0.0024 21      0.0024 21    
        2078.6 3     0.00321 12      0.0064 14      0.0032 14      0.0032 14    
       2202.70 9       0.0279 4      0.0222 17     -0.0057 18     -0.0057 18    
        2216.7 4     0.00582 14         0.0       -0.00582 14    -0.00582 14    
      2419.21 15       0.0229 3        0.015 4       -0.008 4       -0.008 4    
        2438.0 5      0.0097 14         0.0        -0.0097 14     -0.0097 14    
        2457.5 3      0.0156 23        0.011 3       -0.005 4       -0.005 4    
        2493.0 4     0.00309 16      0.0043 12      0.0012 12      0.0012 12    
        2572.9 5     0.00449 21         0.0       -0.00449 21    -0.00449 21    
        2638.9 5       0.0031 6         0.0         -0.0031 6      -0.0031 6    
        2731.9 5     0.00541 23         0.0       -0.00541 23    -0.00541 23    
        2995.9 4     0.00348 12      0.0045 21      0.0010 21      0.0010 21    
        3004.9 5       0.0037 8         0.0         -0.0037 8      -0.0037 8    
        3057.0 5     0.00395 16         0.0       -0.00395 16    -0.00395 16    
      3109.13 25     0.00782 21      0.0150 21      0.0072 21      0.0072 21    
        3150.7 3     0.01391 23      0.0068 10     -0.0071 11     -0.0071 11    
        3192.0 5     0.00529 16         0.0       -0.00529 16    -0.00529 16    
        3329.0 5     0.00261 12         0.0       -0.00261 12    -0.00261 12    
        3396.2 4     0.01043 21      0.0056 14     -0.0049 15     -0.0049 15    
        3468.0 5     0.00268 14         0.0       -0.00268 14    -0.00268 14    
        3589.0 5     0.00492 19         0.0       -0.00492 19    -0.00492 19    
        3734.0 4     0.00494 12         0.0       -0.00494 12    -0.00494 12    
        3814.6 3     0.00704 21         0.0       -0.00704 21    -0.00704 21    
        4024.0 5       0.0031 5         0.0         -0.0031 5      -0.0031 5    
        4039.0 5       0.0027 4         0.0         -0.0027 4      -0.0027 4    
        4392.3 5       0.0039 6      0.0047 16      0.0008 18      0.0008 18    
        4620.0 5       0.0029 4         0.0         -0.0029 4      -0.0029 4    
        4639.1 3       0.0039 6         0.0         -0.0039 6      -0.0039 6    
        5547.0 5      0.0076 16         0.0        -0.0076 16     -0.0076 16    
       7979.28 7         0.0           0.627 5        0.627 5        0.627 7    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          0.84 3         0.84 3    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .6317                          
