  68ZN    67ZN(N,G) E=THERMAL           1971OT01                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0         96.6 7         0.0            0.0            0.0       
       1077.39 5        61.3 13           75          13.7 13        13.7 17    
      1655.94 11        1.56 14        2.25 15        0.69 20        0.69 21    
       1883.16 5         12.2 4         23.1 8         10.9 8        10.9 12    
       2338.41 7        5.78 25          8.5 4          2.7 5          2.7 5    
       2417.39 7          5.8 3          9.5 3          3.7 4          3.7 5    
       2750.73 8        2.77 22          5.9 4          3.1 4          3.1 5    
      2821.69 11         0.55 7        3.46 24        2.92 25          2.9 3    
      2959.41 15         0.46 5          1.3 3          0.8 3          0.8 3    
       3009.24 7        3.45 18        5.96 24          2.5 3          2.5 4    
      3184.18 13         0.59 5        2.47 23        1.88 24          1.9 3    
      3281.58 14       0.115 23        1.50 15        1.39 15        1.39 19    
      3287.04 11         4.5 13          6.2 5         1.7 14         1.7 14    
      3424.92 18         0.57 9        1.49 16        0.92 18        0.92 20    
      3429.44 12        2.33 22        2.85 20          0.5 3          0.5 3    
      3458.66 17         0.0            0.0            0.0            0.0       
      3495.78 24         1.32 8        2.12 23        0.80 24        0.80 25    
      3587.15 19         0.24 3         0.46 5         0.22 5         0.22 6    
      3630.29 11         0.31 3        1.69 11        1.38 12        1.38 16    
      3664.64 24         0.29 5        1.33 16        1.04 16        1.04 18    
      3725.83 16         0.50 5        1.40 23        0.91 23        0.91 25    
      3776.29 22         0.61 5        1.21 13        0.60 14        0.60 15    
      3849.29 21         0.34 3         0.60 5         0.26 6         0.26 7    
      3895.82 16         0.37 4         0.75 6         0.38 7         0.38 8    
      3910.93 19          0.5 4         0.76 7          0.3 4          0.3 4    
      3935.10 15        1.81 14          2.5 5          0.7 6          0.7 6    
        4027.5 3         0.29 5         0.60 8         0.31 9         0.31 *    
        4139.7 4         0.16 4         0.80 9         0.65 *        0.65 11    
        4215.3 4         0.60 6        0.73 10        0.13 12        0.13 12    
        4283.9 3         0.59 6         0.58 7         0.0            0.0       
        4408.6 3         0.91 9         1.06          0.15 13        0.15 13    
        4512.2 3         1.04 9         0.99 9       -0.05 13       -0.05 13    
        4520.5 4         1.05 9         0.83 7       -0.22 11       -0.22 11    
        4535.6 3         1.32 9        1.21 12       -0.11 15       -0.11 15    
        4723.8 4         0.53 5         0.59 8         0.06 *         0.06 *    
        4733.0 4         0.30 5        0.76 11        0.46 12        0.46 13    
        4851.4 3         0.77 8        0.71 17       -0.07 19       -0.07 19    
        4857.9 5         0.34 5         0.48 7         0.14 8         0.14 8    
        4910.5 3         0.96 7        1.22 13        0.26 15        0.26 15    
        4951.7 3         1.12 8        1.16 17         0.0            0.0       
        4963.3 5         0.45 4         0.28 7        -0.17 8        -0.17 8    
        4991.6 5         0.43 4        0.67 13        0.23 14        0.23 14    
        5187.1 4         0.55 5        0.50 12       -0.05 13       -0.05 13    
        5283.6 3         0.89 7        0.91 17         0.0            0.0       
        5298.1 3         1.07          1.54 23        0.46 25          0.5 3    
        5306.8 5         0.61 8         0.33 8       -0.28 11       -0.28 11    
        5400.3 4        0.46 16        0.74 16        0.28 22        0.28 22    
        5403.1 4        0.74 16         0.54 7       -0.20 17       -0.20 17    
        5415.1 5         0.90 8        0.58 14       -0.32 16       -0.32 16    
        5565.2 4         0.69 8        0.79 10        0.10 13        0.10 13    
        5693.4 5         0.83 8         0.41 6       -0.42 10       -0.42 10    
     10198.07 12         0.0           41.2 15        41.2 15           41 4    
 *****************************************************************************
                       TOTAL BETA INTENSITY =         96.6 21           97 8    
             TOTAL UNPLACED GAMMA INTENSITY =          57.6 9                   
              NORMALIZATION UNCERTAINTY (%) =   8.0000                          
