  68ZN    67ZN(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       11.44 15         0.0            0.0            0.0       
     1077.344 16        7.76 13        8.69 12        0.93 18        0.93 18    
       1655.83 5       0.192 20       0.295 12       0.103 23       0.103 23    
       1883.14 3        1.68 11         2.85 9        1.17 14        1.17 14    
       2338.51 3         0.73 4       1.052 24         0.32 5         0.32 5    
       2417.50 3         0.63 4         1.12 4         0.50 6         0.50 6    
       2750.83 4         0.33 3       0.687 25         0.35 4         0.35 4    
       2821.84 6        0.066 9       0.405 21       0.339 23       0.339 24    
      2959.46 10        0.056 8         0.15 4         0.10 4         0.10 4    
       3009.25 4       0.456 25       0.691 18         0.24 3         0.24 3    
       3184.12 6        0.072 8        0.49 10        0.42 10        0.42 10    
       3281.63 9        0.014 3         0.0          -0.014 3       -0.014 3    
       3287.11 9         0.47 3         0.96 4         0.49 5         0.49 5    
      3424.96 14       0.071 12       0.183 19       0.112 22       0.112 22    
       3429.49 8       0.273 22         0.42 3         0.14 4         0.14 4    
      3458.80 13         0.0          0.061 10       0.061 10       0.061 10    
      3495.92 10       0.161 10       0.252 18       0.091 21       0.091 21    
      3587.20 13        0.029 4        0.056 7        0.027 9        0.027 9    
       3630.32 7        0.038 5       0.203 13       0.165 14       0.165 15    
      3664.64 17        0.035 6       0.161 22       0.126 23       0.126 23    
      3726.15 21        0.061 7         0.22 3         0.16 3         0.16 3    
      3776.32 17        0.076 7         0.27 3         0.20 4         0.20 4    
      3849.31 16        0.041 6       0.096 13       0.055 14       0.055 15    
      3895.87 10        0.045 5        0.092 8        0.048 9       0.048 10    
      3911.03 15         0.06 5        0.098 9         0.04 5         0.04 5    
      3935.32 11       0.214 15       0.252 23         0.04 3         0.04 3    
      4027.59 21        0.037 7       0.073 12       0.037 14       0.037 14    
        4139.9 3        0.019 5       0.095 10       0.076 11       0.076 12    
        4215.2 3       0.073 10       0.088 12       0.015 16       0.015 16    
        4284.1 3       0.073 10       0.106 17       0.033 20       0.033 20    
      4408.64 20       0.110 15       0.134 13       0.024 20       0.024 20    
      4511.90 18       0.124 10       0.123 12         0.0            0.0       
        4520.5 3       0.129 17       0.102 12      -0.027 21      -0.027 21    
      4535.58 17       0.161 20       0.151 12        -0.0           -0.0       
        4723.8 3       0.066 10       0.071 10         0.0            0.0       
        4733.0 3        0.037 7       0.094 15       0.057 17       0.057 17    
      4851.46 20       0.095 15       0.086 22        -0.0           -0.0       
        4857.9 4        0.041 7        0.058 9       0.017 12       0.017 12    
      4910.40 25       0.117 15       0.144 16       0.027 22       0.027 22    
      4952.01 15       0.142 15       0.143 15         0.0            0.0       
        4962.7 3        0.056 7        0.039 7      -0.017 10      -0.017 10    
        4991.6 4        0.054 7       0.083 20       0.029 22       0.029 22    
        5187.3 3        0.071 7       0.061 19        -0.0           -0.0       
      5283.72 19       0.107 10       0.115 25         0.0            0.0       
      5298.25 19       0.129 12         0.19 4         0.06 4         0.06 4    
        5306.8 4       0.073 22       0.041 12      -0.032 25      -0.032 25    
        5400.7 4       0.059 15       0.112 20       0.054 25       0.054 25    
        5403.1 5       0.090 22         0.14 6         0.05 6         0.05 6    
       5402.9 11         0.0            0.0            0.0            0.0       
        5415.1 3       0.110 10       0.071 24        -0.04 3        -0.04 3    
        5565.3 3       0.085 24       0.098 21         0.0            0.0       
        5693.4 4         0.10 3       0.051 17        -0.05 4        -0.05 4    
      10198.06 7         0.0           4.93 11        4.93 11        4.93 16    
 *****************************************************************************
                       TOTAL BETA INTENSITY =          11.4 3         11.4 4    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =   2.4590                          
