
               LEAST-SQUARES LINEAR REGRESSION OF LEVEL AND GAMMA ENERGIES
 
        LEVEL ENERGIES
    1.     0.0
    2.  1077.39 5                       
    3.  1655.94 11                      
    4.  1883.16 5                       
    5.  2338.41 7                       
    6.  2417.39 7                       
    7.  2750.73 8                       
    8.  2821.69 11                      
    9.  2959.41 15                      
   10.  3009.24 7                       
   11.  3184.18 13                      
   12.  3281.58 14                      
   13.  3287.04 11                      
   14.  3424.92 18                      
   15.  3429.44 12                      
   16.  3458.66 17                      
   17.  3495.78 24                      
   18.  3587.15 19                      
   19.  3630.29 11                      
   20.  3664.64 24                      
   21.  3725.83 16                      
   22.  3776.29 22                      
   23.  3849.29 21                      
   24.  3895.82 16                      
   25.  3910.93 19                      
   26.  3935.10 15                      
   27.  4027.5 3                        
   28.  4139.7 4                        
   29.  4215.3 4                        
   30.  4283.9 3                        
   31.  4408.6 3                        
   32.  4512.2 3                        
   33.  4520.5 4                        
   34.  4535.6 3                        
   35.  4723.8 4                        
   36.  4733.0 4                        
   37.  4851.4 3                        
   38.  4857.9 5                        
   39.  4910.5 3                        
   40.  4951.7 3                        
   41.  4963.3 5                        
   42.  4991.6 5                        
   43.  5187.1 4                        
   44.  5283.6 3                        
   45.  5298.1 3                        
   46.  5306.8 5                        
   47.  5400.3 4                        
   48.  5403.1 4                        
   49.  5415.1 5                        
   50.  5565.2 4                        
   51.  5693.4 5                        
   52. 10198.07 12                      
 
   GAMMA ENERGIES
       67ZN(N,G) E=THERMA-  ENERGY     DE    L1  L2
 -----------------------------------------------------------------------------------------------------------------------------------
             227.3 3           227.21 11     4  3                                                                                   
             348.7 3           348.70 15    19 12                                                                                   
           412.41 12            412.32 7     7  5                                                                                   
           465.20 18           465.34 12    13  8                                                                                   
           483.42 20           483.29 10     8  5                                                                                   
           534.22 20            534.24 6     6  4                                                                                   
           542.05 16           542.01 14     9  6                                                                                   
           578.54 12           578.55 10     3  2                                                                                   
           591.71 16            591.84 7    10  6                                                                                   
           621.06 14           621.05 10    19 10                                                                                   
             629.3 3           629.34 19    25 12                                                                                   
           670.89 17            670.83 7    10  5                                                                                   
             744.8 6           745.04 24    17  7                                                                                   
            805.75 6            805.77 4     4  2                                                                                   
           836.42 18           836.41 18    18  7                                                                                   
             845.2 6           845.77 13    11  5                                                                                   
           864.17 14           864.18 12    12  6                                                                                   
           879.59 15           879.55 10    19  7                                                                                   
    (1       904.6 4           904.13 17    21  8                                                                                   
             916.1 4             916.3 3    37 26                                                                                   
             936.7 3           936.41 18    24  9                                                                                   
             975.4 4           975.09 16    21  7                                                                                   
            1018.3 4            1018.3 3    27 10                                                                                   
          1041.26 16          1041.26 16    16  6                                                                                   
           1077.35 6           1077.38 5     2  1                                                                                   
          1091.04 18          1091.02 11    15  5                                                                                   
          1113.34 20          1113.40 15    26  8                                                                                   
           1126.07 6           1126.07 5    10  4                                                                                   
            1184.5 3          1184.36 15    26  7                                                                                   
            1186.9 6            1186.7 3    37 20                                                                                   
            1212.7 3          1212.88 11    19  6                                                                                   
           1261.00 6           1261.01 5     5  2                                                                                   
