  69ZN    68ZN(N,G), (POL N,G) E=THERMAL1972BO75                                 
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0           72           0.0            0.0            0.0       
      438.631 20         0.0              8.             8.             8.      
       531.30 13           3.             6.             3.             3.      
       834.50 12           8.             15             6.             6.      
         874.5 8           4.           0.0             -4.            -4.      
      1007.52 20           21             24             3.             3.      
        1251.8 3           1.             4.             2.             2.      
        1594.5 6           3.             4.           0.80           0.80      
        1830.0 7           2.             1.          -0.80          -0.80      
        1982.6 7           1.           0.80          -0.50          -0.50      
        2054.3 7           2.             5.             3.             3.      
        2343.8 6           9.             6.            -2.            -2.      
        2377.0 7           3.             1.            -2.            -2.      
        2410.0 7           1.           0.0             -1.            -1.      
        2510.0 7         0.50           0.0           -0.50          -0.50      
        2562.0 7         0.80           0.0           -0.80          -0.80      
        6482.1 3         0.0              56             56             56      
 *****************************************************************************
                       TOTAL BETA INTENSITY =            72             72      
             TOTAL UNPLACED GAMMA INTENSITY =            51                     
              NORMALIZATION UNCERTAINTY (%) =    .0000                          
