  65ZN    64ZN(N,G) E=THERMAL                                                    
  
         EL                IN             OUT          NET       (+NORM. UNC.)
 *****************************************************************************
             0.0       0.655 13         0.0            0.0            0.0       
         53.96 3      0.0742 18        0.179         0.104 10       0.104 10    
      115.215 21       0.428 11        0.368 7      -0.060 13      -0.060 13    
        207.09 4         0.0         0.0679 13      0.0679 13      0.0679 13    
        769.41 5         0.0         0.0294 16      0.0294 16      0.0294 16    
        864.33 5         0.0         0.0440 21      0.0440 21      0.0440 21    
        909.74 3        0.057 3      0.0568 19         0.0            0.0       
       1047.30 7         0.0         0.0099 10      0.0099 10      0.0099 10    
       1469.63 7        0.027 3      0.0270 19         0.0            0.0       
        1907.1 6         0.0            0.0            0.0            0.0       
       1941.69 6        0.034 3      0.0333 21         0.0            0.0       
        2078.4 3         0.0         0.0064 14      0.0064 14      0.0064 14    
       2202.75 9        0.025 3      0.0216 21       -0.003 4       -0.003 4    
        2216.8 5      0.0051 19         0.0        -0.0051 19     -0.0051 19    
      2419.23 18        0.029 3         0.0          -0.029 3       -0.029 3    
        2437.9 7         0.0            0.0            0.0            0.0       
        2457.6 4      0.0158 23         0.0        -0.0158 23     -0.0158 23    
        2493.1 4         0.0         0.0043 12      0.0043 12      0.0043 12    
        2572.8 7         0.0            0.0            0.0            0.0       
        2638.8 7         0.0            0.0            0.0            0.0       
        2731.8 7         0.0            0.0            0.0            0.0       
        2995.2 4      0.0062 16      0.0045 21       -0.002 3       -0.002 3    
        3004.9 7         0.0            0.0            0.0            0.0       
        3056.9 7         0.0            0.0            0.0            0.0       
        3109.1 3      0.0060 21      0.0150 21        0.009 3        0.009 3    
        3150.8 3        0.015 3      0.0078 21       -0.008 4       -0.008 4    
        3191.9 7         0.0            0.0            0.0            0.0       
        3328.9 7         0.0            0.0            0.0            0.0       
        3396.1 4      0.0086 19         0.0        -0.0086 19     -0.0086 19    
        3467.9 7         0.0            0.0            0.0            0.0       
        3588.9 7         0.0            0.0            0.0            0.0       
        3734.0 4      0.0076 14         0.0        -0.0076 14     -0.0076 14    
        3814.5 3      0.0064 14         0.0        -0.0064 14     -0.0064 14    
        4023.9 7         0.0            0.0            0.0            0.0       
        4038.9 7         0.0            0.0            0.0            0.0       
        4391.8 6         0.0         0.0047 16      0.0047 16      0.0047 16    
        4619.9 7         0.0            0.0            0.0            0.0       
        4639.2 3      0.0130 19         0.0        -0.0130 19     -0.0130 19    
        5546.1 3      0.0056 12         0.0        -0.0056 12     -0.0056 12    
       7979.31 7         0.0          0.539 14       0.539 14       0.539 14    
 *****************************************************************************
                       TOTAL BETA INTENSITY =        0.655 19       0.655 20    
             TOTAL UNPLACED GAMMA INTENSITY =          0.0                      
              NORMALIZATION UNCERTAINTY (%) =    .6317                          
